relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0469,13.6,2.2097033486169337
-29.5,,,,,,,0.0469,13.6,2.2097033486169337
-29.0,,,,,,,0.0469,13.6,2.2097033486169337
-28.5,,,,,,,0.0469,13.6,2.2097033486169337
-28.0,,,,,,,0.0469,13.6,2.2097033486169337
-27.5,,,,,,,0.0469,13.6,2.2097033486169337
-27.0,,,,,,,0.0469,13.6,2.2097033486169337
-26.5,,,,,,,0.0469,13.6,2.2097033486169337
-26.0,,,,,,,0.0469,13.6,2.2097033486169337
-25.5,,,,,,,0.0469,13.6,2.2097033486169337
-25.0,,,,,,,0.0469,13.6,2.2097033486169337
-24.5,,,,,,,0.0469,13.6,2.2097033486169337
-24.0,,,,,,,0.0469,13.6,2.2097033486169337
-23.5,,,,,,,0.0469,13.6,2.2097033486169337
-23.0,,,,,,,0.0469,13.6,2.2097033486169337
-22.5,,,,,,,0.0469,13.6,2.2097033486169337
-22.0,,3.892728247971426,-27.40186356743478,,40.078025692653,37.8903781510652,0.0469,13.6,2.2097033486169337
-21.5,,,,,,,0.0469,13.6,2.2097033486169337
-21.0,,,,,,,0.0469,13.6,2.2097033486169337
-20.5,,,,,,,0.0469,13.6,2.2097033486169337
-20.0,,,,,,,0.0469,13.6,2.2097033486169337
-19.5,,,,,,,0.0469,13.6,2.2097033486169337
-19.0,,,,,,,0.0469,13.6,2.2097033486169337
-18.5,-132.42458946874555,,,322.5373524484509,,,0.0469,13.6,2.2097033486169337
-18.0,-165.93483789901086,36.78399327460498,8.595368856207429,290.88128400919163,25.6815834646954,34.568200185894,0.0469,13.6,2.2097033486169337
-17.5,-220.1229916353169,,,278.7783344859689,,,0.0469,13.6,2.2097033486169337
-17.0,-232.81988052418706,,,283.37111090387083,,,0.0469,13.6,2.2097033486169337
-16.5,-289.7433906594071,,,284.25123410411186,,,0.0469,13.6,2.2097033486169337
-16.0,-163.2681845601359,,,292.40457010708684,,,0.0469,13.6,2.2097033486169337
-15.5,-119.59890638243127,,,303.75849609956913,,,0.0469,13.6,2.2097033486169337
-15.0,-46.10720632971638,36.64613556937818,9.890903100849888,310.0975875955299,57.8669762917344,35.3805685681247,0.0469,13.6,2.2097033486169337
-14.5,-116.26202659456783,,,322.6288320679287,,,0.0469,13.6,2.2097033486169337
-14.0,-36.837661649999134,,,318.6882988629855,,,0.0469,13.6,2.2097033486169337
-13.5,73.31339909096107,,,328.51292156541535,,,0.0469,13.6,2.2097033486169337
-13.0,152.71374272931735,,,298.6814378704151,,,0.0469,13.6,2.2097033486169337
-12.5,-44.702187575888885,,,294.26589105867333,,,0.0469,13.6,2.2097033486169337
-12.0,98.03855045683353,,,299.7979665272193,,,0.0469,13.6,2.2097033486169337
-11.5,157.29975711830468,,,307.90334130979556,,,0.0469,13.6,2.2097033486169337
-11.0,181.57511202716478,,,291.2953191431453,,,0.0469,13.6,2.2097033486169337
-10.5,85.13407154554648,,,293.34793562128976,,,0.0469,13.6,2.2097033486169337
-10.0,124.56430922065461,,,290.94273848905203,,,0.0469,13.6,2.2097033486169337
-9.5,129.9328240581612,,,275.64854426891907,,,0.0469,13.6,2.2097033486169337
-9.0,216.2400274743856,53.71573400393614,79.07469428122315,266.9547009063034,45.4834222999235,66.7853868549673,0.0469,13.6,2.2097033486169337
-8.5,140.66243346885418,,,269.63233917210664,,,0.0469,13.6,2.2097033486169337
-8.0,307.70452635372385,,,275.035841156483,,,0.0469,13.6,2.2097033486169337
-7.5,359.93615379254146,,,270.9542451304038,,,0.0469,13.6,2.2097033486169337
-7.0,325.9768488252752,,0.9284058690804607,280.0186401468197,,69.923457567429,0.0469,13.6,2.2097033486169337
-6.5,,,,,,,0.0469,13.6,2.2097033486169337
-6.0,,,,,,,0.0469,13.6,2.2097033486169337
-5.5,,,,,,,0.0469,13.6,2.2097033486169337
-5.0,,,,,,,0.0469,13.6,2.2097033486169337
-4.5,,,,,,,0.0469,13.6,2.2097033486169337
-4.0,69.17434901201648,,,309.0602540842788,,,0.0469,13.6,2.2097033486169337
-3.5,93.00179541428108,,,294.5596637304256,,,0.0469,13.6,2.2097033486169337
-3.0,183.4270784678561,,,306.8644101775986,,,0.0469,13.6,2.2097033486169337
-2.5,272.15124051675195,,,303.9847865715989,,,0.0469,13.6,2.2097033486169337
-2.0,81.16410851010676,,,274.4678086549018,,,0.0469,13.6,2.2097033486169337
-1.5,227.06774225973194,,,286.9853702196933,,,0.0469,13.6,2.2097033486169337
-1.0,260.8906863223209,,,302.9647863856313,,,0.0469,13.6,2.2097033486169337
-0.5,331.4376353704898,,,294.54614139927315,,,0.0469,13.6,2.2097033486169337
0.0,331.3988362320363,413.46785989527405,254.094518469836,286.4879767224437,26.8741509625857,29.2043447400633,0.0469,13.6,2.2097033486169337
0.5,326.11413689781443,,,274.6029223959023,,,0.0469,13.6,2.2097033486169337
1.0,457.1459698159939,,,273.1101820428877,,,0.0469,13.6,2.2097033486169337
1.5,514.7520670407257,,,262.83685693119446,,,0.0469,13.6,2.2097033486169337
