relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,36.478246351062516,16.644237699793614,,51.22082272702518,38.210183529665585,0.058,10.5,2.543401047591372
-29.5,,,,,,,0.058,10.5,2.543401047591372
-29.0,,23.842146637330416,-18.21303390327212,,46.08386673762,38.964347256372754,0.058,10.5,2.543401047591372
-28.5,,,,,,,0.058,10.5,2.543401047591372
-28.0,,-0.6573418967421146,,,57.6907188596759,,0.058,10.5,2.543401047591372
-27.5,,,,,,,0.058,10.5,2.543401047591372
-27.0,,-24.70463874488823,30.28842946837306,,39.20480258851575,33.095255131892316,0.058,10.5,2.543401047591372
-26.5,,,,,,,0.058,10.5,2.543401047591372
-26.0,,-14.409201742961315,-8.738031033918855,,34.729776116316195,33.2103260677269,0.058,10.5,2.543401047591372
-25.5,,,,,,,0.058,10.5,2.543401047591372
-25.0,,42.7905520571931,1.12245685254351,,38.26690360744318,27.222867101803587,0.058,10.5,2.543401047591372
-24.5,,,,,,,0.058,10.5,2.543401047591372
-24.0,,,,,,,0.058,10.5,2.543401047591372
-23.5,,,,,,,0.058,10.5,2.543401047591372
-23.0,,-37.63297409027608,27.012925926820927,,47.595514014838145,33.44550263733457,0.058,10.5,2.543401047591372
-22.5,,,,,,,0.058,10.5,2.543401047591372
-22.0,,-53.167463386899186,13.528353616887756,,35.185967647450504,38.019165487111906,0.058,10.5,2.543401047591372
-21.5,,,,,,,0.058,10.5,2.543401047591372
-21.0,,-10.187661456745772,24.990759863217587,,34.16958857132401,32.865380848542756,0.058,10.5,2.543401047591372
-20.5,,,,,,,0.058,10.5,2.543401047591372
-20.0,,-0.3055955601297171,-13.09620215411622,,35.782686072850325,35.514136778973864,0.058,10.5,2.543401047591372
-19.5,,,,,,,0.058,10.5,2.543401047591372
-19.0,,-64.40932021768477,41.01535941303188,,81.19288731088335,59.48035560351919,0.058,10.5,2.543401047591372
-18.5,,,,,,,0.058,10.5,2.543401047591372
-18.0,,,,,,,0.058,10.5,2.543401047591372
-17.5,,,,,,,0.058,10.5,2.543401047591372
-17.0,,,,,,,0.058,10.5,2.543401047591372
-16.5,,,,,,,0.058,10.5,2.543401047591372
-16.0,,,,,,,0.058,10.5,2.543401047591372
-15.5,,,,,,,0.058,10.5,2.543401047591372
-15.0,,-37.92093113296382,-39.417347770995654,,73.5496203379029,75.66088277732912,0.058,10.5,2.543401047591372
-14.5,,,,,,,0.058,10.5,2.543401047591372
-14.0,,,197.23893778858064,,,94.1939139313334,0.058,10.5,2.543401047591372
-13.5,,,,,,,0.058,10.5,2.543401047591372
-13.0,,,,,,,0.058,10.5,2.543401047591372
-12.5,,,,,,,0.058,10.5,2.543401047591372
-12.0,,,,,,,0.058,10.5,2.543401047591372
-11.5,,,,,,,0.058,10.5,2.543401047591372
-11.0,,,,,,,0.058,10.5,2.543401047591372
-10.5,,,,,,,0.058,10.5,2.543401047591372
-10.0,,18.883725736483097,-54.77568683170029,,72.79189928783057,93.60956202295797,0.058,10.5,2.543401047591372
-9.5,,,,,,,0.058,10.5,2.543401047591372
-9.0,,51.096864931501635,-88.1186186788921,,41.1508726338509,56.8664048874765,0.058,10.5,2.543401047591372
-8.5,,,,,,,0.058,10.5,2.543401047591372
-8.0,,-76.1708042143392,-18.241789078659814,,48.9705012894644,39.249895452978556,0.058,10.5,2.543401047591372
-7.5,,,,,,,0.058,10.5,2.543401047591372
-7.0,,,,,,,0.058,10.5,2.543401047591372
-6.5,,,,,,,0.058,10.5,2.543401047591372
-6.0,,62.72982750805548,7.761657245227115,,28.3072093963927,35.775146858814,0.058,10.5,2.543401047591372
-5.5,,,,,,,0.058,10.5,2.543401047591372
-5.0,,,,,,,0.058,10.5,2.543401047591372
-4.5,,,,,,,0.058,10.5,2.543401047591372
-4.0,,70.36666164874129,82.2041253814257,,31.2883552547457,27.4159750113348,0.058,10.5,2.543401047591372
-3.5,,,,,,,0.058,10.5,2.543401047591372
-3.0,,,,,,,0.058,10.5,2.543401047591372
-2.5,,,,,,,0.058,10.5,2.543401047591372
-2.0,,129.63286273690812,222.48035042919022,,29.5753902706565,30.0931176361988,0.058,10.5,2.543401047591372
-1.5,,,,,,,0.058,10.5,2.543401047591372
-1.0,,,,,,,0.058,10.5,2.543401047591372
-0.5,,,,,,,0.058,10.5,2.543401047591372
0.0,,193.80595323785977,287.83176325870795,,34.7975728972792,33.5369563126907,0.058,10.5,2.543401047591372
0.5,,,,,,,0.058,10.5,2.543401047591372
1.0,,,,,,,0.058,10.5,2.543401047591372
1.5,,,,,,,0.058,10.5,2.543401047591372
2.0,,258.7417043790006,409.28382076726837,,26.6219556488269,30.4722515681807,0.058,10.5,2.543401047591372
2.5,,,,,,,0.058,10.5,2.543401047591372
3.0,,,,,,,0.058,10.5,2.543401047591372
3.5,,,,,,,0.058,10.5,2.543401047591372
4.0,,,429.5776805269213,,,43.3776711495843,0.058,10.5,2.543401047591372
4.5,,,,,,,0.058,10.5,2.543401047591372
5.0,,,,,,,0.058,10.5,2.543401047591372
5.5,,,,,,,0.058,10.5,2.543401047591372
6.0,,485.0269724801766,465.05772297757335,,39.1847202321528,32.894252858356,0.058,10.5,2.543401047591372
6.5,,,,,,,0.058,10.5,2.543401047591372
7.0,,,,,,,0.058,10.5,2.543401047591372
7.5,,,,,,,0.058,10.5,2.543401047591372
8.0,,467.0737374060576,623.4026559856044,,31.5019748338488,33.7686387085145,0.058,10.5,2.543401047591372
8.5,,,,,,,0.058,10.5,2.543401047591372
9.0,,,,,,,0.058,10.5,2.543401047591372
9.5,,,,,,,0.058,10.5,2.543401047591372
10.0,,,,,,,0.058,10.5,2.543401047591372
10.5,,,,,,,0.058,10.5,2.543401047591372
11.0,,,,,,,0.058,10.5,2.543401047591372
11.5,,,,,,,0.058,10.5,2.543401047591372
12.0,,,,,,,0.058,10.5,2.543401047591372
12.5,,,,,,,0.058,10.5,2.543401047591372
13.0,,,,,,,0.058,10.5,2.543401047591372
13.5,,,,,,,0.058,10.5,2.543401047591372
14.0,,,,,,,0.058,10.5,2.543401047591372
14.5,,,,,,,0.058,10.5,2.543401047591372
15.0,,,,,,,0.058,10.5,2.543401047591372
15.5,,,,,,,0.058,10.5,2.543401047591372
16.0,,,,,,,0.058,10.5,2.543401047591372
16.5,,,,,,,0.058,10.5,2.543401047591372
17.0,,,,,,,0.058,10.5,2.543401047591372
17.5,,,,,,,0.058,10.5,2.543401047591372
18.0,,,,,,,0.058,10.5,2.543401047591372
18.5,,,,,,,0.058,10.5,2.543401047591372
19.0,,,,,,,0.058,10.5,2.543401047591372
19.5,,,,,,,0.058,10.5,2.543401047591372
20.0,,,,,,,0.058,10.5,2.543401047591372
20.5,,,,,,,0.058,10.5,2.543401047591372
21.0,,,,,,,0.058,10.5,2.543401047591372
21.5,,,,,,,0.058,10.5,2.543401047591372
22.0,,,,,,,0.058,10.5,2.543401047591372
22.5,,,,,,,0.058,10.5,2.543401047591372
