relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,24.914642031416285,,,38.8565213675456,,0.04,14.0,2.5327718676053976
-29.5,,,,,,,0.04,14.0,2.5327718676053976
-29.0,,15.659904196310565,5.3131411740419185,,25.464967525478638,23.992283169241936,0.04,14.0,2.5327718676053976
-28.5,,,,,,,0.04,14.0,2.5327718676053976
-28.0,,4.507321455216593,7.0029504841417065,,33.4423565084335,27.97658060177642,0.04,14.0,2.5327718676053976
-27.5,,,,,,,0.04,14.0,2.5327718676053976
-27.0,,-16.868514723182493,18.998379584726045,,37.62029840852788,36.457863877068675,0.04,14.0,2.5327718676053976
-26.5,,,,,,,0.04,14.0,2.5327718676053976
-26.0,,-16.961202949350906,32.22990672287731,,56.80510110831218,34.832900621272316,0.04,14.0,2.5327718676053976
-25.5,,,,,,,0.04,14.0,2.5327718676053976
-25.0,,-9.354675748268695,,,44.8574623321713,,0.04,14.0,2.5327718676053976
-24.5,,,,,,,0.04,14.0,2.5327718676053976
-24.0,,13.775880137562996,6.390518233639234,,40.42942014931602,32.67360212046083,0.04,14.0,2.5327718676053976
-23.5,,,,,,,0.04,14.0,2.5327718676053976
-23.0,,11.7951752437353,-17.264175092976537,,36.94825281381606,32.82726954789219,0.04,14.0,2.5327718676053976
-22.5,,,,,,,0.04,14.0,2.5327718676053976
-22.0,,26.94357555929725,0.864814377567324,,32.70654384672174,27.901426829704263,0.04,14.0,2.5327718676053976
-21.5,,,,,,,0.04,14.0,2.5327718676053976
-21.0,,,,,,,0.04,14.0,2.5327718676053976
-20.5,,,,,,,0.04,14.0,2.5327718676053976
-20.0,,35.04830768140005,56.97509816130313,,42.19331524467665,34.64384705741378,0.04,14.0,2.5327718676053976
-19.5,,,,,,,0.04,14.0,2.5327718676053976
-19.0,,17.18066113320793,37.99778248867753,,35.62693170940983,36.95931714229485,0.04,14.0,2.5327718676053976
-18.5,,,,,,,0.04,14.0,2.5327718676053976
-18.0,,33.03261707802317,24.430739837700788,,34.114825222948525,27.326570310059235,0.04,14.0,2.5327718676053976
-17.5,,,,,,,0.04,14.0,2.5327718676053976
-17.0,,10.23150652278552,19.429072851150643,,32.10675573049592,31.90964142523067,0.04,14.0,2.5327718676053976
-16.5,,,,,,,0.04,14.0,2.5327718676053976
-16.0,,50.433971517449834,43.029586375618635,,79.40180667307729,57.08136685349073,0.04,14.0,2.5327718676053976
-15.5,,,,,,,0.04,14.0,2.5327718676053976
-15.0,,,,,,,0.04,14.0,2.5327718676053976
-14.5,,,,,,,0.04,14.0,2.5327718676053976
-14.0,,,,,,,0.04,14.0,2.5327718676053976
-13.5,,,,,,,0.04,14.0,2.5327718676053976
-13.0,,,,,,,0.04,14.0,2.5327718676053976
-12.5,,,,,,,0.04,14.0,2.5327718676053976
