relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,98.90476270626125,-46.97452431174129,,30.9388509770906,34.5407474951616,0.0653,4.0,2.7559309780100727
-29.5,,,,,,,0.0653,4.0,2.7559309780100727
-29.0,,,,,,,0.0653,4.0,2.7559309780100727
-28.5,,,,,,,0.0653,4.0,2.7559309780100727
-28.0,,47.906319892902104,-7.5848172441863015,,37.1264495514126,28.2828162907783,0.0653,4.0,2.7559309780100727
-27.5,,,,,,,0.0653,4.0,2.7559309780100727
-27.0,,,,,,,0.0653,4.0,2.7559309780100727
-26.5,,,,,,,0.0653,4.0,2.7559309780100727
-26.0,,30.251386015775758,,,30.3189128759492,,0.0653,4.0,2.7559309780100727
-25.5,,,,,,,0.0653,4.0,2.7559309780100727
-25.0,,,,,,,0.0653,4.0,2.7559309780100727
-24.5,,,,,,,0.0653,4.0,2.7559309780100727
-24.0,,-33.430050542683894,,,24.1927643421622,,0.0653,4.0,2.7559309780100727
-23.5,,,,,,,0.0653,4.0,2.7559309780100727
-23.0,,,,,,,0.0653,4.0,2.7559309780100727
-22.5,44.60760422509992,,,296.36984806100816,,,0.0653,4.0,2.7559309780100727
-22.0,74.371375970241,60.981463435875085,-183.36728197729425,296.0345193028864,49.171816187915,45.1996612614195,0.0653,4.0,2.7559309780100727
-21.5,149.48128278667622,,,295.0839038757009,,,0.0653,4.0,2.7559309780100727
-21.0,54.659470728118976,,,295.2806629317374,,,0.0653,4.0,2.7559309780100727
-20.5,96.18771319164546,,,295.1375948888593,,,0.0653,4.0,2.7559309780100727
-20.0,-144.1673807450567,53.83640264732732,67.72722822934169,294.9100503713716,48.8830240508214,48.3283511779538,0.0653,4.0,2.7559309780100727
-19.5,-99.41999501982357,,,294.805125139501,,,0.0653,4.0,2.7559309780100727
-19.0,-53.72408464620185,,,294.523204196682,,,0.0653,4.0,2.7559309780100727
-18.5,-476.31522620701304,,,294.79537489103535,,,0.0653,4.0,2.7559309780100727
-18.0,34.34671447969454,-102.97438682160325,-27.99666542927023,293.8150478238726,27.1481774874337,25.1378626019426,0.0653,4.0,2.7559309780100727
-17.5,99.96508196452437,,,293.91369940481155,,,0.0653,4.0,2.7559309780100727
-17.0,-185.3059556075867,,,294.22494194123374,,,0.0653,4.0,2.7559309780100727
-16.5,178.76778353374556,,,295.0928193994335,,,0.0653,4.0,2.7559309780100727
-16.0,92.09288080420147,,,294.4208357650195,,,0.0653,4.0,2.7559309780100727
-15.5,-355.90608561899035,,,293.5235424153584,,,0.0653,4.0,2.7559309780100727
-15.0,-516.865742950585,,,293.0571131173891,,,0.0653,4.0,2.7559309780100727
-14.5,-252.60586768511337,,,292.858275095903,,,0.0653,4.0,2.7559309780100727
-14.0,-166.43869788417953,,,293.30879332850634,,,0.0653,4.0,2.7559309780100727
-13.5,-523.8296653044163,,,294.3583418115548,,,0.0653,4.0,2.7559309780100727
-13.0,-186.02286106394112,,,296.0732811318005,,,0.0653,4.0,2.7559309780100727
-12.5,-44.14670628637803,,,295.04127757681135,,,0.0653,4.0,2.7559309780100727
-12.0,-181.97639504282813,,,293.4691307302852,,,0.0653,4.0,2.7559309780100727
-11.5,-114.22435889434252,,,294.2182674699587,,,0.0653,4.0,2.7559309780100727
-11.0,-26.20744518366555,,,294.76842740808047,,,0.0653,4.0,2.7559309780100727
-10.5,,,,,,,0.0653,4.0,2.7559309780100727
-10.0,,,,,,,0.0653,4.0,2.7559309780100727
-9.5,,,,,,,0.0653,4.0,2.7559309780100727
-9.0,,,,,,,0.0653,4.0,2.7559309780100727
-8.5,12.75322996620827,,,297.1624643876123,,,0.0653,4.0,2.7559309780100727
-8.0,-29.154318928174792,,,294.41044204957495,,,0.0653,4.0,2.7559309780100727
-7.5,233.7835891866379,,,293.2460117159704,,,0.0653,4.0,2.7559309780100727
-7.0,-19.297309198646115,,,292.0841537558716,,,0.0653,4.0,2.7559309780100727
-6.5,309.7338884138051,,,292.5248603202746,,,0.0653,4.0,2.7559309780100727
-6.0,392.50718590848226,,,292.3985680477588,,,0.0653,4.0,2.7559309780100727
-5.5,311.78651995141735,,,292.4566857172335,,,0.0653,4.0,2.7559309780100727
-5.0,572.8476618124865,,,291.86123105872065,,,0.0653,4.0,2.7559309780100727
-4.5,786.7825943134037,,,291.8232021504529,,,0.0653,4.0,2.7559309780100727
-4.0,764.4306315387505,,,291.38801291676384,,,0.0653,4.0,2.7559309780100727
-3.5,680.4791569806911,,,292.51954559368056,,,0.0653,4.0,2.7559309780100727
-3.0,1096.221788559402,,,292.6384045289956,,,0.0653,4.0,2.7559309780100727
-2.5,826.4729643041684,,,292.3924559731693,,,0.0653,4.0,2.7559309780100727
-2.0,677.5744957935258,411.87558595132367,334.093310650117,292.50160768488905,60.648132014685,49.5781006658547,0.0653,4.0,2.7559309780100727
-1.5,698.6285865625144,,,292.2306134865038,,,0.0653,4.0,2.7559309780100727
-1.0,1032.5745093510689,,,291.91001932327595,,,0.0653,4.0,2.7559309780100727
