relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,22.051213608385158,-14.586963449699338,,39.4953665978234,36.8538837450298,0.0225,12.1,2.357708397764424
-29.5,,,,,,,0.0225,12.1,2.357708397764424
-29.0,,,,,,,0.0225,12.1,2.357708397764424
-28.5,,,,,,,0.0225,12.1,2.357708397764424
-28.0,,-106.63267818110417,62.73383370255667,,38.5697964463252,33.0657143762973,0.0225,12.1,2.357708397764424
-27.5,,,,,,,0.0225,12.1,2.357708397764424
-27.0,,,,,,,0.0225,12.1,2.357708397764424
-26.5,,,,,,,0.0225,12.1,2.357708397764424
-26.0,,-85.26187869167875,8.779904223800223,,27.6874794959549,22.1030628059648,0.0225,12.1,2.357708397764424
-25.5,,,,,,,0.0225,12.1,2.357708397764424
-25.0,,,,,,,0.0225,12.1,2.357708397764424
-24.5,,,,,,,0.0225,12.1,2.357708397764424
-24.0,,-54.99729556274592,3.671179628367572,,27.5979508281386,25.6515176627735,0.0225,12.1,2.357708397764424
-23.5,,,,,,,0.0225,12.1,2.357708397764424
-23.0,,,,,,,0.0225,12.1,2.357708397764424
-22.5,,,,,,,0.0225,12.1,2.357708397764424
-22.0,,-6.940088237348256,37.30642000157463,,21.5119017644868,21.434881021476,0.0225,12.1,2.357708397764424
-21.5,,,,,,,0.0225,12.1,2.357708397764424
-21.0,,,,,,,0.0225,12.1,2.357708397764424
-20.5,,,,,,,0.0225,12.1,2.357708397764424
-20.0,,,,,,,0.0225,12.1,2.357708397764424
-19.5,,,,,,,0.0225,12.1,2.357708397764424
-19.0,,,,,,,0.0225,12.1,2.357708397764424
-18.5,,,,,,,0.0225,12.1,2.357708397764424
-18.0,,,,,,,0.0225,12.1,2.357708397764424
-17.5,,,,,,,0.0225,12.1,2.357708397764424
-17.0,,,,,,,0.0225,12.1,2.357708397764424
-16.5,,,,,,,0.0225,12.1,2.357708397764424
-16.0,,,,,,,0.0225,12.1,2.357708397764424
-15.5,,,,,,,0.0225,12.1,2.357708397764424
-15.0,,,,,,,0.0225,12.1,2.357708397764424
-14.5,,,,,,,0.0225,12.1,2.357708397764424
-14.0,,,,,,,0.0225,12.1,2.357708397764424
-13.5,,,,,,,0.0225,12.1,2.357708397764424
-13.0,,,,,,,0.0225,12.1,2.357708397764424
-12.5,,,,,,,0.0225,12.1,2.357708397764424
-12.0,,,,,,,0.0225,12.1,2.357708397764424
-11.5,,,,,,,0.0225,12.1,2.357708397764424
