relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-14.327097166789539,6.0738190568025185,,25.1312299984996,24.3567077434976,0.0211,9.1,15.161551884802412
-29.5,,,,,,,0.0211,9.1,15.161551884802412
-29.0,,,,,,,0.0211,9.1,15.161551884802412
-28.5,,,,,,,0.0211,9.1,15.161551884802412
-28.0,,-64.6690297673766,41.449099740839834,,46.5282565412226,43.4865800295368,0.0211,9.1,15.161551884802412
-27.5,,,,,,,0.0211,9.1,15.161551884802412
-27.0,,,,,,,0.0211,9.1,15.161551884802412
-26.5,,,,,,,0.0211,9.1,15.161551884802412
-26.0,,-70.23990958932744,38.38492938015701,,40.3905889083759,35.0129301925275,0.0211,9.1,15.161551884802412
-25.5,,,,,,,0.0211,9.1,15.161551884802412
-25.0,,,,,,,0.0211,9.1,15.161551884802412
-24.5,,,,,,,0.0211,9.1,15.161551884802412
-24.0,,23.538785322983973,-25.185126338673562,,24.0794885450531,22.4286958801012,0.0211,9.1,15.161551884802412
-23.5,,,,,,,0.0211,9.1,15.161551884802412
-23.0,,,,,,,0.0211,9.1,15.161551884802412
-22.5,,,,,,,0.0211,9.1,15.161551884802412
-22.0,,-0.5485290259163348,23.700135770413056,,30.3611512185214,27.318932120956,0.0211,9.1,15.161551884802412
-21.5,,,,,,,0.0211,9.1,15.161551884802412
-21.0,,,,,,,0.0211,9.1,15.161551884802412
-20.5,,,,,,,0.0211,9.1,15.161551884802412
-20.0,,-43.42953857670486,7.251951190626403,,24.3853724046802,23.5139977586802,0.0211,9.1,15.161551884802412
-19.5,,,,,,,0.0211,9.1,15.161551884802412
-19.0,,,,,,,0.0211,9.1,15.161551884802412
-18.5,,,,,,,0.0211,9.1,15.161551884802412
-18.0,,,,,,,0.0211,9.1,15.161551884802412
-17.5,,,,,,,0.0211,9.1,15.161551884802412
-17.0,,,,,,,0.0211,9.1,15.161551884802412
-16.5,,,,,,,0.0211,9.1,15.161551884802412
-16.0,,,,,,,0.0211,9.1,15.161551884802412
-15.5,,,,,,,0.0211,9.1,15.161551884802412
-15.0,,,,,,,0.0211,9.1,15.161551884802412
-14.5,,,,,,,0.0211,9.1,15.161551884802412
-14.0,,,,,,,0.0211,9.1,15.161551884802412
-13.5,,,,,,,0.0211,9.1,15.161551884802412
-13.0,,,,,,,0.0211,9.1,15.161551884802412
-12.5,,,,,,,0.0211,9.1,15.161551884802412
-12.0,,,,,,,0.0211,9.1,15.161551884802412
-11.5,,,,,,,0.0211,9.1,15.161551884802412
-11.0,,,,,,,0.0211,9.1,15.161551884802412
-10.5,,,,,,,0.0211,9.1,15.161551884802412
-10.0,,,,,,,0.0211,9.1,15.161551884802412
-9.5,,,,,,,0.0211,9.1,15.161551884802412
-9.0,,,,,,,0.0211,9.1,15.161551884802412
-8.5,,,,,,,0.0211,9.1,15.161551884802412
-8.0,,,,,,,0.0211,9.1,15.161551884802412
-7.5,,,,,,,0.0211,9.1,15.161551884802412
-7.0,,,,,,,0.0211,9.1,15.161551884802412
-6.5,,,,,,,0.0211,9.1,15.161551884802412
-6.0,,,,,,,0.0211,9.1,15.161551884802412
-5.5,,,,,,,0.0211,9.1,15.161551884802412
-5.0,,,,,,,0.0211,9.1,15.161551884802412
-4.5,,,,,,,0.0211,9.1,15.161551884802412
-4.0,,62.2519561069909,27.804831428026027,,37.6412073410172,31.5379161257175,0.0211,9.1,15.161551884802412
-3.5,,,,,,,0.0211,9.1,15.161551884802412
-3.0,,,,,,,0.0211,9.1,15.161551884802412
-2.5,,,,,,,0.0211,9.1,15.161551884802412
-2.0,,-46.23488531120281,19.882962860801285,,33.5773541531514,34.7380036484736,0.0211,9.1,15.161551884802412
-1.5,,,,,,,0.0211,9.1,15.161551884802412
