relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0893,14.1,8.442264045990402
-29.5,,,,,,,0.0893,14.1,8.442264045990402
-29.0,,58.60428699262439,,,50.1702816693289,,0.0893,14.1,8.442264045990402
-28.5,,,,,,,0.0893,14.1,8.442264045990402
-28.0,,,,,,,0.0893,14.1,8.442264045990402
-27.5,,,,,,,0.0893,14.1,8.442264045990402
-27.0,,-39.441971820648405,21.47054172749881,,56.9566135761073,42.4997838623881,0.0893,14.1,8.442264045990402
-26.5,,,,,,,0.0893,14.1,8.442264045990402
-26.0,,,,,,,0.0893,14.1,8.442264045990402
-25.5,,,,,,,0.0893,14.1,8.442264045990402
-25.0,,30.859943637590913,30.259185671293903,,64.5804181464461,43.7304737756522,0.0893,14.1,8.442264045990402
-24.5,,,,,,,0.0893,14.1,8.442264045990402
-24.0,,,,,,,0.0893,14.1,8.442264045990402
-23.5,,,,,,,0.0893,14.1,8.442264045990402
-23.0,,17.17213576153954,-54.36303119766089,,41.1105085713722,33.6668443371779,0.0893,14.1,8.442264045990402
-22.5,,,,,,,0.0893,14.1,8.442264045990402
-22.0,,,,,,,0.0893,14.1,8.442264045990402
-21.5,,,,,,,0.0893,14.1,8.442264045990402
-21.0,,-14.048766314921224,19.78015883466713,,57.3621924697053,37.9239932353702,0.0893,14.1,8.442264045990402
-20.5,,,,,,,0.0893,14.1,8.442264045990402
-20.0,,,,,,,0.0893,14.1,8.442264045990402
-19.5,,,,,,,0.0893,14.1,8.442264045990402
-19.0,,,,,,,0.0893,14.1,8.442264045990402
-18.5,,,,,,,0.0893,14.1,8.442264045990402
-18.0,,,,,,,0.0893,14.1,8.442264045990402
-17.5,,,,,,,0.0893,14.1,8.442264045990402
-17.0,,,,,,,0.0893,14.1,8.442264045990402
-16.5,,,,,,,0.0893,14.1,8.442264045990402
-16.0,,,,,,,0.0893,14.1,8.442264045990402
-15.5,,,,,,,0.0893,14.1,8.442264045990402
-15.0,,,,,,,0.0893,14.1,8.442264045990402
-14.5,,,,,,,0.0893,14.1,8.442264045990402
-14.0,,,,,,,0.0893,14.1,8.442264045990402
-13.5,,,,,,,0.0893,14.1,8.442264045990402
-13.0,,,,,,,0.0893,14.1,8.442264045990402
-12.5,,,,,,,0.0893,14.1,8.442264045990402
-12.0,,,,,,,0.0893,14.1,8.442264045990402
-11.5,,,,,,,0.0893,14.1,8.442264045990402
-11.0,,,,,,,0.0893,14.1,8.442264045990402
-10.5,,,,,,,0.0893,14.1,8.442264045990402
-10.0,,,,,,,0.0893,14.1,8.442264045990402
-9.5,,,,,,,0.0893,14.1,8.442264045990402
-9.0,,,,,,,0.0893,14.1,8.442264045990402
-8.5,,,,,,,0.0893,14.1,8.442264045990402
-8.0,,,,,,,0.0893,14.1,8.442264045990402
-7.5,,,,,,,0.0893,14.1,8.442264045990402
-7.0,,,,,,,0.0893,14.1,8.442264045990402
-6.5,,,,,,,0.0893,14.1,8.442264045990402
-6.0,,,,,,,0.0893,14.1,8.442264045990402
-5.5,,,,,,,0.0893,14.1,8.442264045990402
-5.0,,,,,,,0.0893,14.1,8.442264045990402
-4.5,,,,,,,0.0893,14.1,8.442264045990402
-4.0,,,,,,,0.0893,14.1,8.442264045990402
-3.5,,,,,,,0.0893,14.1,8.442264045990402
-3.0,,106.67439119884801,116.70351500590728,,51.6717488899211,39.2678675267713,0.0893,14.1,8.442264045990402
-2.5,,,,,,,0.0893,14.1,8.442264045990402
-2.0,,160.78562213844233,,,61.865380478881,,0.0893,14.1,8.442264045990402
-1.5,,,,,,,0.0893,14.1,8.442264045990402
-1.0,,,,,,,0.0893,14.1,8.442264045990402
-0.5,,,,,,,0.0893,14.1,8.442264045990402
0.0,,327.67037947870034,,,38.4559371608384,,0.0893,14.1,8.442264045990402
0.5,,,,,,,0.0893,14.1,8.442264045990402
1.0,,,,,,,0.0893,14.1,8.442264045990402
1.5,,,,,,,0.0893,14.1,8.442264045990402
2.0,,,501.7017170612697,,,34.8787803683125,0.0893,14.1,8.442264045990402
2.5,,,,,,,0.0893,14.1,8.442264045990402
3.0,,,,,,,0.0893,14.1,8.442264045990402
3.5,,,,,,,0.0893,14.1,8.442264045990402
4.0,,518.548991156944,,,36.5013075068924,,0.0893,14.1,8.442264045990402
4.5,,,,,,,0.0893,14.1,8.442264045990402
5.0,,,,,,,0.0893,14.1,8.442264045990402
5.5,,,,,,,0.0893,14.1,8.442264045990402
6.0,,660.8213882906514,417.85780265180745,,37.2316693137035,39.2116705197368,0.0893,14.1,8.442264045990402
