relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-24.64063241560036,19.16689110522153,,28.3839963545953,25.9424912246146,0.0545,17.1,1.905710716067193
-29.5,,,,,,,0.0545,17.1,1.905710716067193
-29.0,,,,,,,0.0545,17.1,1.905710716067193
-28.5,,,,,,,0.0545,17.1,1.905710716067193
-28.0,,6.707548514338077,17.431812119993463,,42.3943868719819,35.0364017769695,0.0545,17.1,1.905710716067193
-27.5,,,,,,,0.0545,17.1,1.905710716067193
-27.0,,,,,,,0.0545,17.1,1.905710716067193
-26.5,,,,,,,0.0545,17.1,1.905710716067193
-26.0,,3.5801721820885986,52.70201100104521,,38.7771339141152,31.1824137081901,0.0545,17.1,1.905710716067193
-25.5,,,,,,,0.0545,17.1,1.905710716067193
-25.0,,,,,,,0.0545,17.1,1.905710716067193
-24.5,,,,,,,0.0545,17.1,1.905710716067193
-24.0,,7.641753057444267,39.59087749117918,,29.9769600995104,31.8309752031582,0.0545,17.1,1.905710716067193
-23.5,-91.54041212784995,,,242.93161665635654,,,0.0545,17.1,1.905710716067193
-23.0,34.05231740842954,,,240.26488931158994,,,0.0545,17.1,1.905710716067193
-22.5,-25.373035037384714,,,242.09108213972425,,,0.0545,17.1,1.905710716067193
-22.0,-33.63312757143497,58.399612514412205,56.85229456866791,244.70783683556706,30.5201542078657,27.9005771364811,0.0545,17.1,1.905710716067193
-21.5,-110.14507982800238,,,238.48230248736732,,,0.0545,17.1,1.905710716067193
-21.0,-49.48301290261021,,,237.73055477083625,,,0.0545,17.1,1.905710716067193
-20.5,159.77140010382337,,,228.88137266567531,,,0.0545,17.1,1.905710716067193
-20.0,39.71825679015524,52.81324023594487,19.427922538338088,234.13835139570298,22.7796515445449,22.8221346001992,0.0545,17.1,1.905710716067193
-19.5,70.27897584538007,,,237.15658367932883,,,0.0545,17.1,1.905710716067193
-19.0,0.9007245621622282,,,238.53751621415446,,,0.0545,17.1,1.905710716067193
-18.5,-122.19404092246417,,,239.45955255555728,,,0.0545,17.1,1.905710716067193
-18.0,-47.270716234324794,,,238.50359184129513,,,0.0545,17.1,1.905710716067193
-17.5,117.43933429765535,,,234.9309178558949,,,0.0545,17.1,1.905710716067193
-17.0,50.13185492842588,,,237.42704219439773,,,0.0545,17.1,1.905710716067193
-16.5,62.317254592976525,,,238.45240177800548,,,0.0545,17.1,1.905710716067193
-16.0,-4.99342867483249,,,235.05770577496574,,,0.0545,17.1,1.905710716067193
-15.5,-132.890368543551,,,235.60770379187116,,,0.0545,17.1,1.905710716067193
-15.0,-36.62263875079719,,,235.74892594449824,,,0.0545,17.1,1.905710716067193
-14.5,31.547144417227727,,,237.75110789714458,,,0.0545,17.1,1.905710716067193
-14.0,30.84209445830947,,,239.43816793685662,,,0.0545,17.1,1.905710716067193
-13.5,58.0996715163367,,,239.20383317860657,,,0.0545,17.1,1.905710716067193
-13.0,106.52885386516017,,,240.66746999402406,,,0.0545,17.1,1.905710716067193
-12.5,91.70603945542994,,,241.80937268650885,,,0.0545,17.1,1.905710716067193
-12.0,44.981308616219906,,,241.6150392844606,,,0.0545,17.1,1.905710716067193
-11.5,,,,,,,0.0545,17.1,1.905710716067193
-11.0,,,,,,,0.0545,17.1,1.905710716067193
-10.5,,,,,,,0.0545,17.1,1.905710716067193
-10.0,77.2263934931631,,,249.6970987958921,,,0.0545,17.1,1.905710716067193
-9.5,61.13978964334707,,,247.2757296296714,,,0.0545,17.1,1.905710716067193
-9.0,15.32515489067736,,,243.26928318434577,,,0.0545,17.1,1.905710716067193
