relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0381,10.9,2.1439812395530784
-29.5,,,,,,,0.0381,10.9,2.1439812395530784
-29.0,,,,,,,0.0381,10.9,2.1439812395530784
-28.5,,,,,,,0.0381,10.9,2.1439812395530784
-28.0,,,,,,,0.0381,10.9,2.1439812395530784
-27.5,,,,,,,0.0381,10.9,2.1439812395530784
-27.0,,,,,,,0.0381,10.9,2.1439812395530784
-26.5,,,,,,,0.0381,10.9,2.1439812395530784
-26.0,,,,,,,0.0381,10.9,2.1439812395530784
-25.5,,,,,,,0.0381,10.9,2.1439812395530784
-25.0,,,,,,,0.0381,10.9,2.1439812395530784
-24.5,,,,,,,0.0381,10.9,2.1439812395530784
-24.0,,,,,,,0.0381,10.9,2.1439812395530784
-23.5,,,,,,,0.0381,10.9,2.1439812395530784
-23.0,,,,,,,0.0381,10.9,2.1439812395530784
-22.5,,,,,,,0.0381,10.9,2.1439812395530784
-22.0,,,,,,,0.0381,10.9,2.1439812395530784
-21.5,,,,,,,0.0381,10.9,2.1439812395530784
-21.0,,,,,,,0.0381,10.9,2.1439812395530784
-20.5,,,,,,,0.0381,10.9,2.1439812395530784
-20.0,,,,,,,0.0381,10.9,2.1439812395530784
-19.5,,,,,,,0.0381,10.9,2.1439812395530784
-19.0,,,,,,,0.0381,10.9,2.1439812395530784
-18.5,,,,,,,0.0381,10.9,2.1439812395530784
-18.0,,,,,,,0.0381,10.9,2.1439812395530784
-17.5,,,,,,,0.0381,10.9,2.1439812395530784
-17.0,,,,,,,0.0381,10.9,2.1439812395530784
-16.5,,,,,,,0.0381,10.9,2.1439812395530784
-16.0,,-14.281729757933629,-32.7692054087765,,31.5370993188292,29.3155575688487,0.0381,10.9,2.1439812395530784
-15.5,,,,,,,0.0381,10.9,2.1439812395530784
-15.0,,,,,,,0.0381,10.9,2.1439812395530784
-14.5,,,,,,,0.0381,10.9,2.1439812395530784
-14.0,,-84.05629471346597,1.740559472609936,,44.5898323905537,34.0992398393162,0.0381,10.9,2.1439812395530784
-13.5,,,,,,,0.0381,10.9,2.1439812395530784
-13.0,,,,,,,0.0381,10.9,2.1439812395530784
-12.5,,,,,,,0.0381,10.9,2.1439812395530784
-12.0,,-13.033300946721418,7.771497451548025,,23.5447830671511,22.1750828172047,0.0381,10.9,2.1439812395530784
-11.5,,,,,,,0.0381,10.9,2.1439812395530784
-11.0,,,,,,,0.0381,10.9,2.1439812395530784
-10.5,,,,,,,0.0381,10.9,2.1439812395530784
-10.0,,-50.61392736996756,,,23.4768223747911,,0.0381,10.9,2.1439812395530784
-9.5,,,,,,,0.0381,10.9,2.1439812395530784
-9.0,-125.93625483572086,,,346.8222548290512,,,0.0381,10.9,2.1439812395530784
-8.5,162.06012786801688,,,314.10372285942213,,,0.0381,10.9,2.1439812395530784
