relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0425,19.1,2.32964231875482
-29.5,,,,,,,0.0425,19.1,2.32964231875482
-29.0,,,,,,,0.0425,19.1,2.32964231875482
-28.5,,,,,,,0.0425,19.1,2.32964231875482
-28.0,,,,,,,0.0425,19.1,2.32964231875482
-27.5,,,,,,,0.0425,19.1,2.32964231875482
-27.0,,,,,,,0.0425,19.1,2.32964231875482
-26.5,,,,,,,0.0425,19.1,2.32964231875482
-26.0,,,,,,,0.0425,19.1,2.32964231875482
-25.5,,,,,,,0.0425,19.1,2.32964231875482
-25.0,,,,,,,0.0425,19.1,2.32964231875482
-24.5,,,,,,,0.0425,19.1,2.32964231875482
-24.0,,,,,,,0.0425,19.1,2.32964231875482
-23.5,,,,,,,0.0425,19.1,2.32964231875482
-23.0,,,,,,,0.0425,19.1,2.32964231875482
-22.5,,,,,,,0.0425,19.1,2.32964231875482
-22.0,,,,,,,0.0425,19.1,2.32964231875482
-21.5,,,,,,,0.0425,19.1,2.32964231875482
-21.0,,,,,,,0.0425,19.1,2.32964231875482
-20.5,,,,,,,0.0425,19.1,2.32964231875482
-20.0,,,,,,,0.0425,19.1,2.32964231875482
-19.5,,,,,,,0.0425,19.1,2.32964231875482
-19.0,,-51.44750306926469,-51.52438104211895,,64.0020599854255,57.716837695144,0.0425,19.1,2.32964231875482
-18.5,,,,,,,0.0425,19.1,2.32964231875482
-18.0,,,,,,,0.0425,19.1,2.32964231875482
-17.5,,,,,,,0.0425,19.1,2.32964231875482
-17.0,,40.57373264848936,-20.47101879433068,,28.5162625712436,35.2756326518063,0.0425,19.1,2.32964231875482
-16.5,,,,,,,0.0425,19.1,2.32964231875482
-16.0,,,,,,,0.0425,19.1,2.32964231875482
-15.5,,,,,,,0.0425,19.1,2.32964231875482
-15.0,,18.690449284338595,8.875293560726332,,22.4841248735528,26.1760903599992,0.0425,19.1,2.32964231875482
-14.5,,,,,,,0.0425,19.1,2.32964231875482
-14.0,,,,,,,0.0425,19.1,2.32964231875482
-13.5,,,,,,,0.0425,19.1,2.32964231875482
-13.0,,,-48.43404603862329,,,23.4981273205751,0.0425,19.1,2.32964231875482
-12.5,-1046.75409191541,,,239.07137871664258,,,0.0425,19.1,2.32964231875482
-12.0,-1066.3980711641661,,,229.70991751275884,,,0.0425,19.1,2.32964231875482
-11.5,-1036.9432049506356,,,233.7715844888427,,,0.0425,19.1,2.32964231875482
-11.0,-989.8147510364247,42.99906209048799,51.522086063125435,228.46976985738615,48.8627243387252,27.2328801807198,0.0425,19.1,2.32964231875482
-10.5,-1053.1857507946984,,,242.68472715017614,,,0.0425,19.1,2.32964231875482
-10.0,-1307.5333488910437,,,248.07088759261507,,,0.0425,19.1,2.32964231875482
-9.5,-1322.7006226697579,,,249.5932795505991,,,0.0425,19.1,2.32964231875482
-9.0,-1158.489198061142,,,241.2426263394734,,,0.0425,19.1,2.32964231875482
-8.5,-1308.135050299564,,,247.34154782637927,,,0.0425,19.1,2.32964231875482
-8.0,-1061.4328739886332,,,240.6192960550788,,,0.0425,19.1,2.32964231875482
-7.5,-1003.562085052636,,,235.02152381406955,,,0.0425,19.1,2.32964231875482
-7.0,-1119.752543563748,,,237.9990182451816,,,0.0425,19.1,2.32964231875482
-6.5,-1034.0918737858628,,,232.25213998307703,,,0.0425,19.1,2.32964231875482
-6.0,-1121.3167966230626,-31.646814345995846,-12.893115543185584,234.92080139559593,27.6851142039278,28.6766765201148,0.0425,19.1,2.32964231875482
-5.5,-1164.666472629459,,,237.23293598951605,,,0.0425,19.1,2.32964231875482
-5.0,-1091.9445671012957,,,232.857263421594,,,0.0425,19.1,2.32964231875482
-4.5,-1260.878790076311,,,237.52962272492493,,,0.0425,19.1,2.32964231875482
-4.0,-1236.0750875636813,,-51.77336510253908,236.82055872202187,,27.759332458056,0.0425,19.1,2.32964231875482
-3.5,-1151.3094482608874,,,241.50223511252452,,,0.0425,19.1,2.32964231875482
-3.0,-1073.579937434938,,,236.79894970416018,,,0.0425,19.1,2.32964231875482
-2.5,-1226.3439703511356,,,229.38600937055165,,,0.0425,19.1,2.32964231875482
-2.0,-1079.0851426649572,,69.7790795319043,234.0390308256362,,66.7182396224586,0.0425,19.1,2.32964231875482
-1.5,-1378.103751586873,,,235.88246290315553,,,0.0425,19.1,2.32964231875482
-1.0,,,,,,,0.0425,19.1,2.32964231875482
-0.5,,,,,,,0.0425,19.1,2.32964231875482
0.0,1272.0852512758306,477.16357602101283,463.67366502257056,213.37670454545452,39.6638882906185,48.9591554890733,0.0425,19.1,2.32964231875482
0.5,918.1248517957977,,,228.40448672657877,,,0.0425,19.1,2.32964231875482
1.0,799.2297123706298,,,224.12110988739795,,,0.0425,19.1,2.32964231875482
1.5,890.5825734811237,,,223.6270527245628,,,0.0425,19.1,2.32964231875482
2.0,984.147810209493,1143.9968611451425,1131.2410051156487,226.0104275058151,79.5557381708401,96.2118992278282,0.0425,19.1,2.32964231875482
2.5,1346.458506376005,,,230.6156477711919,,,0.0425,19.1,2.32964231875482
3.0,1489.0692547970575,,,237.3597217182556,,,0.0425,19.1,2.32964231875482
3.5,1238.114697766578,,,230.0845698114229,,,0.0425,19.1,2.32964231875482
4.0,1624.884831396047,,,233.12786472165868,,,0.0425,19.1,2.32964231875482
4.5,1952.500003561624,,,235.51286666812942,,,0.0425,19.1,2.32964231875482
5.0,2383.1703602587468,,,234.57342514660098,,,0.0425,19.1,2.32964231875482
5.5,2818.0807818168487,,,242.7991457897871,,,0.0425,19.1,2.32964231875482
6.0,3160.073504605537,,,238.24747021193062,,,0.0425,19.1,2.32964231875482
6.5,3504.1125620628945,,,235.87959566253377,,,0.0425,19.1,2.32964231875482
