relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0526,11.1,2.968246770214513
-29.5,,,,,,,0.0526,11.1,2.968246770214513
-29.0,,-114.1193844412153,,,105.593105000759,,0.0526,11.1,2.968246770214513
-28.5,,,,,,,0.0526,11.1,2.968246770214513
-28.0,,,,,,,0.0526,11.1,2.968246770214513
-27.5,,,,,,,0.0526,11.1,2.968246770214513
-27.0,,16.247402657640926,-39.966177415604456,,50.3310720036472,40.0246457301734,0.0526,11.1,2.968246770214513
-26.5,,,,,,,0.0526,11.1,2.968246770214513
-26.0,,,,,,,0.0526,11.1,2.968246770214513
-25.5,,,,,,,0.0526,11.1,2.968246770214513
-25.0,,,,,,,0.0526,11.1,2.968246770214513
-24.5,,,,,,,0.0526,11.1,2.968246770214513
-24.0,,,,,,,0.0526,11.1,2.968246770214513
-23.5,,,,,,,0.0526,11.1,2.968246770214513
-23.0,,0.043916550229663814,-89.73635019668441,,23.014719236386,29.5881025163793,0.0526,11.1,2.968246770214513
-22.5,,,,,,,0.0526,11.1,2.968246770214513
-22.0,,,,,,,0.0526,11.1,2.968246770214513
-21.5,383.8761784820064,,,469.84919311624367,,,0.0526,11.1,2.968246770214513
-21.0,-44.785677124607346,,,446.9715006650636,,,0.0526,11.1,2.968246770214513
-20.5,-114.27805469247183,,,453.41991388459934,,,0.0526,11.1,2.968246770214513
-20.0,-106.36826656253103,,,452.35977011964053,,,0.0526,11.1,2.968246770214513
-19.5,43.75221993051499,,,455.5142706139066,,,0.0526,11.1,2.968246770214513
-19.0,26.317841810841593,,,454.1191349995797,,,0.0526,11.1,2.968246770214513
-18.5,13.536041195423039,,,445.0056511457618,,,0.0526,11.1,2.968246770214513
-18.0,-78.6430332800801,,,445.71799877851583,,,0.0526,11.1,2.968246770214513
-17.5,-242.1001509455601,,,449.544260039243,,,0.0526,11.1,2.968246770214513
-17.0,151.84935790205378,,,447.284154508642,,,0.0526,11.1,2.968246770214513
-16.5,-70.8344267104482,,,440.66035492395565,,,0.0526,11.1,2.968246770214513
-16.0,-144.39802945332258,,,433.48586673199213,,,0.0526,11.1,2.968246770214513
