relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-0.9115344640442572,-98.91034777875761,,62.0483486108047,90.9551425472106,0.0288,14.1,3.788419488681556
-29.5,,,,,,,0.0288,14.1,3.788419488681556
-29.0,,,,,,,0.0288,14.1,3.788419488681556
-28.5,,,,,,,0.0288,14.1,3.788419488681556
-28.0,,,,,,,0.0288,14.1,3.788419488681556
-27.5,,,,,,,0.0288,14.1,3.788419488681556
-27.0,,-11.597685947782603,,,48.233889230443,,0.0288,14.1,3.788419488681556
-26.5,,,,,,,0.0288,14.1,3.788419488681556
-26.0,,,,,,,0.0288,14.1,3.788419488681556
-25.5,,,,,,,0.0288,14.1,3.788419488681556
-25.0,,,,,,,0.0288,14.1,3.788419488681556
-24.5,,,,,,,0.0288,14.1,3.788419488681556
-24.0,,27.725224469174794,,,39.2514904339267,,0.0288,14.1,3.788419488681556
-23.5,-263.5584332604604,,,272.2454024196094,,,0.0288,14.1,3.788419488681556
-23.0,-419.0626327059416,,,254.77503404606298,,,0.0288,14.1,3.788419488681556
-22.5,-334.5586775959123,,,253.4236820404434,,,0.0288,14.1,3.788419488681556
-22.0,-365.2749810008828,,,259.29877091509485,,,0.0288,14.1,3.788419488681556
-21.5,-403.3711549803552,,,260.6307180417658,,,0.0288,14.1,3.788419488681556
-21.0,-315.6729030008767,,,262.09717779733074,,,0.0288,14.1,3.788419488681556
-20.5,-322.93229092385724,,,257.6286818773986,,,0.0288,14.1,3.788419488681556
-20.0,-293.00154233957267,,,256.31957631528513,,,0.0288,14.1,3.788419488681556
-19.5,-216.4781645526463,,,255.43795707047715,,,0.0288,14.1,3.788419488681556
-19.0,-231.9721361789888,,,262.5899958278995,,,0.0288,14.1,3.788419488681556
-18.5,-282.14051715036686,,,265.35970086148416,,,0.0288,14.1,3.788419488681556
-18.0,-212.08671915076877,,,259.9876750114521,,,0.0288,14.1,3.788419488681556
-17.5,-322.5468676436704,,,259.6254291278959,,,0.0288,14.1,3.788419488681556
-17.0,-317.3802962440412,,,264.38000717192455,,,0.0288,14.1,3.788419488681556
-16.5,-305.3213203285103,,,265.3895144365046,,,0.0288,14.1,3.788419488681556
-16.0,-244.67573926200123,,,263.4977396592062,,,0.0288,14.1,3.788419488681556
-15.5,-220.59789512773415,,,269.1204372258342,,,0.0288,14.1,3.788419488681556
-15.0,-295.6512164977677,,,266.38687296033584,,,0.0288,14.1,3.788419488681556
-14.5,-194.12043236175566,,,265.9278340932484,,,0.0288,14.1,3.788419488681556
-14.0,-185.52478137471905,,0.3400688048176638,269.33393762994433,,29.3222675643597,0.0288,14.1,3.788419488681556
-13.5,-311.2917448649025,,,269.0614799889475,,,0.0288,14.1,3.788419488681556
-13.0,-230.85335582099927,,,274.0917851826675,,,0.0288,14.1,3.788419488681556
-12.5,,,,,,,0.0288,14.1,3.788419488681556
-12.0,,,34.53177566918587,,,27.8056847321888,0.0288,14.1,3.788419488681556
-11.5,,,,,,,0.0288,14.1,3.788419488681556
-11.0,,,,,,,0.0288,14.1,3.788419488681556
-10.5,-85.29975865497133,,,276.92334578271243,,,0.0288,14.1,3.788419488681556
-10.0,-257.490379696726,,,269.6890604332164,,,0.0288,14.1,3.788419488681556
-9.5,-328.81116452408673,,,260.8098782541507,,,0.0288,14.1,3.788419488681556
-9.0,-255.5092961015083,-15.49265311975848,,264.72081323218185,50.8676918638403,,0.0288,14.1,3.788419488681556
-8.5,-171.0461937171391,,,268.2183266423617,,,0.0288,14.1,3.788419488681556
-8.0,-157.48147467010114,,,263.5589060703411,,,0.0288,14.1,3.788419488681556
-7.5,-204.42737940044987,,,262.12128549102357,,,0.0288,14.1,3.788419488681556
-7.0,-145.9785032144863,50.21165577024417,63.05953810467265,261.2600652345903,74.9473891128924,78.9174317588661,0.0288,14.1,3.788419488681556
-6.5,-101.79667941952275,,,261.9565649388681,,,0.0288,14.1,3.788419488681556
-6.0,-115.92507303571358,,,260.6351811080966,,,0.0288,14.1,3.788419488681556
-5.5,-52.93944037520495,,,260.4688920091429,,,0.0288,14.1,3.788419488681556
-5.0,34.50928377963095,,,258.6452986643905,,,0.0288,14.1,3.788419488681556
-4.5,-4.831017502926414,,,257.81293804862884,,,0.0288,14.1,3.788419488681556
-4.0,148.07243820746504,,,256.4276025910604,,,0.0288,14.1,3.788419488681556
-3.5,260.62000800458634,,,259.67336776891636,,,0.0288,14.1,3.788419488681556
-3.0,354.08276466674624,,,252.78552852613095,,,0.0288,14.1,3.788419488681556
-2.5,510.99994479264046,,,258.62204238421555,,,0.0288,14.1,3.788419488681556
-2.0,562.4011390837303,,524.1438550410564,260.33259969632644,,95.7067694881345,0.0288,14.1,3.788419488681556
-1.5,516.7037292248621,,,248.09316152957317,,,0.0288,14.1,3.788419488681556
-1.0,682.8241609550562,,,243.5702957043587,,,0.0288,14.1,3.788419488681556
-0.5,833.295391357525,,,247.88732219818624,,,0.0288,14.1,3.788419488681556
0.0,825.8950764087056,70.0208797897716,864.1523604513794,253.9667710491028,83.1404849693618,58.7725777354986,0.0288,14.1,3.788419488681556
0.5,,,,,,,0.0288,14.1,3.788419488681556
1.0,,,,,,,0.0288,14.1,3.788419488681556
1.5,,,,,,,0.0288,14.1,3.788419488681556
2.0,,1245.7450582754122,1246.3536618816233,,31.6089254414718,31.0665926967932,0.0288,14.1,3.788419488681556
2.5,,,,,,,0.0288,14.1,3.788419488681556
3.0,,,,,,,0.0288,14.1,3.788419488681556
3.5,,,,,,,0.0288,14.1,3.788419488681556
4.0,,1501.0447431110433,,,32.6715319549598,,0.0288,14.1,3.788419488681556
4.5,,,,,,,0.0288,14.1,3.788419488681556
5.0,,,,,,,0.0288,14.1,3.788419488681556
5.5,,,,,,,0.0288,14.1,3.788419488681556
6.0,,,1037.8435664757624,,,32.2309481963645,0.0288,14.1,3.788419488681556
6.5,,,,,,,0.0288,14.1,3.788419488681556
7.0,,,,,,,0.0288,14.1,3.788419488681556
7.5,,,,,,,0.0288,14.1,3.788419488681556
8.0,,1392.4438680354317,1669.3127880970133,,40.208595502318,33.4231164742135,0.0288,14.1,3.788419488681556
8.5,,,,,,,0.0288,14.1,3.788419488681556
9.0,,,,,,,0.0288,14.1,3.788419488681556
9.5,,,,,,,0.0288,14.1,3.788419488681556
10.0,,167.13782539057829,314.8027521933487,,39.1304218569931,29.8375997340761,0.0288,14.1,3.788419488681556
10.5,,,,,,,0.0288,14.1,3.788419488681556
11.0,,,,,,,0.0288,14.1,3.788419488681556
11.5,,,,,,,0.0288,14.1,3.788419488681556
12.0,,,1827.5012715111604,,,30.0011458352221,0.0288,14.1,3.788419488681556
12.5,,,,,,,0.0288,14.1,3.788419488681556
13.0,,,,,,,0.0288,14.1,3.788419488681556
13.5,,,,,,,0.0288,14.1,3.788419488681556
14.0,,,,,,,0.0288,14.1,3.788419488681556
14.5,,,,,,,0.0288,14.1,3.788419488681556
15.0,,,,,,,0.0288,14.1,3.788419488681556
15.5,,,,,,,0.0288,14.1,3.788419488681556
16.0,,1746.726296733704,1499.0775958907102,,31.2383636829726,30.7882719638317,0.0288,14.1,3.788419488681556
16.5,,,,,,,0.0288,14.1,3.788419488681556
17.0,,,,,,,0.0288,14.1,3.788419488681556
17.5,,,,,,,0.0288,14.1,3.788419488681556
18.0,,1420.7062341822964,1261.2476228309083,,41.1954831554477,41.0870329426369,0.0288,14.1,3.788419488681556
18.5,,,,,,,0.0288,14.1,3.788419488681556
19.0,,,,,,,0.0288,14.1,3.788419488681556
19.5,,,,,,,0.0288,14.1,3.788419488681556
20.0,,,1008.8208362730078,,,51.3075246983189,0.0288,14.1,3.788419488681556
20.5,,,,,,,0.0288,14.1,3.788419488681556
21.0,,,,,,,0.0288,14.1,3.788419488681556
21.5,,,,,,,0.0288,14.1,3.788419488681556
22.0,,,,,,,0.0288,14.1,3.788419488681556
22.5,,,,,,,0.0288,14.1,3.788419488681556
23.0,,,,,,,0.0288,14.1,3.788419488681556
23.5,,,,,,,0.0288,14.1,3.788419488681556
24.0,,,,,,,0.0288,14.1,3.788419488681556
24.5,,,,,,,0.0288,14.1,3.788419488681556
25.0,,,,,,,0.0288,14.1,3.788419488681556
25.5,,,,,,,0.0288,14.1,3.788419488681556
26.0,,,,,,,0.0288,14.1,3.788419488681556
26.5,,,,,,,0.0288,14.1,3.788419488681556
27.0,,,,,,,0.0288,14.1,3.788419488681556
27.5,,,,,,,0.0288,14.1,3.788419488681556
28.0,,,,,,,0.0288,14.1,3.788419488681556
28.5,,,,,,,0.0288,14.1,3.788419488681556
29.0,,915.6853188635602,474.58895943586117,,52.4204756315068,27.7887012782696,0.0288,14.1,3.788419488681556
29.5,,,,,,,0.0288,14.1,3.788419488681556
30.0,,,,,,,0.0288,14.1,3.788419488681556
30.5,,,,,,,0.0288,14.1,3.788419488681556
31.0,,815.2367243811346,,,35.9235293184622,,0.0288,14.1,3.788419488681556
31.5,,,,,,,0.0288,14.1,3.788419488681556
32.0,,,,,,,0.0288,14.1,3.788419488681556
32.5,,,,,,,0.0288,14.1,3.788419488681556
33.0,,889.4776711332707,,,34.0356835094983,,0.0288,14.1,3.788419488681556
33.5,,,,,,,0.0288,14.1,3.788419488681556
34.0,,,,,,,0.0288,14.1,3.788419488681556
34.5,,,,,,,0.0288,14.1,3.788419488681556
35.0,,854.7271732557317,244.61837833880375,,30.4166697869763,26.3665773353454,0.0288,14.1,3.788419488681556
35.5,,,,,,,0.0288,14.1,3.788419488681556
36.0,,,,,,,0.0288,14.1,3.788419488681556
36.5,,,,,,,0.0288,14.1,3.788419488681556
37.0,,689.4350884825649,193.9928417949805,,30.0725083678282,22.6398041673005,0.0288,14.1,3.788419488681556
37.5,,,,,,,0.0288,14.1,3.788419488681556
38.0,,,,,,,0.0288,14.1,3.788419488681556
38.5,,,,,,,0.0288,14.1,3.788419488681556
39.0,,,264.32120394630954,,,23.1953562281332,0.0288,14.1,3.788419488681556
39.5,,,,,,,0.0288,14.1,3.788419488681556
40.0,,,,,,,0.0288,14.1,3.788419488681556
40.5,,,,,,,0.0288,14.1,3.788419488681556
41.0,,655.2918212481927,,,31.4447639939889,,0.0288,14.1,3.788419488681556
41.5,,,,,,,0.0288,14.1,3.788419488681556
42.0,,,,,,,0.0288,14.1,3.788419488681556
42.5,,,,,,,0.0288,14.1,3.788419488681556
43.0,,572.230722621327,,,28.1139855606949,,0.0288,14.1,3.788419488681556
43.5,,,,,,,0.0288,14.1,3.788419488681556
44.0,,,,,,,0.0288,14.1,3.788419488681556
44.5,,,,,,,0.0288,14.1,3.788419488681556
45.0,,318.7314879126892,,,39.1876046773226,,0.0288,14.1,3.788419488681556
45.5,,,,,,,0.0288,14.1,3.788419488681556
46.0,,,,,,,0.0288,14.1,3.788419488681556
46.5,,,,,,,0.0288,14.1,3.788419488681556
47.0,,,,,,,0.0288,14.1,3.788419488681556
47.5,,,,,,,0.0288,14.1,3.788419488681556
48.0,,385.8453034313645,137.19273917520906,,42.5765412380056,46.6135925463241,0.0288,14.1,3.788419488681556
48.5,,,,,,,0.0288,14.1,3.788419488681556
49.0,,,,,,,0.0288,14.1,3.788419488681556
49.5,,,,,,,0.0288,14.1,3.788419488681556
50.0,,,220.7646258180873,,,112.489732489953,0.0288,14.1,3.788419488681556
50.5,,,,,,,0.0288,14.1,3.788419488681556
51.0,,,,,,,0.0288,14.1,3.788419488681556
51.5,,,,,,,0.0288,14.1,3.788419488681556
52.0,,,,,,,0.0288,14.1,3.788419488681556
52.5,,,,,,,0.0288,14.1,3.788419488681556
53.0,,,47.78023092347173,,,102.734113342299,0.0288,14.1,3.788419488681556
53.5,,,,,,,0.0288,14.1,3.788419488681556
54.0,,,,,,,0.0288,14.1,3.788419488681556
54.5,,,,,,,0.0288,14.1,3.788419488681556
55.0,,,,,,,0.0288,14.1,3.788419488681556
55.5,,,,,,,0.0288,14.1,3.788419488681556
56.0,,170.38529968448861,152.98014281835594,,49.4579878312469,66.7990084421882,0.0288,14.1,3.788419488681556
56.5,,,,,,,0.0288,14.1,3.788419488681556
57.0,,,,,,,0.0288,14.1,3.788419488681556
57.5,,,,,,,0.0288,14.1,3.788419488681556
58.0,,,,,,,0.0288,14.1,3.788419488681556
58.5,,,,,,,0.0288,14.1,3.788419488681556
59.0,,281.9583536273252,,,27.7359388455403,,0.0288,14.1,3.788419488681556
59.5,,,,,,,0.0288,14.1,3.788419488681556
60.0,,,,,,,0.0288,14.1,3.788419488681556
60.5,,,,,,,0.0288,14.1,3.788419488681556
61.0,,205.65246105543338,124.7014440836482,,29.0759096908624,34.2842137803086,0.0288,14.1,3.788419488681556
61.5,,,,,,,0.0288,14.1,3.788419488681556
62.0,,,,,,,0.0288,14.1,3.788419488681556
62.5,,,,,,,0.0288,14.1,3.788419488681556
63.0,,341.4026446201581,,,29.1030876543256,,0.0288,14.1,3.788419488681556
63.5,,,,,,,0.0288,14.1,3.788419488681556
64.0,,,,,,,0.0288,14.1,3.788419488681556
64.5,,,,,,,0.0288,14.1,3.788419488681556
65.0,,293.4184626613999,92.44876094038787,,38.6482416921392,31.919348761745,0.0288,14.1,3.788419488681556
65.5,,,,,,,0.0288,14.1,3.788419488681556
66.0,,,,,,,0.0288,14.1,3.788419488681556
66.5,,,,,,,0.0288,14.1,3.788419488681556
67.0,,85.53017328745,88.21822538500247,,51.1180916082944,34.1780990804578,0.0288,14.1,3.788419488681556
67.5,,,,,,,0.0288,14.1,3.788419488681556
68.0,,,,,,,0.0288,14.1,3.788419488681556
68.5,,,,,,,0.0288,14.1,3.788419488681556
69.0,,,106.44866871969793,,,32.9425099524078,0.0288,14.1,3.788419488681556
69.5,,,,,,,0.0288,14.1,3.788419488681556
70.0,,,,,,,0.0288,14.1,3.788419488681556
