relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-119.67695599892521,109.42013127894928,,127.88490143554031,90.02164514810329,0.1347,12.0,1.7657356037137106
-29.5,,,,,,,0.1347,12.0,1.7657356037137106
-29.0,,,,,,,0.1347,12.0,1.7657356037137106
-28.5,,,,,,,0.1347,12.0,1.7657356037137106
-28.0,,64.65831526730382,36.02037673222036,,94.74394091348344,59.97224054923766,0.1347,12.0,1.7657356037137106
-27.5,,,,,,,0.1347,12.0,1.7657356037137106
-27.0,,,,,,,0.1347,12.0,1.7657356037137106
-26.5,,,,,,,0.1347,12.0,1.7657356037137106
-26.0,,12.397429986847714,55.695796555785925,,64.88324138086318,34.5190310059979,0.1347,12.0,1.7657356037137106
-25.5,,,,,,,0.1347,12.0,1.7657356037137106
-25.0,,,,,,,0.1347,12.0,1.7657356037137106
-24.5,,,,,,,0.1347,12.0,1.7657356037137106
-24.0,,,54.2378582407491,,,35.77775460462955,0.1347,12.0,1.7657356037137106
-23.5,,,,,,,0.1347,12.0,1.7657356037137106
-23.0,,,,,,,0.1347,12.0,1.7657356037137106
-22.5,,,,,,,0.1347,12.0,1.7657356037137106
-22.0,,91.634010004756,34.30529050592054,,70.09091930017708,35.04115213406313,0.1347,12.0,1.7657356037137106
-21.5,,,,,,,0.1347,12.0,1.7657356037137106
-21.0,,,,,,,0.1347,12.0,1.7657356037137106
-20.5,,,,,,,0.1347,12.0,1.7657356037137106
-20.0,,,,,,,0.1347,12.0,1.7657356037137106
-19.5,,,,,,,0.1347,12.0,1.7657356037137106
-19.0,,19.18180019915823,64.66900934127038,,71.25411529005375,40.844657765202726,0.1347,12.0,1.7657356037137106
-18.5,,,,,,,0.1347,12.0,1.7657356037137106
-18.0,,,,,,,0.1347,12.0,1.7657356037137106
-17.5,,,,,,,0.1347,12.0,1.7657356037137106
-17.0,,,,,,,0.1347,12.0,1.7657356037137106
-16.5,,,,,,,0.1347,12.0,1.7657356037137106
-16.0,,301.1573629394755,7.721369489108835,,68.09130001772422,39.04536896943363,0.1347,12.0,1.7657356037137106
-15.5,,,,,,,0.1347,12.0,1.7657356037137106
-15.0,,,,,,,0.1347,12.0,1.7657356037137106
-14.5,,,,,,,0.1347,12.0,1.7657356037137106
-14.0,,265.9742447610136,130.18980171578283,,65.19172657536569,46.742075380559406,0.1347,12.0,1.7657356037137106
-13.5,,,,,,,0.1347,12.0,1.7657356037137106
-13.0,,,,,,,0.1347,12.0,1.7657356037137106
-12.5,,,,,,,0.1347,12.0,1.7657356037137106
-12.0,,60.554606921732514,,,119.68223691123376,,0.1347,12.0,1.7657356037137106
-11.5,,,,,,,0.1347,12.0,1.7657356037137106
-11.0,,,,,,,0.1347,12.0,1.7657356037137106
-10.5,,,,,,,0.1347,12.0,1.7657356037137106
-10.0,,103.04374355019368,81.27325334224605,,72.66970070583989,42.67847671041666,0.1347,12.0,1.7657356037137106
-9.5,,,,,,,0.1347,12.0,1.7657356037137106
-9.0,,,,,,,0.1347,12.0,1.7657356037137106
-8.5,,,,,,,0.1347,12.0,1.7657356037137106
-8.0,,25.346096483557254,,,90.66678782723702,,0.1347,12.0,1.7657356037137106
-7.5,,,,,,,0.1347,12.0,1.7657356037137106
-7.0,,,,,,,0.1347,12.0,1.7657356037137106
-6.5,,,,,,,0.1347,12.0,1.7657356037137106
-6.0,,167.61479591512602,55.95385310799108,,116.91554493257756,50.87627184179383,0.1347,12.0,1.7657356037137106
-5.5,,,,,,,0.1347,12.0,1.7657356037137106
-5.0,,,,,,,0.1347,12.0,1.7657356037137106
-4.5,,,,,,,0.1347,12.0,1.7657356037137106
-4.0,,,,,,,0.1347,12.0,1.7657356037137106
-3.5,,,,,,,0.1347,12.0,1.7657356037137106
-3.0,,,,,,,0.1347,12.0,1.7657356037137106
-2.5,,,,,,,0.1347,12.0,1.7657356037137106
-2.0,,480.4562833431528,312.0288274034058,,136.07362357765356,104.23474640365768,0.1347,12.0,1.7657356037137106
-1.5,,,,,,,0.1347,12.0,1.7657356037137106
-1.0,,,,,,,0.1347,12.0,1.7657356037137106
-0.5,,,,,,,0.1347,12.0,1.7657356037137106
0.0,,851.2095218725569,492.8011865108626,,144.5509938483188,89.7115648035415,0.1347,12.0,1.7657356037137106
0.5,,,,,,,0.1347,12.0,1.7657356037137106
1.0,,,,,,,0.1347,12.0,1.7657356037137106
1.5,,,,,,,0.1347,12.0,1.7657356037137106
2.0,,585.7924852223712,,,130.7120907546794,,0.1347,12.0,1.7657356037137106
2.5,,,,,,,0.1347,12.0,1.7657356037137106
3.0,,,,,,,0.1347,12.0,1.7657356037137106
3.5,,,,,,,0.1347,12.0,1.7657356037137106
4.0,,1553.5897725645968,1316.1423084743458,,84.18241816855885,46.375078815048816,0.1347,12.0,1.7657356037137106
4.5,,,,,,,0.1347,12.0,1.7657356037137106
5.0,,,,,,,0.1347,12.0,1.7657356037137106
5.5,,,,,,,0.1347,12.0,1.7657356037137106
6.0,,,,,,,0.1347,12.0,1.7657356037137106
6.5,,,,,,,0.1347,12.0,1.7657356037137106
7.0,,2198.275947043166,571.3220774711456,,89.19378393599648,43.95147565474646,0.1347,12.0,1.7657356037137106
7.5,,,,,,,0.1347,12.0,1.7657356037137106
8.0,,,,,,,0.1347,12.0,1.7657356037137106
8.5,,,,,,,0.1347,12.0,1.7657356037137106
9.0,,2730.3123181419983,2492.8418952665525,,103.13780388646911,59.45721235100048,0.1347,12.0,1.7657356037137106
9.5,,,,,,,0.1347,12.0,1.7657356037137106
10.0,,,,,,,0.1347,12.0,1.7657356037137106
10.5,,,,,,,0.1347,12.0,1.7657356037137106
11.0,,2694.6463914774663,2440.2005526753283,,93.8354610072047,58.13029448897227,0.1347,12.0,1.7657356037137106
11.5,,,,,,,0.1347,12.0,1.7657356037137106
12.0,,,,,,,0.1347,12.0,1.7657356037137106
12.5,,,,,,,0.1347,12.0,1.7657356037137106
13.0,,,2665.526101656934,,,54.45250356202466,0.1347,12.0,1.7657356037137106
13.5,,,,,,,0.1347,12.0,1.7657356037137106
14.0,,,,,,,0.1347,12.0,1.7657356037137106
14.5,,,,,,,0.1347,12.0,1.7657356037137106
15.0,,2681.4606021936956,2409.441516310436,,88.90773754053049,51.43994334779809,0.1347,12.0,1.7657356037137106
15.5,,,,,,,0.1347,12.0,1.7657356037137106
16.0,,,,,,,0.1347,12.0,1.7657356037137106
16.5,,,,,,,0.1347,12.0,1.7657356037137106
17.0,,2570.737311020094,2307.995433264561,,86.174105893152,59.35658029804468,0.1347,12.0,1.7657356037137106
17.5,,,,,,,0.1347,12.0,1.7657356037137106
18.0,,,,,,,0.1347,12.0,1.7657356037137106
18.5,,,,,,,0.1347,12.0,1.7657356037137106
19.0,,2432.415282216398,1922.972742583036,,93.03621817843016,49.53487934233932,0.1347,12.0,1.7657356037137106
19.5,,,,,,,0.1347,12.0,1.7657356037137106
20.0,,,,,,,0.1347,12.0,1.7657356037137106
20.5,,,,,,,0.1347,12.0,1.7657356037137106
21.0,,,,,,,0.1347,12.0,1.7657356037137106
21.5,,,,,,,0.1347,12.0,1.7657356037137106
22.0,,2455.9426845550674,,,101.58005353442675,,0.1347,12.0,1.7657356037137106
22.5,,,,,,,0.1347,12.0,1.7657356037137106
23.0,,,,,,,0.1347,12.0,1.7657356037137106
23.5,,,,,,,0.1347,12.0,1.7657356037137106
24.0,,,,,,,0.1347,12.0,1.7657356037137106
24.5,,,,,,,0.1347,12.0,1.7657356037137106
25.0,,,49.17374976523386,,,191.22107756060663,0.1347,12.0,1.7657356037137106
25.5,,,,,,,0.1347,12.0,1.7657356037137106
26.0,,,,,,,0.1347,12.0,1.7657356037137106
26.5,,,,,,,0.1347,12.0,1.7657356037137106
27.0,,,,,,,0.1347,12.0,1.7657356037137106
27.5,,,,,,,0.1347,12.0,1.7657356037137106
28.0,,,,,,,0.1347,12.0,1.7657356037137106
28.5,,,,,,,0.1347,12.0,1.7657356037137106
29.0,,,,,,,0.1347,12.0,1.7657356037137106
29.5,,,,,,,0.1347,12.0,1.7657356037137106
30.0,,,,,,,0.1347,12.0,1.7657356037137106
30.5,,,,,,,0.1347,12.0,1.7657356037137106
31.0,,1075.0414191658228,625.5068578504045,,136.27454740987935,74.49627202351968,0.1347,12.0,1.7657356037137106
31.5,,,,,,,0.1347,12.0,1.7657356037137106
32.0,,,,,,,0.1347,12.0,1.7657356037137106
32.5,,,,,,,0.1347,12.0,1.7657356037137106
33.0,,1249.2008593564794,720.4545900310062,,99.14312403807264,53.37108105396801,0.1347,12.0,1.7657356037137106
33.5,,,,,,,0.1347,12.0,1.7657356037137106
34.0,,,,,,,0.1347,12.0,1.7657356037137106
34.5,,,,,,,0.1347,12.0,1.7657356037137106
35.0,,,,,,,0.1347,12.0,1.7657356037137106
35.5,,,,,,,0.1347,12.0,1.7657356037137106
36.0,,,700.8066769319271,,,47.64692002667439,0.1347,12.0,1.7657356037137106
36.5,,,,,,,0.1347,12.0,1.7657356037137106
37.0,,,,,,,0.1347,12.0,1.7657356037137106
37.5,,,,,,,0.1347,12.0,1.7657356037137106
38.0,,1552.2720826710884,657.3225544792386,,86.91335984970173,51.96133247164156,0.1347,12.0,1.7657356037137106
38.5,,,,,,,0.1347,12.0,1.7657356037137106
39.0,,,,,,,0.1347,12.0,1.7657356037137106
39.5,,,,,,,0.1347,12.0,1.7657356037137106
40.0,,,,,,,0.1347,12.0,1.7657356037137106
40.5,,,,,,,0.1347,12.0,1.7657356037137106
41.0,,,,,,,0.1347,12.0,1.7657356037137106
41.5,,,,,,,0.1347,12.0,1.7657356037137106
42.0,,,,,,,0.1347,12.0,1.7657356037137106
42.5,,,,,,,0.1347,12.0,1.7657356037137106
43.0,,1296.7937339407638,,,72.91095860870003,,0.1347,12.0,1.7657356037137106
43.5,,,,,,,0.1347,12.0,1.7657356037137106
44.0,,,,,,,0.1347,12.0,1.7657356037137106
44.5,,,,,,,0.1347,12.0,1.7657356037137106
45.0,,,,,,,0.1347,12.0,1.7657356037137106
45.5,,,,,,,0.1347,12.0,1.7657356037137106
46.0,,1111.7178673203205,291.33335896915344,,76.65533288117322,38.16904074918136,0.1347,12.0,1.7657356037137106
46.5,,,,,,,0.1347,12.0,1.7657356037137106
47.0,,,,,,,0.1347,12.0,1.7657356037137106
47.5,,,,,,,0.1347,12.0,1.7657356037137106
48.0,,1076.558267430303,278.9079359705697,,92.3193667528653,36.20130436550208,0.1347,12.0,1.7657356037137106
48.5,,,,,,,0.1347,12.0,1.7657356037137106
