relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-29.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-29.0,,40.66342990331527,62.91709221971686,,35.4943706409763,40.5762984466572,0.0255,4.200000000000003,2.9347326207945343
-28.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-28.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-27.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-27.0,,35.226347109235924,20.701834305729545,,30.1714921965287,21.3241074410221,0.0255,4.200000000000003,2.9347326207945343
-26.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-26.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-25.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-25.0,,-17.088664056358045,-32.36021931663252,,23.8520323281266,20.6184161200774,0.0255,4.200000000000003,2.9347326207945343
-24.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-24.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-23.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-23.0,,25.510727084621525,33.644961571767524,,26.0229624152827,21.8470885999677,0.0255,4.200000000000003,2.9347326207945343
-22.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-22.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-21.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-21.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-20.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-20.0,,41.17245148673396,-47.04576785791133,,26.1574151087601,25.3548358992431,0.0255,4.200000000000003,2.9347326207945343
-19.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-19.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-18.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-18.0,,-42.95147847740514,-20.443546296341758,,34.9239745001165,29.3654180425921,0.0255,4.200000000000003,2.9347326207945343
-17.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-17.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-16.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-16.0,,34.69351474250193,-29.712871005299334,,29.334894308808,22.3139187312159,0.0255,4.200000000000003,2.9347326207945343
-15.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-15.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-14.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-14.0,,59.721039994605825,-20.077787806595996,,27.5706799121984,21.464194798796,0.0255,4.200000000000003,2.9347326207945343
-13.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-13.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-12.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-12.0,,19.59723939984826,41.80525740393772,,37.8534191897655,23.4323109713018,0.0255,4.200000000000003,2.9347326207945343
-11.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-11.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-10.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-10.0,,92.95201993252388,,,47.7364804277085,,0.0255,4.200000000000003,2.9347326207945343
-9.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-9.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-8.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-8.0,,15.597346881703045,67.5786893179877,,46.8302714876581,46.4287991361227,0.0255,4.200000000000003,2.9347326207945343
-7.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-7.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-6.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-6.0,,193.7875582061024,131.28254729773747,,41.0134013821958,57.969578686964,0.0255,4.200000000000003,2.9347326207945343
-5.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-5.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-4.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-4.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-3.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-3.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-2.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-2.0,,226.85553236399676,208.54412939736415,,56.655883129142,59.6153149731779,0.0255,4.200000000000003,2.9347326207945343
-1.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-1.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
-0.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
0.0,,357.6651299876289,376.0353484692061,,52.6664286680388,49.2949443722944,0.0255,4.200000000000003,2.9347326207945343
0.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
1.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
1.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
2.0,,,109.97564135726525,,,30.6595883517108,0.0255,4.200000000000003,2.9347326207945343
2.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
3.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
3.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
4.0,,340.2414034093266,263.5846960928128,,30.7817702257732,24.1810558590336,0.0255,4.200000000000003,2.9347326207945343
4.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
5.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
5.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
6.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
6.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
7.0,,363.2520684102212,244.57114674341793,,29.0626592113912,30.7707750055785,0.0255,4.200000000000003,2.9347326207945343
7.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
8.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
8.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
9.0,,284.2855030755296,232.23746215237907,,29.2311017415727,26.0532355376142,0.0255,4.200000000000003,2.9347326207945343
9.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
10.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
10.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
11.0,,239.2081834214241,174.89065916736493,,28.8035754006573,30.3719998649716,0.0255,4.200000000000003,2.9347326207945343
11.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
12.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
12.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
13.0,,201.1886728294197,143.0856109015653,,29.1567643424323,23.1478657592936,0.0255,4.200000000000003,2.9347326207945343
13.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
14.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
14.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
15.0,,215.14495373503937,85.53404102979358,,33.4303116525617,23.1042993226279,0.0255,4.200000000000003,2.9347326207945343
15.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
16.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
16.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
17.0,,231.47313408811164,39.32601973968614,,29.4792329970535,23.3345834925297,0.0255,4.200000000000003,2.9347326207945343
17.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
18.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
18.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
19.0,,156.61441547130588,63.57110595965255,,32.5028855887792,24.9263000525668,0.0255,4.200000000000003,2.9347326207945343
19.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
20.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
20.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
21.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
21.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
22.0,,204.83815226077456,13.671054580667356,,36.25613936592,46.5182553762862,0.0255,4.200000000000003,2.9347326207945343
22.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
23.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
23.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
24.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
24.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
25.0,,,-12.371696990834335,,,82.6499087678702,0.0255,4.200000000000003,2.9347326207945343
25.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
26.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
26.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
27.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
27.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
28.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
28.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
29.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
29.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
30.0,,87.64084636647111,1.740016922813491,,63.5349562362537,70.3121035384925,0.0255,4.200000000000003,2.9347326207945343
30.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
31.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
31.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
32.0,,,62.68781500180233,,,36.8402733456204,0.0255,4.200000000000003,2.9347326207945343
32.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
33.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
33.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
34.0,,,,,,,0.0255,4.200000000000003,2.9347326207945343
34.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
35.0,,48.911824470659674,-21.315392394333436,,28.2633289306829,25.4498269479424,0.0255,4.200000000000003,2.9347326207945343
35.5,,,,,,,0.0255,4.200000000000003,2.9347326207945343
