relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-47.49834916275327,47.59896636265881,,59.818236554916034,81.25613737028488,0.0148,13.9,3.709643588750213
-29.5,,,,,,,0.0148,13.9,3.709643588750213
-29.0,,,,,,,0.0148,13.9,3.709643588750213
-28.5,,,,,,,0.0148,13.9,3.709643588750213
-28.0,,-28.729236622869195,-28.628731107907722,,102.63081579176722,49.39520847279709,0.0148,13.9,3.709643588750213
-27.5,,,,,,,0.0148,13.9,3.709643588750213
-27.0,,,,,,,0.0148,13.9,3.709643588750213
-26.5,,,,,,,0.0148,13.9,3.709643588750213
-26.0,,,-35.12064312199583,,,44.9283978582603,0.0148,13.9,3.709643588750213
-25.5,,,,,,,0.0148,13.9,3.709643588750213
-25.0,,0.7542219837298585,63.04959603876259,,38.4925089825319,28.5182442231358,0.0148,13.9,3.709643588750213
-24.5,,,,,,,0.0148,13.9,3.709643588750213
-24.0,,,21.622759052844675,,,34.8728223255815,0.0148,13.9,3.709643588750213
-23.5,,,,,,,0.0148,13.9,3.709643588750213
-23.0,,-33.79929668841545,13.999976391004482,,72.2425283251364,60.58233908543109,0.0148,13.9,3.709643588750213
-22.5,,,,,,,0.0148,13.9,3.709643588750213
-22.0,,-60.872258710392686,91.44352057435104,,68.6512084055289,54.5099719416227,0.0148,13.9,3.709643588750213
-21.5,,,,,,,0.0148,13.9,3.709643588750213
-21.0,,,,,,,0.0148,13.9,3.709643588750213
-20.5,,,,,,,0.0148,13.9,3.709643588750213
-20.0,,-81.19263416650602,7.406058537317348,,63.78806553907986,41.02339925150488,0.0148,13.9,3.709643588750213
-19.5,,,,,,,0.0148,13.9,3.709643588750213
-19.0,,,25.555467793404734,,,50.7150671663399,0.0148,13.9,3.709643588750213
-18.5,,,,,,,0.0148,13.9,3.709643588750213
-18.0,,-33.945067885697256,2.4593916253824255,,71.96605147134035,37.5457297180622,0.0148,13.9,3.709643588750213
-17.5,,,,,,,0.0148,13.9,3.709643588750213
-17.0,,,,,,,0.0148,13.9,3.709643588750213
-16.5,,,,,,,0.0148,13.9,3.709643588750213
-16.0,,,,,,,0.0148,13.9,3.709643588750213
-15.5,,,,,,,0.0148,13.9,3.709643588750213
-15.0,,19.528312082745522,59.50693301665691,,49.3959046538363,48.0065892623078,0.0148,13.9,3.709643588750213
-14.5,,,,,,,0.0148,13.9,3.709643588750213
-14.0,,,-1.2647387744964227,,,39.4780317805181,0.0148,13.9,3.709643588750213
-13.5,,,,,,,0.0148,13.9,3.709643588750213
-13.0,,-65.88456767272638,23.092085558811526,,57.1911500876606,44.4007664705353,0.0148,13.9,3.709643588750213
-12.5,,,,,,,0.0148,13.9,3.709643588750213
-12.0,,-46.63670676172043,,,86.296076377839,,0.0148,13.9,3.709643588750213
-11.5,,,,,,,0.0148,13.9,3.709643588750213
-11.0,,,,,,,0.0148,13.9,3.709643588750213
-10.5,,,,,,,0.0148,13.9,3.709643588750213
-10.0,,,,,,,0.0148,13.9,3.709643588750213
-9.5,,,,,,,0.0148,13.9,3.709643588750213
-9.0,,,,,,,0.0148,13.9,3.709643588750213
-8.5,,,,,,,0.0148,13.9,3.709643588750213
-8.0,,29.504323474541586,49.50632164796235,,73.2807413822486,112.066699030184,0.0148,13.9,3.709643588750213
-7.5,,,,,,,0.0148,13.9,3.709643588750213
-7.0,,,,,,,0.0148,13.9,3.709643588750213
-6.5,,,,,,,0.0148,13.9,3.709643588750213
-6.0,,,,,,,0.0148,13.9,3.709643588750213
-5.5,,,,,,,0.0148,13.9,3.709643588750213
-5.0,,,,,,,0.0148,13.9,3.709643588750213
-4.5,,,,,,,0.0148,13.9,3.709643588750213
-4.0,,,,,,,0.0148,13.9,3.709643588750213
-3.5,,,,,,,0.0148,13.9,3.709643588750213
-3.0,,35.58243728545724,,,115.04832442934381,,0.0148,13.9,3.709643588750213
-2.5,,,,,,,0.0148,13.9,3.709643588750213
-2.0,,71.41558130608834,202.3667976951295,,65.6619941439371,80.0317788654646,0.0148,13.9,3.709643588750213
-1.5,,,,,,,0.0148,13.9,3.709643588750213
-1.0,,,,,,,0.0148,13.9,3.709643588750213
-0.5,,,,,,,0.0148,13.9,3.709643588750213
0.0,,218.53823531423208,276.50914360899793,,62.6850550417071,41.9821232343517,0.0148,13.9,3.709643588750213
0.5,,,,,,,0.0148,13.9,3.709643588750213
1.0,,,,,,,0.0148,13.9,3.709643588750213
1.5,,,,,,,0.0148,13.9,3.709643588750213
2.0,,307.6354154519464,,,49.0500398615476,,0.0148,13.9,3.709643588750213
2.5,,,,,,,0.0148,13.9,3.709643588750213
3.0,,,,,,,0.0148,13.9,3.709643588750213
3.5,,,,,,,0.0148,13.9,3.709643588750213
4.0,,416.77761291407484,505.0300103625645,,34.1253013239554,35.0368997990952,0.0148,13.9,3.709643588750213
4.5,,,,,,,0.0148,13.9,3.709643588750213
5.0,,,,,,,0.0148,13.9,3.709643588750213
5.5,,,,,,,0.0148,13.9,3.709643588750213
6.0,,459.82167292753076,729.4659846752186,,41.7748967620773,54.8043784581951,0.0148,13.9,3.709643588750213
6.5,,,,,,,0.0148,13.9,3.709643588750213
7.0,,,,,,,0.0148,13.9,3.709643588750213
7.5,,,,,,,0.0148,13.9,3.709643588750213
8.0,,556.9565714681412,,,57.3148087975135,,0.0148,13.9,3.709643588750213
8.5,,,,,,,0.0148,13.9,3.709643588750213
9.0,,,,,,,0.0148,13.9,3.709643588750213
9.5,,,,,,,0.0148,13.9,3.709643588750213
10.0,,,797.3903118303925,,,46.535246457242,0.0148,13.9,3.709643588750213
10.5,,,,,,,0.0148,13.9,3.709643588750213
11.0,,,,,,,0.0148,13.9,3.709643588750213
11.5,,,,,,,0.0148,13.9,3.709643588750213
12.0,,681.834873789178,769.1450771737251,,42.903498478228,54.4671943586054,0.0148,13.9,3.709643588750213
12.5,,,,,,,0.0148,13.9,3.709643588750213
13.0,,,,,,,0.0148,13.9,3.709643588750213
13.5,,,,,,,0.0148,13.9,3.709643588750213
14.0,,,797.9898565595109,,,32.9240775684776,0.0148,13.9,3.709643588750213
14.5,,,,,,,0.0148,13.9,3.709643588750213
15.0,,,,,,,0.0148,13.9,3.709643588750213
15.5,,,,,,,0.0148,13.9,3.709643588750213
16.0,,,,,,,0.0148,13.9,3.709643588750213
16.5,,,,,,,0.0148,13.9,3.709643588750213
17.0,,,,,,,0.0148,13.9,3.709643588750213
17.5,,,,,,,0.0148,13.9,3.709643588750213
