relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-8.06035904778176,8.159219398395848,,25.1207396019065,19.5680569110702,0.0296,9.0,6.361254243901556
-29.5,,,,,,,0.0296,9.0,6.361254243901556
-29.0,,,,,,,0.0296,9.0,6.361254243901556
-28.5,,,,,,,0.0296,9.0,6.361254243901556
-28.0,,14.505397899767496,31.261895139173586,,23.2472728973532,16.9515763024304,0.0296,9.0,6.361254243901556
-27.5,,,,,,,0.0296,9.0,6.361254243901556
-27.0,,,,,,,0.0296,9.0,6.361254243901556
-26.5,,,,,,,0.0296,9.0,6.361254243901556
-26.0,,76.21512085991024,-8.87386717038393,,24.7975355127178,19.4224386453519,0.0296,9.0,6.361254243901556
-25.5,,,,,,,0.0296,9.0,6.361254243901556
-25.0,,,,,,,0.0296,9.0,6.361254243901556
-24.5,,,,,,,0.0296,9.0,6.361254243901556
-24.0,,,,,,,0.0296,9.0,6.361254243901556
-23.5,,,,,,,0.0296,9.0,6.361254243901556
-23.0,,75.52879358883128,21.757801805870713,,23.7498818891046,26.0372160199125,0.0296,9.0,6.361254243901556
-22.5,,,,,,,0.0296,9.0,6.361254243901556
-22.0,,,,,,,0.0296,9.0,6.361254243901556
-21.5,,,,,,,0.0296,9.0,6.361254243901556
-21.0,,26.135546181141276,-28.95755812976136,,30.0627404609996,21.6493363998769,0.0296,9.0,6.361254243901556
-20.5,,,,,,,0.0296,9.0,6.361254243901556
-20.0,,,,,,,0.0296,9.0,6.361254243901556
-19.5,,,,,,,0.0296,9.0,6.361254243901556
-19.0,,10.638770455541636,-2.416912698342983,,24.5683413775431,20.6380251477906,0.0296,9.0,6.361254243901556
-18.5,,,,,,,0.0296,9.0,6.361254243901556
-18.0,,,,,,,0.0296,9.0,6.361254243901556
-17.5,,,,,,,0.0296,9.0,6.361254243901556
-17.0,,19.362233910180116,-20.656150796617755,,22.0632364254685,23.6134710575248,0.0296,9.0,6.361254243901556
-16.5,,,,,,,0.0296,9.0,6.361254243901556
-16.0,,,,,,,0.0296,9.0,6.361254243901556
-15.5,,,,,,,0.0296,9.0,6.361254243901556
-15.0,,17.66715298075667,-6.7411900934428415,,26.1965857496297,20.7863369653556,0.0296,9.0,6.361254243901556
-14.5,,,,,,,0.0296,9.0,6.361254243901556
-14.0,,,,,,,0.0296,9.0,6.361254243901556
-13.5,,,,,,,0.0296,9.0,6.361254243901556
-13.0,,,,,,,0.0296,9.0,6.361254243901556
-12.5,,,,,,,0.0296,9.0,6.361254243901556
-12.0,,,,,,,0.0296,9.0,6.361254243901556
-11.5,,,,,,,0.0296,9.0,6.361254243901556
-11.0,,,,,,,0.0296,9.0,6.361254243901556
-10.5,,,,,,,0.0296,9.0,6.361254243901556
-10.0,,6.360757429020773,19.781444137804687,,35.7712868517756,23.542049203116,0.0296,9.0,6.361254243901556
-9.5,,,,,,,0.0296,9.0,6.361254243901556
-9.0,,,,,,,0.0296,9.0,6.361254243901556
-8.5,,,,,,,0.0296,9.0,6.361254243901556
-8.0,,,,,,,0.0296,9.0,6.361254243901556
-7.5,,,,,,,0.0296,9.0,6.361254243901556
-7.0,,,,,,,0.0296,9.0,6.361254243901556
-6.5,,,,,,,0.0296,9.0,6.361254243901556
-6.0,,61.018187044443,-52.93725853076974,,42.1633543676752,63.7803063838766,0.0296,9.0,6.361254243901556
-5.5,,,,,,,0.0296,9.0,6.361254243901556
-5.0,,,,,,,0.0296,9.0,6.361254243901556
-4.5,,,,,,,0.0296,9.0,6.361254243901556
-4.0,,42.859973836705564,148.00140612749266,,41.1087052563552,38.4994577855921,0.0296,9.0,6.361254243901556
-3.5,,,,,,,0.0296,9.0,6.361254243901556
-3.0,,,,,,,0.0296,9.0,6.361254243901556
-2.5,,,,,,,0.0296,9.0,6.361254243901556
-2.0,,112.99958530690455,184.10967857318568,,45.9002994115261,31.7773674308637,0.0296,9.0,6.361254243901556
-1.5,,,,,,,0.0296,9.0,6.361254243901556
-1.0,,,,,,,0.0296,9.0,6.361254243901556
-0.5,,,,,,,0.0296,9.0,6.361254243901556
0.0,,,339.4800676132922,,,24.3789597793111,0.0296,9.0,6.361254243901556
0.5,,,,,,,0.0296,9.0,6.361254243901556
1.0,,,,,,,0.0296,9.0,6.361254243901556
1.5,,,,,,,0.0296,9.0,6.361254243901556
2.0,,,,,,,0.0296,9.0,6.361254243901556
2.5,,,,,,,0.0296,9.0,6.361254243901556
3.0,,438.72366450021224,397.15273507344483,,26.390488964224,23.466421638726,0.0296,9.0,6.361254243901556
3.5,,,,,,,0.0296,9.0,6.361254243901556
4.0,,,,,,,0.0296,9.0,6.361254243901556
4.5,,,,,,,0.0296,9.0,6.361254243901556
5.0,,474.5919952396692,420.0190015182402,,27.6231839867464,30.6562501869478,0.0296,9.0,6.361254243901556
5.5,,,,,,,0.0296,9.0,6.361254243901556
6.0,,,,,,,0.0296,9.0,6.361254243901556
6.5,,,,,,,0.0296,9.0,6.361254243901556
7.0,,553.1577753989843,311.1267412931203,,28.113134581192,23.5573373105997,0.0296,9.0,6.361254243901556
7.5,,,,,,,0.0296,9.0,6.361254243901556
8.0,,,,,,,0.0296,9.0,6.361254243901556
8.5,,,,,,,0.0296,9.0,6.361254243901556
9.0,,,323.5948163292257,,,23.7875829235761,0.0296,9.0,6.361254243901556
9.5,,,,,,,0.0296,9.0,6.361254243901556
10.0,,,,,,,0.0296,9.0,6.361254243901556
10.5,,,,,,,0.0296,9.0,6.361254243901556
11.0,,529.7549639377501,308.35942319106783,,25.4674438276923,20.7969656844084,0.0296,9.0,6.361254243901556
11.5,,,,,,,0.0296,9.0,6.361254243901556
12.0,,,,,,,0.0296,9.0,6.361254243901556
12.5,,,,,,,0.0296,9.0,6.361254243901556
13.0,,,231.12487282166148,,,22.1906827083177,0.0296,9.0,6.361254243901556
13.5,,,,,,,0.0296,9.0,6.361254243901556
14.0,,,,,,,0.0296,9.0,6.361254243901556
14.5,,,,,,,0.0296,9.0,6.361254243901556
15.0,,508.79024767279236,138.02943726395148,,31.0883904928604,21.6774708767678,0.0296,9.0,6.361254243901556
15.5,,,,,,,0.0296,9.0,6.361254243901556
16.0,,,,,,,0.0296,9.0,6.361254243901556
16.5,,,,,,,0.0296,9.0,6.361254243901556
17.0,,,,,,,0.0296,9.0,6.361254243901556
17.5,,,,,,,0.0296,9.0,6.361254243901556
18.0,,469.5072779960961,202.8051536220377,,31.1320117573162,23.4468829381646,0.0296,9.0,6.361254243901556
18.5,,,,,,,0.0296,9.0,6.361254243901556
19.0,,,,,,,0.0296,9.0,6.361254243901556
19.5,,,,,,,0.0296,9.0,6.361254243901556
20.0,,,,,,,0.0296,9.0,6.361254243901556
20.5,,,,,,,0.0296,9.0,6.361254243901556
21.0,,,60.22661578312697,,,100.171498084657,0.0296,9.0,6.361254243901556
21.5,,,,,,,0.0296,9.0,6.361254243901556
22.0,,,,,,,0.0296,9.0,6.361254243901556
22.5,,,,,,,0.0296,9.0,6.361254243901556
23.0,,219.61667148099912,-66.87081710054524,,82.2851828942935,87.2339576616185,0.0296,9.0,6.361254243901556
23.5,,,,,,,0.0296,9.0,6.361254243901556
