relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0422,13.1,3.072017071711824
-29.5,,,,,,,0.0422,13.1,3.072017071711824
-29.0,,-0.0847425316518984,-4.854882012792456,,23.236429867025,25.3582659976898,0.0422,13.1,3.072017071711824
-28.5,,,,,,,0.0422,13.1,3.072017071711824
-28.0,,,,,,,0.0422,13.1,3.072017071711824
-27.5,,,,,,,0.0422,13.1,3.072017071711824
-27.0,,,,,,,0.0422,13.1,3.072017071711824
-26.5,,,,,,,0.0422,13.1,3.072017071711824
-26.0,,40.780496106719525,12.248438802653464,,34.357789833764,28.0554973171736,0.0422,13.1,3.072017071711824
-25.5,,,,,,,0.0422,13.1,3.072017071711824
-25.0,,,,,,,0.0422,13.1,3.072017071711824
-24.5,,,,,,,0.0422,13.1,3.072017071711824
-24.0,,21.355010632622307,28.159424700535354,,25.0982320442201,23.420551409539,0.0422,13.1,3.072017071711824
-23.5,,,,,,,0.0422,13.1,3.072017071711824
-23.0,,,,,,,0.0422,13.1,3.072017071711824
-22.5,,,,,,,0.0422,13.1,3.072017071711824
-22.0,,28.65309181353313,-9.817576303824467,,29.0919194216233,25.2888777228917,0.0422,13.1,3.072017071711824
-21.5,,,,,,,0.0422,13.1,3.072017071711824
-21.0,,,,,,,0.0422,13.1,3.072017071711824
-20.5,,,,,,,0.0422,13.1,3.072017071711824
-20.0,,-15.736822836762697,0.7465308655944725,,31.9178965347948,30.1991466148487,0.0422,13.1,3.072017071711824
-19.5,,,,,,,0.0422,13.1,3.072017071711824
-19.0,,,,,,,0.0422,13.1,3.072017071711824
-18.5,,,,,,,0.0422,13.1,3.072017071711824
-18.0,,21.478504570130973,-3.864121945149533,,30.632489644862,27.4173454043055,0.0422,13.1,3.072017071711824
-17.5,,,,,,,0.0422,13.1,3.072017071711824
-17.0,,,,,,,0.0422,13.1,3.072017071711824
-16.5,,,,,,,0.0422,13.1,3.072017071711824
-16.0,,,,,,,0.0422,13.1,3.072017071711824
-15.5,,,,,,,0.0422,13.1,3.072017071711824
-15.0,,,,,,,0.0422,13.1,3.072017071711824
-14.5,,,,,,,0.0422,13.1,3.072017071711824
-14.0,,-70.42028015299897,26.592278168250633,,51.8741300720719,52.1346963395598,0.0422,13.1,3.072017071711824
-13.5,,,,,,,0.0422,13.1,3.072017071711824
-13.0,,,,,,,0.0422,13.1,3.072017071711824
-12.5,,,,,,,0.0422,13.1,3.072017071711824
-12.0,,,,,,,0.0422,13.1,3.072017071711824
-11.5,,,,,,,0.0422,13.1,3.072017071711824
-11.0,,,,,,,0.0422,13.1,3.072017071711824
-10.5,,,,,,,0.0422,13.1,3.072017071711824
-10.0,,88.66834060479904,127.43506399748482,,60.3793557728594,80.436724732483,0.0422,13.1,3.072017071711824
-9.5,,,,,,,0.0422,13.1,3.072017071711824
-9.0,,,,,,,0.0422,13.1,3.072017071711824
-8.5,,,,,,,0.0422,13.1,3.072017071711824
-8.0,,-29.420478098498467,86.32055027691854,,52.093217346528,55.6493984748542,0.0422,13.1,3.072017071711824
-7.5,,,,,,,0.0422,13.1,3.072017071711824
-7.0,,,,,,,0.0422,13.1,3.072017071711824
-6.5,,,,,,,0.0422,13.1,3.072017071711824
-6.0,,85.62566921630834,69.02971860433672,,37.1036493872409,36.810372968238,0.0422,13.1,3.072017071711824
-5.5,,,,,,,0.0422,13.1,3.072017071711824
-5.0,,,,,,,0.0422,13.1,3.072017071711824
-4.5,,,,,,,0.0422,13.1,3.072017071711824
