relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0293,20.25,3.914979778576981
-29.5,,,,,,,0.0293,20.25,3.914979778576981
-29.0,,-15.714471800220377,5.443651647515893,,24.4568315611307,32.600119113706,0.0293,20.25,3.914979778576981
-28.5,,,,,,,0.0293,20.25,3.914979778576981
-28.0,,,,,,,0.0293,20.25,3.914979778576981
-27.5,,,-11.646335466851701,,,19.2136449153368,0.0293,20.25,3.914979778576981
-27.0,,28.47477000013293,,,24.6186860768853,,0.0293,20.25,3.914979778576981
-26.5,,,,,,,0.0293,20.25,3.914979778576981
-26.0,,,,,,,0.0293,20.25,3.914979778576981
-25.5,,,,,,,0.0293,20.25,3.914979778576981
-25.0,,-6.371416455460701,-18.395642741935884,,18.503285850333,14.9176432774806,0.0293,20.25,3.914979778576981
-24.5,,,,,,,0.0293,20.25,3.914979778576981
-24.0,,,,,,,0.0293,20.25,3.914979778576981
-23.5,,,,,,,0.0293,20.25,3.914979778576981
-23.0,,18.552020570144283,-0.9026852809301512,,21.6362067871171,18.9073787167834,0.0293,20.25,3.914979778576981
-22.5,,,,,,,0.0293,20.25,3.914979778576981
-22.0,,,,,,,0.0293,20.25,3.914979778576981
-21.5,,,,,,,0.0293,20.25,3.914979778576981
-21.0,,,,,,,0.0293,20.25,3.914979778576981
-20.5,,,,,,,0.0293,20.25,3.914979778576981
-20.0,,-19.64425058432603,-30.833588433390386,,20.3350332689882,22.036292122925,0.0293,20.25,3.914979778576981
-19.5,,,,,,,0.0293,20.25,3.914979778576981
-19.0,,,,,,,0.0293,20.25,3.914979778576981
-18.5,,,,,,,0.0293,20.25,3.914979778576981
-18.0,,21.14158415110117,39.96684493440951,,24.5353753884956,20.4425009991101,0.0293,20.25,3.914979778576981
-17.5,,,,,,,0.0293,20.25,3.914979778576981
-17.0,,,,,,,0.0293,20.25,3.914979778576981
-16.5,,,,,,,0.0293,20.25,3.914979778576981
-16.0,,26.541813514873848,-16.398164030634067,,22.8087914405747,19.5758782939074,0.0293,20.25,3.914979778576981
-15.5,,,,,,,0.0293,20.25,3.914979778576981
-15.0,,,,,,,0.0293,20.25,3.914979778576981
-14.5,,,,,,,0.0293,20.25,3.914979778576981
-14.0,,-66.14438957709086,-3.020453552646583,,22.014298990595,20.7445946750389,0.0293,20.25,3.914979778576981
-13.5,,,,,,,0.0293,20.25,3.914979778576981
-13.0,,,,,,,0.0293,20.25,3.914979778576981
-12.5,,,,,,,0.0293,20.25,3.914979778576981
-12.0,,-37.59159767822252,-21.902511298008747,,28.9011424410015,21.8775352558448,0.0293,20.25,3.914979778576981
-11.5,,,,,,,0.0293,20.25,3.914979778576981
-11.0,,,,,,,0.0293,20.25,3.914979778576981
-10.5,,,,,,,0.0293,20.25,3.914979778576981
-10.0,,,,,,,0.0293,20.25,3.914979778576981
-9.5,,,,,,,0.0293,20.25,3.914979778576981
-9.0,,,,,,,0.0293,20.25,3.914979778576981
-8.5,,,,,,,0.0293,20.25,3.914979778576981
-8.0,,,,,,,0.0293,20.25,3.914979778576981
-7.5,,,,,,,0.0293,20.25,3.914979778576981
-7.0,,-21.943463162136876,-17.88589093529371,,36.3019343668943,21.1300661633251,0.0293,20.25,3.914979778576981
-6.5,,,,,,,0.0293,20.25,3.914979778576981
-6.0,,,,,,,0.0293,20.25,3.914979778576981
-5.5,,,,,,,0.0293,20.25,3.914979778576981
-5.0,,,,,,,0.0293,20.25,3.914979778576981
-4.5,,,,,,,0.0293,20.25,3.914979778576981
-4.0,,,,,,,0.0293,20.25,3.914979778576981
-3.5,,12.831169280662069,-111.65540824781513,,41.6612610373999,62.6331880888822,0.0293,20.25,3.914979778576981
-3.0,,,,,,,0.0293,20.25,3.914979778576981
-2.5,,,,,,,0.0293,20.25,3.914979778576981
-2.0,,,,,,,0.0293,20.25,3.914979778576981
-1.5,,,9.239973316286283,,,39.9739388452453,0.0293,20.25,3.914979778576981
-1.0,,66.53221817727669,,,44.3415534411917,,0.0293,20.25,3.914979778576981
-0.5,,,,,,,0.0293,20.25,3.914979778576981
0.0,,,,,,,0.0293,20.25,3.914979778576981
0.5,,,,,,,0.0293,20.25,3.914979778576981
1.0,,3.708576330714748,-19.071540063207195,,41.71399992105,34.5248585312987,0.0293,20.25,3.914979778576981
1.5,,,,,,,0.0293,20.25,3.914979778576981
2.0,,,,,,,0.0293,20.25,3.914979778576981
2.5,,,120.64066345382422,,,20.7377249881317,0.0293,20.25,3.914979778576981
3.0,,,,,,,0.0293,20.25,3.914979778576981
3.5,,,,,,,0.0293,20.25,3.914979778576981
4.0,,,,,,,0.0293,20.25,3.914979778576981
4.5,,,,,,,0.0293,20.25,3.914979778576981
5.0,,,,,,,0.0293,20.25,3.914979778576981
5.5,,,259.8759555139633,,,20.5123823718002,0.0293,20.25,3.914979778576981
6.0,,245.69860888635952,,,26.0269012108088,,0.0293,20.25,3.914979778576981
6.5,,,,,,,0.0293,20.25,3.914979778576981
7.0,,,,,,,0.0293,20.25,3.914979778576981
7.5,,,402.0185159255198,,,25.7547413098023,0.0293,20.25,3.914979778576981
8.0,,383.1002855414839,,,24.6380034432582,,0.0293,20.25,3.914979778576981
8.5,,,,,,,0.0293,20.25,3.914979778576981
9.0,,,,,,,0.0293,20.25,3.914979778576981
9.5,,425.4970537717353,,,22.1669361030554,,0.0293,20.25,3.914979778576981
10.0,,,464.5106700575646,,,24.4848168061518,0.0293,20.25,3.914979778576981
10.5,,,,,,,0.0293,20.25,3.914979778576981
11.0,,,,,,,0.0293,20.25,3.914979778576981
11.5,,,561.7088004323359,,,21.9564367868194,0.0293,20.25,3.914979778576981
12.0,,,,,,,0.0293,20.25,3.914979778576981
12.5,,,,,,,0.0293,20.25,3.914979778576981
13.0,,,,,,,0.0293,20.25,3.914979778576981
13.5,,498.0588093501402,606.0368510922574,,23.9219235798917,21.4407400239363,0.0293,20.25,3.914979778576981
14.0,,,,,,,0.0293,20.25,3.914979778576981
14.5,,,,,,,0.0293,20.25,3.914979778576981
15.0,,,,,,,0.0293,20.25,3.914979778576981
15.5,,,619.2658540152069,,,22.2522679908227,0.0293,20.25,3.914979778576981
16.0,,,,,,,0.0293,20.25,3.914979778576981
16.5,,,,,,,0.0293,20.25,3.914979778576981
17.0,,,,,,,0.0293,20.25,3.914979778576981
17.5,,641.3134620375278,524.7691673544283,,28.1482956220835,20.9497439151268,0.0293,20.25,3.914979778576981
18.0,,,,,,,0.0293,20.25,3.914979778576981
18.5,,,,,,,0.0293,20.25,3.914979778576981
19.0,,,,,,,0.0293,20.25,3.914979778576981
19.5,,,,,,,0.0293,20.25,3.914979778576981
20.0,,,,,,,0.0293,20.25,3.914979778576981
20.5,,682.4395199845784,,,32.7259162002809,,0.0293,20.25,3.914979778576981
21.0,,,604.6657622760692,,,24.977419365242,0.0293,20.25,3.914979778576981
21.5,,,,,,,0.0293,20.25,3.914979778576981
22.0,,,,,,,0.0293,20.25,3.914979778576981
22.5,,,,,,,0.0293,20.25,3.914979778576981
23.0,,,,,,,0.0293,20.25,3.914979778576981
23.5,,,,,,,0.0293,20.25,3.914979778576981
24.0,,,,,,,0.0293,20.25,3.914979778576981
24.5,,,,,,,0.0293,20.25,3.914979778576981
25.0,,,,,,,0.0293,20.25,3.914979778576981
25.5,,358.5923501201104,,,77.3535379015616,,0.0293,20.25,3.914979778576981
26.0,,,,,,,0.0293,20.25,3.914979778576981
26.5,,,,,,,0.0293,20.25,3.914979778576981
27.0,,,,,,,0.0293,20.25,3.914979778576981
27.5,,,,,,,0.0293,20.25,3.914979778576981
28.0,,,,,,,0.0293,20.25,3.914979778576981
28.5,,,,,,,0.0293,20.25,3.914979778576981
29.0,,,,,,,0.0293,20.25,3.914979778576981
29.5,,371.1449303408259,,,34.4717708181258,,0.0293,20.25,3.914979778576981
30.0,,,234.66715229868734,,,53.240547661546,0.0293,20.25,3.914979778576981
30.5,,,,,,,0.0293,20.25,3.914979778576981
31.0,,,,,,,0.0293,20.25,3.914979778576981
31.5,,,275.47305366853766,,,26.4320013320151,0.0293,20.25,3.914979778576981
32.0,,,,,,,0.0293,20.25,3.914979778576981
32.5,,,,,,,0.0293,20.25,3.914979778576981
33.0,,,,,,,0.0293,20.25,3.914979778576981
33.5,,,234.98675578987388,,,21.9439345960326,0.0293,20.25,3.914979778576981
34.0,,406.55845257524425,,,26.7842650201326,,0.0293,20.25,3.914979778576981
34.5,,,,,,,0.0293,20.25,3.914979778576981
35.0,,,,,,,0.0293,20.25,3.914979778576981
35.5,,376.4123410730052,226.54804992812205,,24.3454994213756,21.9274895378181,0.0293,20.25,3.914979778576981
36.0,,,,,,,0.0293,20.25,3.914979778576981
36.5,,,,,,,0.0293,20.25,3.914979778576981
37.0,,,,,,,0.0293,20.25,3.914979778576981
37.5,,,,,,,0.0293,20.25,3.914979778576981
38.0,,,,,,,0.0293,20.25,3.914979778576981
38.5,,,,,,,0.0293,20.25,3.914979778576981
39.0,,,,,,,0.0293,20.25,3.914979778576981
39.5,,,,,,,0.0293,20.25,3.914979778576981
40.0,,,,,,,0.0293,20.25,3.914979778576981
40.5,,300.90075704961885,116.4180032824407,,27.549443985889,20.7377281376737,0.0293,20.25,3.914979778576981
41.0,,,,,,,0.0293,20.25,3.914979778576981
41.5,,,,,,,0.0293,20.25,3.914979778576981
42.0,,,,,,,0.0293,20.25,3.914979778576981
42.5,,,,,,,0.0293,20.25,3.914979778576981
43.0,,309.4712671858582,112.8096521044476,,28.0884407674249,21.4574915980178,0.0293,20.25,3.914979778576981
43.5,,,,,,,0.0293,20.25,3.914979778576981
44.0,,,,,,,0.0293,20.25,3.914979778576981
44.5,,,,,,,0.0293,20.25,3.914979778576981
45.0,,,,,,,0.0293,20.25,3.914979778576981
45.5,,200.27696777548752,,,27.7997387731113,,0.0293,20.25,3.914979778576981
46.0,,,47.57187860123918,,,23.6245217379287,0.0293,20.25,3.914979778576981
46.5,,,,,,,0.0293,20.25,3.914979778576981
47.0,,,,,,,0.0293,20.25,3.914979778576981
47.5,,229.10990191415715,99.84489282643727,,29.039897643771,31.161397197756,0.0293,20.25,3.914979778576981
48.0,,,,,,,0.0293,20.25,3.914979778576981
48.5,,,,,,,0.0293,20.25,3.914979778576981
49.0,,,,,,,0.0293,20.25,3.914979778576981
49.5,,186.94852461237596,-0.06843161667293492,,35.9450231500579,35.6546297887865,0.0293,20.25,3.914979778576981
50.0,,,,,,,0.0293,20.25,3.914979778576981
50.5,,,,,,,0.0293,20.25,3.914979778576981
51.0,,,,,,,0.0293,20.25,3.914979778576981
51.5,,,,,,,0.0293,20.25,3.914979778576981
52.0,,,,,,,0.0293,20.25,3.914979778576981
52.5,,,-28.484497757453333,,,52.0404147869438,0.0293,20.25,3.914979778576981
53.0,,,,,,,0.0293,20.25,3.914979778576981
53.5,,,,,,,0.0293,20.25,3.914979778576981
54.0,,,,,,,0.0293,20.25,3.914979778576981
54.5,,,44.0250542369734,,,57.9627139180574,0.0293,20.25,3.914979778576981
55.0,,,,,,,0.0293,20.25,3.914979778576981
55.5,,,,,,,0.0293,20.25,3.914979778576981
56.0,,,,,,,0.0293,20.25,3.914979778576981
56.5,,156.5793300029648,-2.645879503226153,,64.671230922157,58.5919374816385,0.0293,20.25,3.914979778576981
57.0,,,,,,,0.0293,20.25,3.914979778576981
57.5,,,,,,,0.0293,20.25,3.914979778576981
58.0,,,,,,,0.0293,20.25,3.914979778576981
58.5,,107.25871197625783,37.78808718259454,,32.1428833093037,37.1137916407584,0.0293,20.25,3.914979778576981
59.0,,,,,,,0.0293,20.25,3.914979778576981
59.5,,,,,,,0.0293,20.25,3.914979778576981
60.0,,,,,,,0.0293,20.25,3.914979778576981
60.5,,133.61437874583763,61.79230833462472,,31.920492157471,23.8350525843828,0.0293,20.25,3.914979778576981
61.0,,,,,,,0.0293,20.25,3.914979778576981
61.5,,,,,,,0.0293,20.25,3.914979778576981
62.0,,,,,,,0.0293,20.25,3.914979778576981
62.5,,,,,,,0.0293,20.25,3.914979778576981
63.0,,,,,,,0.0293,20.25,3.914979778576981
63.5,,,,,,,0.0293,20.25,3.914979778576981
64.0,,,,,,,0.0293,20.25,3.914979778576981
64.5,,147.37825480228415,63.29475909134836,,22.0404591021854,18.4220881080361,0.0293,20.25,3.914979778576981
65.0,,,,,,,0.0293,20.25,3.914979778576981
65.5,,,,,,,0.0293,20.25,3.914979778576981
66.0,,,,,,,0.0293,20.25,3.914979778576981
66.5,,88.7433457091164,21.40705632864004,,23.6065526453571,24.8944135511617,0.0293,20.25,3.914979778576981
67.0,,,,,,,0.0293,20.25,3.914979778576981
67.5,,,,,,,0.0293,20.25,3.914979778576981
68.0,,,,,,,0.0293,20.25,3.914979778576981
68.5,,81.75673369112876,13.41712497548295,,26.4819834222789,27.0165849509672,0.0293,20.25,3.914979778576981
69.0,,,,,,,0.0293,20.25,3.914979778576981
69.5,,,,,,,0.0293,20.25,3.914979778576981
70.0,,,,,,,0.0293,20.25,3.914979778576981
