relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0187,11.1,4.453686363252606
-29.5,,,,,,,0.0187,11.1,4.453686363252606
-29.0,,14.552811063252783,2.228703829639735,,28.737767633016,20.6702433413116,0.0187,11.1,4.453686363252606
-28.5,,,,,,,0.0187,11.1,4.453686363252606
-28.0,,,,,,,0.0187,11.1,4.453686363252606
-27.5,,,,,,,0.0187,11.1,4.453686363252606
-27.0,,-36.54367438007858,-8.110751920872538,,21.1682636644199,21.2909115109115,0.0187,11.1,4.453686363252606
-26.5,,,,,,,0.0187,11.1,4.453686363252606
-26.0,,,,,,,0.0187,11.1,4.453686363252606
-25.5,,,,,,,0.0187,11.1,4.453686363252606
-25.0,,-16.666994218232293,-49.61649973215613,,23.2431911808344,21.2224290293294,0.0187,11.1,4.453686363252606
-24.5,,,,,,,0.0187,11.1,4.453686363252606
-24.0,,,,,,,0.0187,11.1,4.453686363252606
-23.5,,,,,,,0.0187,11.1,4.453686363252606
-23.0,,-9.538035935174038,-20.51208167632013,,27.7630993956425,23.6552988891857,0.0187,11.1,4.453686363252606
-22.5,,,,,,,0.0187,11.1,4.453686363252606
-22.0,,,,,,,0.0187,11.1,4.453686363252606
-21.5,,,,,,,0.0187,11.1,4.453686363252606
-21.0,,-63.89065279390927,-62.60639721056561,,26.2488300441837,25.5960322880914,0.0187,11.1,4.453686363252606
-20.5,,,,,,,0.0187,11.1,4.453686363252606
-20.0,,,,,,,0.0187,11.1,4.453686363252606
-19.5,,,,,,,0.0187,11.1,4.453686363252606
-19.0,,-9.618404871932759,,,30.3430420292044,,0.0187,11.1,4.453686363252606
-18.5,,,,,,,0.0187,11.1,4.453686363252606
-18.0,,,,,,,0.0187,11.1,4.453686363252606
-17.5,,,,,,,0.0187,11.1,4.453686363252606
-17.0,,26.31164369405887,11.673373371617295,,37.7402688991329,51.9326876805867,0.0187,11.1,4.453686363252606
-16.5,,,,,,,0.0187,11.1,4.453686363252606
-16.0,,,,,,,0.0187,11.1,4.453686363252606
-15.5,,,,,,,0.0187,11.1,4.453686363252606
-15.0,,,,,,,0.0187,11.1,4.453686363252606
-14.5,,,,,,,0.0187,11.1,4.453686363252606
-14.0,,,,,,,0.0187,11.1,4.453686363252606
-13.5,,,,,,,0.0187,11.1,4.453686363252606
-13.0,-259.36790936340645,-34.84368539695682,-14.203911026825985,205.82100035750537,45.3872766016565,67.0504842593465,0.0187,11.1,4.453686363252606
-12.5,-187.6391461529491,,,240.0159139504828,,,0.0187,11.1,4.453686363252606
-12.0,-290.84555477706334,,,257.37608982694917,,,0.0187,11.1,4.453686363252606
-11.5,-8.054732947820517,,,256.30031600913395,,,0.0187,11.1,4.453686363252606
-11.0,-163.35210138625533,-52.717782093679844,-52.97720560946813,261.54228484641317,39.5560531628265,36.522586581556,0.0187,11.1,4.453686363252606
-10.5,-93.76522085340977,,,257.85539337335507,,,0.0187,11.1,4.453686363252606
-10.0,1.6676591310039406,,,262.3237437628206,,,0.0187,11.1,4.453686363252606
-9.5,-12.635054323897942,,,261.6622282819615,,,0.0187,11.1,4.453686363252606
-9.0,-49.03932852007418,17.31951113324847,-41.71977175837433,264.48302190368804,26.822522450594,18.3335038881852,0.0187,11.1,4.453686363252606
-8.5,32.3841088463499,,,258.8188534703891,,,0.0187,11.1,4.453686363252606
-8.0,253.70960732397182,,,258.4911422844815,,,0.0187,11.1,4.453686363252606
-7.5,59.02642106439332,,,262.84772640126204,,,0.0187,11.1,4.453686363252606
-7.0,79.61620616190655,,-60.650364896845744,281.187610565669,,22.6314330337253,0.0187,11.1,4.453686363252606
-6.5,15.044055376223689,,,270.8830290382203,,,0.0187,11.1,4.453686363252606
-6.0,18.695786181205637,,,273.78229562200977,,,0.0187,11.1,4.453686363252606
-5.5,70.91362997217702,,,261.57686661938124,,,0.0187,11.1,4.453686363252606
-5.0,206.27646483562302,,,270.46696465268934,,,0.0187,11.1,4.453686363252606
-4.5,100.74696521730147,,,257.7934821325706,,,0.0187,11.1,4.453686363252606
-4.0,149.27889751362756,18.42799196576846,13.902053482511842,263.28584624560455,22.849127218233,20.329203757199,0.0187,11.1,4.453686363252606
-3.5,31.603330846153955,,,248.3681277067365,,,0.0187,11.1,4.453686363252606
-3.0,41.118543473905945,,,249.85264922390022,,,0.0187,11.1,4.453686363252606
-2.5,172.39131101673757,,,233.20712331557561,,,0.0187,11.1,4.453686363252606
-2.0,84.12909559424902,84.20824112320848,61.14421814353128,223.462477361823,22.8146701497906,28.73566025526,0.0187,11.1,4.453686363252606
-1.5,-62.21425410631181,,,205.76507129810886,,,0.0187,11.1,4.453686363252606
-1.0,9.900458270781368,,,187.93745571721576,,,0.0187,11.1,4.453686363252606
-0.5,39.36252053394263,,,187.19910454367817,,,0.0187,11.1,4.453686363252606
0.0,113.02785346426984,209.67631082954782,208.76814353791036,184.13128061774177,28.2497273789497,21.8001773303234,0.0187,11.1,4.453686363252606
0.5,65.25299072331627,,,186.65623554756078,,,0.0187,11.1,4.453686363252606
1.0,,,,,,,0.0187,11.1,4.453686363252606
1.5,221.03526571017085,,,205.5892679205278,,,0.0187,11.1,4.453686363252606
2.0,86.47308577838123,,453.2699465807191,231.1016025444709,,22.7639527463455,0.0187,11.1,4.453686363252606
2.5,486.03747444999175,,,237.5162508771058,,,0.0187,11.1,4.453686363252606
3.0,379.3064020023289,,,247.99944266476135,,,0.0187,11.1,4.453686363252606
3.5,721.0942362205245,,,238.661866530112,,,0.0187,11.1,4.453686363252606
4.0,692.9746672421362,544.4525592964835,580.2107325186247,252.8002542154242,25.9027382849192,24.8280722727569,0.0187,11.1,4.453686363252606
4.5,875.7331473041485,,,242.2090490763565,,,0.0187,11.1,4.453686363252606
5.0,580.9343349250986,,,257.56644495029656,,,0.0187,11.1,4.453686363252606
5.5,830.7639160446083,,,247.29836752703844,,,0.0187,11.1,4.453686363252606
6.0,826.4546424344474,749.2123915192519,757.2577954214155,267.5945843395226,27.4876928152374,25.31630598293,0.0187,11.1,4.453686363252606
6.5,804.8008176755687,,,257.9207477886927,,,0.0187,11.1,4.453686363252606
7.0,940.7683188413646,,,272.0376386177864,,,0.0187,11.1,4.453686363252606
7.5,811.5811064740842,,,261.0037250876112,,,0.0187,11.1,4.453686363252606
8.0,818.5104144672239,940.5867146135043,909.2824659310212,268.6433963810083,29.3367108053856,26.0412349227998,0.0187,11.1,4.453686363252606
8.5,756.1952271064381,,,253.60880103555485,,,0.0187,11.1,4.453686363252606
9.0,1031.01266847193,,,274.3906958544082,,,0.0187,11.1,4.453686363252606
9.5,1031.6356118336225,,,269.188478406991,,,0.0187,11.1,4.453686363252606
10.0,1156.112569834866,,,273.262427237901,,,0.0187,11.1,4.453686363252606
10.5,835.8652754654098,,,258.25275596004735,,,0.0187,11.1,4.453686363252606
11.0,998.5951778079855,1136.4065391761746,1325.9050620124053,264.46740093053376,38.3607683318983,39.2167575850633,0.0187,11.1,4.453686363252606
11.5,949.1827862762831,,,252.16918849873122,,,0.0187,11.1,4.453686363252606
12.0,934.1694150846454,,,250.2756591837066,,,0.0187,11.1,4.453686363252606
12.5,879.5902613106737,,,226.80118141199225,,,0.0187,11.1,4.453686363252606
13.0,782.5880733172244,,,208.23827058885456,,,0.0187,11.1,4.453686363252606
13.5,723.414807525871,,,186.73597525913928,,,0.0187,11.1,4.453686363252606
14.0,779.7566377968392,,,188.00335886174094,,,0.0187,11.1,4.453686363252606
14.5,808.4388944095604,,,188.5918163297146,,,0.0187,11.1,4.453686363252606
15.0,869.7267443310703,,,189.38128524714676,,,0.0187,11.1,4.453686363252606
15.5,,,,,,,0.0187,11.1,4.453686363252606
16.0,,,,,,,0.0187,11.1,4.453686363252606
16.5,,,,,,,0.0187,11.1,4.453686363252606
17.0,,,,,,,0.0187,11.1,4.453686363252606
17.5,,,,,,,0.0187,11.1,4.453686363252606
18.0,,,,,,,0.0187,11.1,4.453686363252606
18.5,,,,,,,0.0187,11.1,4.453686363252606
19.0,,,,,,,0.0187,11.1,4.453686363252606
19.5,,,,,,,0.0187,11.1,4.453686363252606
20.0,,865.5492741611654,126.88110198266213,,37.5870301760318,62.4781011713735,0.0187,11.1,4.453686363252606
20.5,,,,,,,0.0187,11.1,4.453686363252606
