relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,41.837171174829145,29.119176967812106,,24.50439518607863,21.922241078449694,0.0237,14.5,1.689427911059441
-29.5,,,,,,,0.0237,14.5,1.689427911059441
-29.0,,,,,,,0.0237,14.5,1.689427911059441
-28.5,,,,,,,0.0237,14.5,1.689427911059441
-28.0,,-11.811981090540215,-28.88238391676821,,42.0240713192014,38.5589192310079,0.0237,14.5,1.689427911059441
-27.5,,,,,,,0.0237,14.5,1.689427911059441
-27.0,,,,,,,0.0237,14.5,1.689427911059441
-26.5,,,,,,,0.0237,14.5,1.689427911059441
-26.0,,-25.49530573101763,-43.49144704072146,,43.4569739688269,25.2273829777349,0.0237,14.5,1.689427911059441
-25.5,,,,,,,0.0237,14.5,1.689427911059441
-25.0,,59.11341314316976,14.526395693314077,,34.0301650949857,26.9222750198553,0.0237,14.5,1.689427911059441
-24.5,,,,,,,0.0237,14.5,1.689427911059441
-24.0,,-32.41593826209972,14.960409089510387,,26.1456611550592,23.1448342649239,0.0237,14.5,1.689427911059441
-23.5,,,,,,,0.0237,14.5,1.689427911059441
-23.0,,0.6629136645963689,44.59299499187625,,24.924245595655,22.8883833238284,0.0237,14.5,1.689427911059441
-22.5,,,,,,,0.0237,14.5,1.689427911059441
-22.0,,29.252910673272478,-28.728508655124138,,24.1133402982744,23.5245071257422,0.0237,14.5,1.689427911059441
-21.5,,,,,,,0.0237,14.5,1.689427911059441
-21.0,,90.28979043477975,47.6028211447127,,27.7560534700917,21.1851260512872,0.0237,14.5,1.689427911059441
-20.5,,,,,,,0.0237,14.5,1.689427911059441
-20.0,,-66.35290858051249,20.41427254264376,,30.9327596716681,25.7484640556169,0.0237,14.5,1.689427911059441
-19.5,,,,,,,0.0237,14.5,1.689427911059441
-19.0,,3.0285441380680855,37.17675903515157,,36.6464386382161,24.9769921824709,0.0237,14.5,1.689427911059441
-18.5,,,,,,,0.0237,14.5,1.689427911059441
-18.0,,21.53313422067263,4.684857515452671,,33.0075487755909,27.9111299614831,0.0237,14.5,1.689427911059441
-17.5,,,,,,,0.0237,14.5,1.689427911059441
-17.0,,-4.223847338554685,,,73.6056762547426,,0.0237,14.5,1.689427911059441
-16.5,,,,,,,0.0237,14.5,1.689427911059441
-16.0,,9.168538560939911,-133.23302140674735,,33.8111629781165,67.6390804987045,0.0237,14.5,1.689427911059441
-15.5,,,,,,,0.0237,14.5,1.689427911059441
-15.0,,-76.91136850514575,10.024756383176776,,41.8182376758747,46.6654791945501,0.0237,14.5,1.689427911059441
-14.5,,,,,,,0.0237,14.5,1.689427911059441
-14.0,,59.74839290912231,-38.57315488969767,,50.1804104060109,43.8378025583168,0.0237,14.5,1.689427911059441
-13.5,,,,,,,0.0237,14.5,1.689427911059441
-13.0,,45.062348289698576,-45.41844216644317,,39.5966015200797,49.146721948248,0.0237,14.5,1.689427911059441
-12.5,,,,,,,0.0237,14.5,1.689427911059441
-12.0,,,,,,,0.0237,14.5,1.689427911059441
-11.5,,,,,,,0.0237,14.5,1.689427911059441
-11.0,,,,,,,0.0237,14.5,1.689427911059441
-10.5,,,,,,,0.0237,14.5,1.689427911059441
-10.0,76.377154793711,-50.420504154508215,-12.035252440700058,221.1437499031555,47.3326510255238,63.0373027184816,0.0237,14.5,1.689427911059441
-9.5,-158.87253290962374,,,258.49785362223173,,,0.0237,14.5,1.689427911059441
-9.0,-179.74751798957195,33.79175433616355,-25.33795964568444,272.20122857731366,46.3121973337744,49.6137634608873,0.0237,14.5,1.689427911059441
-8.5,-181.91966087977855,,,272.76204472648516,,,0.0237,14.5,1.689427911059441
-8.0,-86.82217902758865,-41.55484956465533,11.258252899618997,278.65520299308827,45.4784473417919,45.671029759571,0.0237,14.5,1.689427911059441
-7.5,145.90765101168088,,,269.77993616173205,,,0.0237,14.5,1.689427911059441
-7.0,157.47555823708498,34.46337299002388,63.23061313131039,273.0111174568267,53.2744726051401,45.7303269573334,0.0237,14.5,1.689427911059441
-6.5,120.88630254569975,,,261.66700583960187,,,0.0237,14.5,1.689427911059441
-6.0,149.3838288768344,,-5.890786184516144,266.7496525821285,,34.2665656087037,0.0237,14.5,1.689427911059441
-5.5,20.7244823504957,,,258.631913613385,,,0.0237,14.5,1.689427911059441
-5.0,39.571122859616494,,36.98950287348775,259.5773530909604,,26.6949202472016,0.0237,14.5,1.689427911059441
-4.5,84.10372847569913,,,254.35274181043607,,,0.0237,14.5,1.689427911059441
-4.0,101.61780223926561,-15.674962597314298,38.097219938668644,260.08708637673953,27.882717359375,21.2874064898909,0.0237,14.5,1.689427911059441
-3.5,39.327813056579394,,,254.06619508624814,,,0.0237,14.5,1.689427911059441
-3.0,-1.1474671159911218,115.50871812511662,65.9811655363491,257.3850406664724,25.6494413532659,21.6490926801425,0.0237,14.5,1.689427911059441
-2.5,-129.97658568223918,,,249.0071296148718,,,0.0237,14.5,1.689427911059441
-2.0,-64.77728657906152,,,250.0734116547633,,,0.0237,14.5,1.689427911059441
-1.5,7.227554101877416,,,244.42896598751273,,,0.0237,14.5,1.689427911059441
-1.0,91.53821855369665,78.69214107096346,69.30419634537759,251.28582576280724,26.624045425509,21.2560791232657,0.0237,14.5,1.689427911059441
-0.5,41.06101556655591,,,243.30814125052808,,,0.0237,14.5,1.689427911059441
0.0,170.9480628032115,179.33790314321467,135.97568974095117,246.4320788637474,26.8181399637051,24.4250978658977,0.0237,14.5,1.689427911059441
0.5,176.2772644710218,,,235.98601717408155,,,0.0237,14.5,1.689427911059441
1.0,179.59858812175932,139.91997427869072,153.8394833328211,234.43108826089383,26.2610113803461,25.500286856044,0.0237,14.5,1.689427911059441
1.5,164.8691265930197,,,223.25023716657907,,,0.0237,14.5,1.689427911059441
2.0,241.06750269741292,217.2740656123692,218.11884850602888,212.2512408371187,34.7321735916337,22.4933060368946,0.0237,14.5,1.689427911059441
2.5,318.34838355519616,,,211.6331179371647,,,0.0237,14.5,1.689427911059441
3.0,374.7379646885781,236.94530877546572,222.59295579213148,209.86986613635793,30.8646110705237,21.7667561177851,0.0237,14.5,1.689427911059441
3.5,461.1436202366577,,,208.2487886377205,,,0.0237,14.5,1.689427911059441
4.0,,275.9875185344312,315.33721825333004,,29.6641753383093,24.865412397102,0.0237,14.5,1.689427911059441
4.5,253.7779662290338,,,220.5166578692162,,,0.0237,14.5,1.689427911059441
5.0,321.9125955514138,,271.3779675972138,247.62051138722808,,27.1476606603661,0.0237,14.5,1.689427911059441
5.5,295.54772029107613,,,255.54573079114016,,,0.0237,14.5,1.689427911059441
6.0,250.34940992812605,394.76083725412025,371.38227582901465,263.70869694627794,30.6312514183979,25.2729368451027,0.0237,14.5,1.689427911059441
6.5,417.6120727037325,,,252.91524517594172,,,0.0237,14.5,1.689427911059441
7.0,342.31831678917536,,364.28531079168334,264.9457986970962,,23.2681228496153,0.0237,14.5,1.689427911059441
7.5,379.28016629634055,,,254.63022697488927,,,0.0237,14.5,1.689427911059441
8.0,470.7730572362456,373.129214378597,376.1793885262288,257.9270941644068,28.0898161422558,22.7281768973024,0.0237,14.5,1.689427911059441
8.5,252.25727533896415,,,249.706068502079,,,0.0237,14.5,1.689427911059441
9.0,446.78796078331425,462.40598049928934,441.04717277703537,254.46564097613413,25.7041329750218,28.2341054068626,0.0237,14.5,1.689427911059441
9.5,386.1036538538679,,,252.22922157382047,,,0.0237,14.5,1.689427911059441
10.0,512.8724424130509,523.5110271151981,486.9857544236377,259.16387046524454,29.8802086204825,25.0922919818662,0.0237,14.5,1.689427911059441
10.5,482.36522786740284,,,249.45217263995397,,,0.0237,14.5,1.689427911059441
11.0,456.4800762819706,,473.33887438266294,253.85783767301714,,31.1298974286215,0.0237,14.5,1.689427911059441
11.5,502.37971876237765,,,245.3602197970813,,,0.0237,14.5,1.689427911059441
12.0,407.8682938175086,448.6714037963036,547.2965424953634,249.45849329109208,29.9661049069992,25.2403170686112,0.0237,14.5,1.689427911059441
12.5,480.8807126575459,,,246.15642907636928,,,0.0237,14.5,1.689427911059441
13.0,558.7591526153154,,,250.07818744187625,,,0.0237,14.5,1.689427911059441
13.5,668.4209247678078,,,244.72663735695212,,,0.0237,14.5,1.689427911059441
14.0,523.5261906225611,548.0349602218381,559.5819564413418,250.40729122354563,33.5576508583928,28.2737752899247,0.0237,14.5,1.689427911059441
14.5,586.9168193955223,,,242.41507647223548,,,0.0237,14.5,1.689427911059441
15.0,524.3113831987516,592.3328383136385,601.3880313672653,242.65214360668335,38.040896843383,43.6088828354464,0.0237,14.5,1.689427911059441
15.5,611.2225206631102,,,231.82692686143523,,,0.0237,14.5,1.689427911059441
16.0,613.8538145596843,,,221.59134291983034,,,0.0237,14.5,1.689427911059441
16.5,648.402258238161,,,208.4508132050797,,,0.0237,14.5,1.689427911059441
17.0,424.7159824756982,,,208.61209602003134,,,0.0237,14.5,1.689427911059441
17.5,525.0371146890076,,,209.14865507208057,,,0.0237,14.5,1.689427911059441
