relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,-58.452520278996836,-38.781222100323674,,26.6067162039389,27.1989331235068,0.0528,17.1,4.669688307466451
-29.5,,,,,,,0.0528,17.1,4.669688307466451
-29.0,,33.81138329238947,51.87720364536748,,28.3241628631452,29.1742697113971,0.0528,17.1,4.669688307466451
-28.5,,,,,,,0.0528,17.1,4.669688307466451
-28.0,,-34.06763268129416,-14.835032627468161,,36.0452892156444,35.5013089478255,0.0528,17.1,4.669688307466451
-27.5,,,,,,,0.0528,17.1,4.669688307466451
-27.0,,-13.44766072868642,38.6895341900218,,26.5892518958685,29.0367510242465,0.0528,17.1,4.669688307466451
-26.5,,,,,,,0.0528,17.1,4.669688307466451
-26.0,,,20.332978276314883,,,42.1949091088179,0.0528,17.1,4.669688307466451
-25.5,,,,,,,0.0528,17.1,4.669688307466451
-25.0,,,51.05436550718165,,,67.3215655285163,0.0528,17.1,4.669688307466451
-24.5,,,,,,,0.0528,17.1,4.669688307466451
-24.0,,-36.086506322514055,54.97974059393802,,49.5575141079515,53.9257875237107,0.0528,17.1,4.669688307466451
-23.5,,,,,,,0.0528,17.1,4.669688307466451
-23.0,,-4.526063416477737,-22.337205664973723,,46.5532931610159,49.4753830075173,0.0528,17.1,4.669688307466451
-22.5,,,,,,,0.0528,17.1,4.669688307466451
-22.0,,-26.10893993036743,24.934792828364763,,71.1689808044907,63.75890344172,0.0528,17.1,4.669688307466451
-21.5,,,,,,,0.0528,17.1,4.669688307466451
-21.0,,,,,,,0.0528,17.1,4.669688307466451
-20.5,,,,,,,0.0528,17.1,4.669688307466451
-20.0,,,,,,,0.0528,17.1,4.669688307466451
-19.5,,,,,,,0.0528,17.1,4.669688307466451
-19.0,,-33.87354328365157,1.8991380169825367,,43.1495358936973,64.2860363946619,0.0528,17.1,4.669688307466451
-18.5,,,,,,,0.0528,17.1,4.669688307466451
-18.0,,-59.60124781575641,-30.806056051104928,,51.9303468412285,66.1406897006344,0.0528,17.1,4.669688307466451
-17.5,,,,,,,0.0528,17.1,4.669688307466451
-17.0,,-37.69311332043579,-81.23702552290767,,43.8304745690498,50.8785954613576,0.0528,17.1,4.669688307466451
-16.5,,,,,,,0.0528,17.1,4.669688307466451
-16.0,,-81.74697257927,-28.45938112789778,,42.2211647858793,64.3210579503332,0.0528,17.1,4.669688307466451
-15.5,,,,,,,0.0528,17.1,4.669688307466451
-15.0,,-21.686908364376578,18.02820020956902,,35.4313722860382,36.5711348587205,0.0528,17.1,4.669688307466451
-14.5,,,,,,,0.0528,17.1,4.669688307466451
-14.0,,,-25.76633027036068,,,39.0115528213021,0.0528,17.1,4.669688307466451
-13.5,,,,,,,0.0528,17.1,4.669688307466451
-13.0,,74.13774177804066,-49.885043851709554,,26.857542589311,31.0334555041416,0.0528,17.1,4.669688307466451
-12.5,,,,,,,0.0528,17.1,4.669688307466451
-12.0,,-155.08417121140172,-30.932962952776197,,28.3564997477789,25.9502779645081,0.0528,17.1,4.669688307466451
-11.5,,,,,,,0.0528,17.1,4.669688307466451
-11.0,,,,,,,0.0528,17.1,4.669688307466451
-10.5,,,,,,,0.0528,17.1,4.669688307466451
-10.0,,-22.761044730171115,15.991204235371114,,22.1174423478771,20.2494011835235,0.0528,17.1,4.669688307466451
-9.5,,,,,,,0.0528,17.1,4.669688307466451
-9.0,,-77.23124774323318,-88.90169583674161,,26.8226247503623,31.565969951067,0.0528,17.1,4.669688307466451
-8.5,,,,,,,0.0528,17.1,4.669688307466451
-8.0,,26.044965237039712,-17.531602905319765,,25.1955680848396,30.3556034228937,0.0528,17.1,4.669688307466451
-7.5,,,,,,,0.0528,17.1,4.669688307466451
-7.0,,47.27422018313996,-3.3139329942070535,,31.104611550748,27.8691574192045,0.0528,17.1,4.669688307466451
-6.5,,,,,,,0.0528,17.1,4.669688307466451
-6.0,,77.02365392206481,,,25.4737312397693,,0.0528,17.1,4.669688307466451
-5.5,,,,,,,0.0528,17.1,4.669688307466451
-5.0,,3.5055570657384285,37.93101034944961,,26.0102783974909,33.7686800628092,0.0528,17.1,4.669688307466451
-4.5,,,,,,,0.0528,17.1,4.669688307466451
-4.0,,92.46579433702088,54.921320233331585,,30.1301820378744,21.4898431815315,0.0528,17.1,4.669688307466451
-3.5,,,,,,,0.0528,17.1,4.669688307466451
-3.0,,116.00623905600777,122.57718017242519,,28.3041729908264,31.4649882233603,0.0528,17.1,4.669688307466451
-2.5,,,,,,,0.0528,17.1,4.669688307466451
-2.0,,157.10056426178204,133.80111024374008,,28.6717318162794,21.4974424457339,0.0528,17.1,4.669688307466451
-1.5,,,,,,,0.0528,17.1,4.669688307466451
-1.0,,183.87854800359835,159.98771818944937,,34.0240554549333,28.1507427478338,0.0528,17.1,4.669688307466451
-0.5,,,,,,,0.0528,17.1,4.669688307466451
0.0,,172.24626959427684,214.93830232271338,,23.9903973643053,25.5996265592418,0.0528,17.1,4.669688307466451
0.5,,,,,,,0.0528,17.1,4.669688307466451
1.0,,191.94997383212944,251.21418766616105,,30.1290269148071,27.4957638392665,0.0528,17.1,4.669688307466451
1.5,,,,,,,0.0528,17.1,4.669688307466451
2.0,,297.27251131387845,216.29995499022425,,33.0898005583936,25.1648841035608,0.0528,17.1,4.669688307466451
