relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.027,14.1,4.76535996075381
-29.5,,,,,,,0.027,14.1,4.76535996075381
-29.0,,-0.19187706510498104,-44.488997308188104,,33.4646393229023,27.1442418907748,0.027,14.1,4.76535996075381
-28.5,,,,,,,0.027,14.1,4.76535996075381
-28.0,,,,,,,0.027,14.1,4.76535996075381
-27.5,,,,,,,0.027,14.1,4.76535996075381
-27.0,,,-37.174855375131244,,,31.3910372078617,0.027,14.1,4.76535996075381
-26.5,,,,,,,0.027,14.1,4.76535996075381
-26.0,,,,,,,0.027,14.1,4.76535996075381
-25.5,,,,,,,0.027,14.1,4.76535996075381
-25.0,,36.18937104038307,-28.623732165019714,,47.7528663753506,47.0424207851594,0.027,14.1,4.76535996075381
-24.5,,,,,,,0.027,14.1,4.76535996075381
-24.0,,,,,,,0.027,14.1,4.76535996075381
-23.5,,,,,,,0.027,14.1,4.76535996075381
-23.0,,45.358105684117916,-39.082580439347176,,67.0866811297123,53.9096812281012,0.027,14.1,4.76535996075381
-22.5,,,,,,,0.027,14.1,4.76535996075381
-22.0,,,,,,,0.027,14.1,4.76535996075381
-21.5,,,,,,,0.027,14.1,4.76535996075381
-21.0,,,,,,,0.027,14.1,4.76535996075381
-20.5,,,,,,,0.027,14.1,4.76535996075381
-20.0,,,,,,,0.027,14.1,4.76535996075381
-19.5,,,,,,,0.027,14.1,4.76535996075381
-19.0,,-57.93426483379904,5.3603665619174325,,48.2662340565471,50.7396758669598,0.027,14.1,4.76535996075381
-18.5,,,,,,,0.027,14.1,4.76535996075381
-18.0,,,,,,,0.027,14.1,4.76535996075381
-17.5,,,,,,,0.027,14.1,4.76535996075381
-17.0,,26.89453268243744,26.997627505626248,,38.9801192047525,38.4219513194603,0.027,14.1,4.76535996075381
-16.5,,,,,,,0.027,14.1,4.76535996075381
-16.0,,,,,,,0.027,14.1,4.76535996075381
-15.5,,,,,,,0.027,14.1,4.76535996075381
-15.0,,,37.94593584432338,,,32.4557033420996,0.027,14.1,4.76535996075381
-14.5,,,,,,,0.027,14.1,4.76535996075381
-14.0,,,,,,,0.027,14.1,4.76535996075381
-13.5,,,,,,,0.027,14.1,4.76535996075381
-13.0,,34.903797367381124,-37.88034919263419,,26.5721422210227,22.1904273335175,0.027,14.1,4.76535996075381
-12.5,,,,,,,0.027,14.1,4.76535996075381
-12.0,,,,,,,0.027,14.1,4.76535996075381
-11.5,,,,,,,0.027,14.1,4.76535996075381
-11.0,,,,,,,0.027,14.1,4.76535996075381
-10.5,,,,,,,0.027,14.1,4.76535996075381
-10.0,,27.112686924700764,-5.503677523169975,,32.7529129694971,31.5727285507872,0.027,14.1,4.76535996075381
-9.5,,,,,,,0.027,14.1,4.76535996075381
-9.0,,,,,,,0.027,14.1,4.76535996075381
-8.5,,,,,,,0.027,14.1,4.76535996075381
-8.0,,8.080485680444658,-15.490625768243751,,29.6653102208982,22.2189758580595,0.027,14.1,4.76535996075381
-7.5,,,,,,,0.027,14.1,4.76535996075381
-7.0,,,,,,,0.027,14.1,4.76535996075381
-6.5,,,,,,,0.027,14.1,4.76535996075381
-6.0,,56.71050829033004,24.01108784022124,,28.9867689026234,27.3013921558781,0.027,14.1,4.76535996075381
-5.5,,,,,,,0.027,14.1,4.76535996075381
-5.0,,,,,,,0.027,14.1,4.76535996075381
-4.5,,,,,,,0.027,14.1,4.76535996075381
-4.0,,8.156132782468944,58.83095081728835,,28.190413773702,25.7044278219695,0.027,14.1,4.76535996075381
-3.5,,,,,,,0.027,14.1,4.76535996075381
-3.0,,,,,,,0.027,14.1,4.76535996075381
-2.5,,,,,,,0.027,14.1,4.76535996075381
-2.0,,119.95483034745222,65.3011494919953,,27.8643144655794,21.9512070647777,0.027,14.1,4.76535996075381
-1.5,,,,,,,0.027,14.1,4.76535996075381
-1.0,,,,,,,0.027,14.1,4.76535996075381
-0.5,,,,,,,0.027,14.1,4.76535996075381
0.0,,251.08036548890215,114.19241890405218,,31.5563183837876,23.2674644564997,0.027,14.1,4.76535996075381
0.5,,,,,,,0.027,14.1,4.76535996075381
1.0,,,,,,,0.027,14.1,4.76535996075381
1.5,,,,,,,0.027,14.1,4.76535996075381
2.0,,333.8570948247904,265.0318359117127,,31.5575438186159,24.2085024873266,0.027,14.1,4.76535996075381
2.5,,,,,,,0.027,14.1,4.76535996075381
3.0,,,,,,,0.027,14.1,4.76535996075381
3.5,,,,,,,0.027,14.1,4.76535996075381
4.0,,,,,,,0.027,14.1,4.76535996075381
4.5,,,,,,,0.027,14.1,4.76535996075381
5.0,,507.2649225726404,363.17563738931295,,39.0915133650814,44.2202270890202,0.027,14.1,4.76535996075381
5.5,,,,,,,0.027,14.1,4.76535996075381
6.0,,,,,,,0.027,14.1,4.76535996075381
6.5,,,,,,,0.027,14.1,4.76535996075381
7.0,,,69.18977452465732,,,82.3120000073545,0.027,14.1,4.76535996075381
7.5,,,,,,,0.027,14.1,4.76535996075381
8.0,,,,,,,0.027,14.1,4.76535996075381
8.5,,,,,,,0.027,14.1,4.76535996075381
9.0,,585.0102719111152,,,69.2952254748975,,0.027,14.1,4.76535996075381
9.5,,,,,,,0.027,14.1,4.76535996075381
10.0,,,,,,,0.027,14.1,4.76535996075381
10.5,,,,,,,0.027,14.1,4.76535996075381
11.0,,,,,,,0.027,14.1,4.76535996075381
11.5,,,,,,,0.027,14.1,4.76535996075381
12.0,,,,,,,0.027,14.1,4.76535996075381
12.5,,,,,,,0.027,14.1,4.76535996075381
13.0,,496.44334023662856,163.28665868972624,,55.0255212804389,54.9369602875707,0.027,14.1,4.76535996075381
13.5,,,,,,,0.027,14.1,4.76535996075381
14.0,,,,,,,0.027,14.1,4.76535996075381
