relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,108.96442027161659,,,41.4677940297709,0.0986,11.1,1.557273257973693
-29.5,,,,,,,0.0986,11.1,1.557273257973693
-29.0,,,,,,,0.0986,11.1,1.557273257973693
-28.5,,,,,,,0.0986,11.1,1.557273257973693
-28.0,,-43.86642754622777,-7.298233842022808,,34.4070029636959,32.5275915457771,0.0986,11.1,1.557273257973693
-27.5,,,,,,,0.0986,11.1,1.557273257973693
-27.0,,,,,,,0.0986,11.1,1.557273257973693
-26.5,,,,,,,0.0986,11.1,1.557273257973693
-26.0,,,,,,,0.0986,11.1,1.557273257973693
-25.5,,,,,,,0.0986,11.1,1.557273257973693
-25.0,,-32.1543267530913,48.392315806273146,,20.9663579414792,18.4050911629772,0.0986,11.1,1.557273257973693
-24.5,,,,,,,0.0986,11.1,1.557273257973693
-24.0,,,,,,,0.0986,11.1,1.557273257973693
-23.5,,,,,,,0.0986,11.1,1.557273257973693
-23.0,,,,,,,0.0986,11.1,1.557273257973693
-22.5,,,,,,,0.0986,11.1,1.557273257973693
-22.0,,34.353686728867444,-2.6411831472664673,,26.3640952092054,22.9196539982354,0.0986,11.1,1.557273257973693
-21.5,,,,,,,0.0986,11.1,1.557273257973693
-21.0,,,,,,,0.0986,11.1,1.557273257973693
-20.5,,,,,,,0.0986,11.1,1.557273257973693
-20.0,,16.308333670653557,23.1926133950999,,32.1371466534483,20.8753539851701,0.0986,11.1,1.557273257973693
-19.5,,,,,,,0.0986,11.1,1.557273257973693
-19.0,,,,,,,0.0986,11.1,1.557273257973693
-18.5,,,,,,,0.0986,11.1,1.557273257973693
-18.0,,-27.299566227464684,19.923529670848104,,26.2839511163359,21.0441855703516,0.0986,11.1,1.557273257973693
-17.5,,,,,,,0.0986,11.1,1.557273257973693
-17.0,,,,,,,0.0986,11.1,1.557273257973693
-16.5,,,,,,,0.0986,11.1,1.557273257973693
-16.0,,-9.895699122780506,-20.364231860981246,,28.0130284430111,24.1367472566879,0.0986,11.1,1.557273257973693
-15.5,,,,,,,0.0986,11.1,1.557273257973693
-15.0,,,,,,,0.0986,11.1,1.557273257973693
-14.5,,,,,,,0.0986,11.1,1.557273257973693
-14.0,,16.528716828554646,9.74790882909548,,26.9513736780274,18.1420193307383,0.0986,11.1,1.557273257973693
-13.5,,,,,,,0.0986,11.1,1.557273257973693
-13.0,,,,,,,0.0986,11.1,1.557273257973693
-12.5,,,,,,,0.0986,11.1,1.557273257973693
-12.0,,-44.993287425711856,,,23.2633685043026,,0.0986,11.1,1.557273257973693
-11.5,,,,,,,0.0986,11.1,1.557273257973693
-11.0,,,,,,,0.0986,11.1,1.557273257973693
-10.5,,,,,,,0.0986,11.1,1.557273257973693
