relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,22.319820763222523,-6.461147784660795,,27.5286764902818,19.8887902183465,0.0712,15.0,2.059155706162655
-29.5,,,,,,,0.0712,15.0,2.059155706162655
-29.0,,,,,,,0.0712,15.0,2.059155706162655
-28.5,,,,,,,0.0712,15.0,2.059155706162655
-28.0,,-4.755153808919862,5.025700342926337,,23.494463665066,18.895154299831,0.0712,15.0,2.059155706162655
-27.5,,,,,,,0.0712,15.0,2.059155706162655
-27.0,,,,,,,0.0712,15.0,2.059155706162655
-26.5,,,,,,,0.0712,15.0,2.059155706162655
-26.0,,91.86964901903313,9.39738114206944,,23.6272888060611,19.9053359518754,0.0712,15.0,2.059155706162655
-25.5,,,,,,,0.0712,15.0,2.059155706162655
-25.0,,,,,,,0.0712,15.0,2.059155706162655
-24.5,,,,,,,0.0712,15.0,2.059155706162655
-24.0,,19.562891367058217,17.68141432251993,,22.1505716813594,20.7763871478591,0.0712,15.0,2.059155706162655
-23.5,,,,,,,0.0712,15.0,2.059155706162655
-23.0,,,,,,,0.0712,15.0,2.059155706162655
-22.5,,,,,,,0.0712,15.0,2.059155706162655
-22.0,,19.029860369676513,-15.10940976673447,,22.3992521051842,20.1174416364484,0.0712,15.0,2.059155706162655
-21.5,,,,,,,0.0712,15.0,2.059155706162655
-21.0,,,,,,,0.0712,15.0,2.059155706162655
-20.5,,,,,,,0.0712,15.0,2.059155706162655
-20.0,,,,,,,0.0712,15.0,2.059155706162655
-19.5,,,,,,,0.0712,15.0,2.059155706162655
-19.0,,16.539870795193934,-7.116873360986094,,22.9577134089415,24.2500615572256,0.0712,15.0,2.059155706162655
-18.5,,,,,,,0.0712,15.0,2.059155706162655
-18.0,,,,,,,0.0712,15.0,2.059155706162655
-17.5,,,,,,,0.0712,15.0,2.059155706162655
-17.0,,,,,,,0.0712,15.0,2.059155706162655
-16.5,,,,,,,0.0712,15.0,2.059155706162655
-16.0,,,-15.862630878013803,,,63.1331300602302,0.0712,15.0,2.059155706162655
-15.5,,,,,,,0.0712,15.0,2.059155706162655
-15.0,,,,,,,0.0712,15.0,2.059155706162655
-14.5,,,,,,,0.0712,15.0,2.059155706162655
-14.0,,,,,,,0.0712,15.0,2.059155706162655
-13.5,,,,,,,0.0712,15.0,2.059155706162655
-13.0,,,,,,,0.0712,15.0,2.059155706162655
-12.5,,,,,,,0.0712,15.0,2.059155706162655
-12.0,,41.726734688132154,,,33.137425929982,,0.0712,15.0,2.059155706162655
-11.5,,,,,,,0.0712,15.0,2.059155706162655
-11.0,,,,,,,0.0712,15.0,2.059155706162655
-10.5,,,,,,,0.0712,15.0,2.059155706162655
-10.0,,6.108471997555648,-0.40738380999575263,,23.3909618844661,22.3235492453369,0.0712,15.0,2.059155706162655
-9.5,,,,,,,0.0712,15.0,2.059155706162655
-9.0,,,,,,,0.0712,15.0,2.059155706162655
-8.5,,,,,,,0.0712,15.0,2.059155706162655
-8.0,,,,,,,0.0712,15.0,2.059155706162655
-7.5,,,,,,,0.0712,15.0,2.059155706162655
-7.0,,-4.782569674940054,-7.962113796784446,,25.9215746373215,20.9474366260572,0.0712,15.0,2.059155706162655
-6.5,,,,,,,0.0712,15.0,2.059155706162655
-6.0,,,,,,,0.0712,15.0,2.059155706162655
-5.5,,,,,,,0.0712,15.0,2.059155706162655
-5.0,,30.41167003997975,29.110509467785196,,23.9666114703546,20.2233000079514,0.0712,15.0,2.059155706162655
-4.5,,,,,,,0.0712,15.0,2.059155706162655
-4.0,,,,,,,0.0712,15.0,2.059155706162655
-3.5,,,,,,,0.0712,15.0,2.059155706162655
-3.0,,,,,,,0.0712,15.0,2.059155706162655
-2.5,,,,,,,0.0712,15.0,2.059155706162655
-2.0,,,,,,,0.0712,15.0,2.059155706162655
-1.5,,,,,,,0.0712,15.0,2.059155706162655
-1.0,,,,,,,0.0712,15.0,2.059155706162655
-0.5,,,,,,,0.0712,15.0,2.059155706162655
0.0,,,277.4836144496708,,,21.9844729766875,0.0712,15.0,2.059155706162655
0.5,,,,,,,0.0712,15.0,2.059155706162655
1.0,,,,,,,0.0712,15.0,2.059155706162655
1.5,,,,,,,0.0712,15.0,2.059155706162655
