relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,23.516694905914317,,,51.23614200626684,,0.064,21.1,3.674505257703258
-29.5,,,,,,,0.064,21.1,3.674505257703258
-29.0,,,,,,,0.064,21.1,3.674505257703258
-28.5,,,,,,,0.064,21.1,3.674505257703258
-28.0,,,,,,,0.064,21.1,3.674505257703258
-27.5,,,,,,,0.064,21.1,3.674505257703258
-27.0,,-12.870153717653956,-23.878121740313556,,60.78396337280661,22.281530920472,0.064,21.1,3.674505257703258
-26.5,,,,,,,0.064,21.1,3.674505257703258
-26.0,,,,,,,0.064,21.1,3.674505257703258
-25.5,,,,,,,0.064,21.1,3.674505257703258
-25.0,,,,,,,0.064,21.1,3.674505257703258
-24.5,,,,,,,0.064,21.1,3.674505257703258
-24.0,,,110.11681349477612,,,85.3861350821962,0.064,21.1,3.674505257703258
-23.5,,,,,,,0.064,21.1,3.674505257703258
-23.0,,,,,,,0.064,21.1,3.674505257703258
-22.5,,,,,,,0.064,21.1,3.674505257703258
-22.0,,,121.77463701271812,,,99.3545139473241,0.064,21.1,3.674505257703258
-21.5,,,,,,,0.064,21.1,3.674505257703258
-21.0,,,,,,,0.064,21.1,3.674505257703258
-20.5,,,,,,,0.064,21.1,3.674505257703258
-20.0,,,,,,,0.064,21.1,3.674505257703258
-19.5,,,,,,,0.064,21.1,3.674505257703258
-19.0,,,,,,,0.064,21.1,3.674505257703258
-18.5,,,,,,,0.064,21.1,3.674505257703258
-18.0,,51.77662421823833,-5.432232183874285,,129.5620535003956,46.0019318776016,0.064,21.1,3.674505257703258
-17.5,,,,,,,0.064,21.1,3.674505257703258
-17.0,,,,,,,0.064,21.1,3.674505257703258
-16.5,,,,,,,0.064,21.1,3.674505257703258
-16.0,,,2.579071732190547,,,23.0574003212727,0.064,21.1,3.674505257703258
-15.5,,,,,,,0.064,21.1,3.674505257703258
-15.0,,,,,,,0.064,21.1,3.674505257703258
-14.5,,,,,,,0.064,21.1,3.674505257703258
-14.0,,-3.7535588264295963,-38.00057843735576,,51.77900312269102,23.2416305791454,0.064,21.1,3.674505257703258
-13.5,,,,,,,0.064,21.1,3.674505257703258
-13.0,,,,,,,0.064,21.1,3.674505257703258
-12.5,,,,,,,0.064,21.1,3.674505257703258
-12.0,,20.93480202006849,14.17677403622096,,54.121675649909534,20.1500816412219,0.064,21.1,3.674505257703258
-11.5,,,,,,,0.064,21.1,3.674505257703258
-11.0,,,,,,,0.064,21.1,3.674505257703258
-10.5,,,,,,,0.064,21.1,3.674505257703258
-10.0,,,,,,,0.064,21.1,3.674505257703258
-9.5,,,,,,,0.064,21.1,3.674505257703258
-9.0,,,,,,,0.064,21.1,3.674505257703258
-8.5,,,,,,,0.064,21.1,3.674505257703258
-8.0,,,,,,,0.064,21.1,3.674505257703258
-7.5,,,,,,,0.064,21.1,3.674505257703258
-7.0,,-21.993037015960024,-8.767925294368155,,43.56741082857808,18.4966392701078,0.064,21.1,3.674505257703258
-6.5,,,,,,,0.064,21.1,3.674505257703258
-6.0,,,,,,,0.064,21.1,3.674505257703258
-5.5,,,,,,,0.064,21.1,3.674505257703258
-5.0,,3.2138150940655503,-13.1849804364094,,55.29761159439794,27.8732191019366,0.064,21.1,3.674505257703258
-4.5,,,,,,,0.064,21.1,3.674505257703258
-4.0,,,,,,,0.064,21.1,3.674505257703258
-3.5,,,,,,,0.064,21.1,3.674505257703258
-3.0,,,,,,,0.064,21.1,3.674505257703258
-2.5,,,,,,,0.064,21.1,3.674505257703258
-2.0,,41.407862325629246,101.1224456613827,,63.798284486134655,28.3941766988268,0.064,21.1,3.674505257703258
-1.5,,,,,,,0.064,21.1,3.674505257703258
-1.0,,,,,,,0.064,21.1,3.674505257703258
-0.5,,,,,,,0.064,21.1,3.674505257703258
0.0,,,123.7247049606719,,,24.8575952381638,0.064,21.1,3.674505257703258
0.5,,,,,,,0.064,21.1,3.674505257703258
1.0,,,,,,,0.064,21.1,3.674505257703258
1.5,,,,,,,0.064,21.1,3.674505257703258
2.0,,,,,,,0.064,21.1,3.674505257703258
2.5,,,,,,,0.064,21.1,3.674505257703258
3.0,,,264.224009959605,,,43.8196543345904,0.064,21.1,3.674505257703258
3.5,,,,,,,0.064,21.1,3.674505257703258
4.0,,,,,,,0.064,21.1,3.674505257703258
4.5,,,,,,,0.064,21.1,3.674505257703258
5.0,,,,,,,0.064,21.1,3.674505257703258
5.5,,,,,,,0.064,21.1,3.674505257703258
6.0,,,,,,,0.064,21.1,3.674505257703258
6.5,,,,,,,0.064,21.1,3.674505257703258
7.0,,491.49852571417256,441.8535870711265,,123.79624323680868,64.1032729323506,0.064,21.1,3.674505257703258
7.5,,,,,,,0.064,21.1,3.674505257703258
8.0,,,,,,,0.064,21.1,3.674505257703258
8.5,,,,,,,0.064,21.1,3.674505257703258
9.0,,314.377829123561,397.0172015726423,,133.11223670107415,57.1827543900799,0.064,21.1,3.674505257703258
9.5,,,,,,,0.064,21.1,3.674505257703258
10.0,,,,,,,0.064,21.1,3.674505257703258
10.5,,,,,,,0.064,21.1,3.674505257703258
11.0,,377.0251774913593,599.1726395941723,,66.00873406735661,45.8135967100748,0.064,21.1,3.674505257703258
11.5,,,,,,,0.064,21.1,3.674505257703258
12.0,,,,,,,0.064,21.1,3.674505257703258
12.5,,,,,,,0.064,21.1,3.674505257703258
13.0,,568.8456300256737,638.5750686574124,,61.83639345984533,25.5557837226866,0.064,21.1,3.674505257703258
13.5,,,,,,,0.064,21.1,3.674505257703258
14.0,,,,,,,0.064,21.1,3.674505257703258
14.5,,,,,,,0.064,21.1,3.674505257703258
15.0,,,,,,,0.064,21.1,3.674505257703258
15.5,,,,,,,0.064,21.1,3.674505257703258
16.0,,,,,,,0.064,21.1,3.674505257703258
16.5,,,,,,,0.064,21.1,3.674505257703258
17.0,,582.1093281961475,551.0769704002042,,56.72699772435993,22.4644400954809,0.064,21.1,3.674505257703258
17.5,,,,,,,0.064,21.1,3.674505257703258
18.0,,,,,,,0.064,21.1,3.674505257703258
18.5,,,,,,,0.064,21.1,3.674505257703258
19.0,,668.7035390960755,637.9804189962841,,56.77504997572477,27.2030879090427,0.064,21.1,3.674505257703258
19.5,,,,,,,0.064,21.1,3.674505257703258
20.0,,,,,,,0.064,21.1,3.674505257703258
20.5,,,,,,,0.064,21.1,3.674505257703258
21.0,,674.6211807958822,597.1126083445073,,58.347259826958144,31.2327919376034,0.064,21.1,3.674505257703258
21.5,,,,,,,0.064,21.1,3.674505257703258
22.0,,,,,,,0.064,21.1,3.674505257703258
22.5,,,,,,,0.064,21.1,3.674505257703258
23.0,,666.5219103355832,553.3970322288404,,65.89878547205143,25.1806758174405,0.064,21.1,3.674505257703258
23.5,,,,,,,0.064,21.1,3.674505257703258
24.0,,,,,,,0.064,21.1,3.674505257703258
24.5,,,,,,,0.064,21.1,3.674505257703258
25.0,,617.7411285399949,527.2678489164362,,53.3675797945068,29.5143709273741,0.064,21.1,3.674505257703258
25.5,,,,,,,0.064,21.1,3.674505257703258
26.0,,,,,,,0.064,21.1,3.674505257703258
26.5,,,,,,,0.064,21.1,3.674505257703258
27.0,,566.1322285070993,523.4574590995335,,54.314439755027685,27.5039573100533,0.064,21.1,3.674505257703258
27.5,,,,,,,0.064,21.1,3.674505257703258
28.0,,,,,,,0.064,21.1,3.674505257703258
28.5,,,,,,,0.064,21.1,3.674505257703258
29.0,,615.4836874095245,423.6532435452634,,58.58424492726483,30.7807788299807,0.064,21.1,3.674505257703258
29.5,,,,,,,0.064,21.1,3.674505257703258
30.0,,,,,,,0.064,21.1,3.674505257703258
30.5,,,,,,,0.064,21.1,3.674505257703258
31.0,,,,,,,0.064,21.1,3.674505257703258
31.5,,,,,,,0.064,21.1,3.674505257703258
32.0,,607.401046000389,451.20743398336907,,71.97142590777652,45.4065106229093,0.064,21.1,3.674505257703258
32.5,,,,,,,0.064,21.1,3.674505257703258
33.0,,,,,,,0.064,21.1,3.674505257703258
33.5,,,,,,,0.064,21.1,3.674505257703258
34.0,,,,,,,0.064,21.1,3.674505257703258
34.5,,,,,,,0.064,21.1,3.674505257703258
35.0,,544.6941205794079,242.98641514046096,,136.31855568543517,68.2339456469325,0.064,21.1,3.674505257703258
35.5,,,,,,,0.064,21.1,3.674505257703258
36.0,,,,,,,0.064,21.1,3.674505257703258
36.5,,,,,,,0.064,21.1,3.674505257703258
37.0,,542.3307123095193,296.8076619607843,,123.27204595700609,83.7967940657686,0.064,21.1,3.674505257703258
37.5,,,,,,,0.064,21.1,3.674505257703258
38.0,,,,,,,0.064,21.1,3.674505257703258
38.5,,,,,,,0.064,21.1,3.674505257703258
39.0,,444.76379798156876,,,78.24669920039395,,0.064,21.1,3.674505257703258
39.5,,,,,,,0.064,21.1,3.674505257703258
40.0,,,,,,,0.064,21.1,3.674505257703258
40.5,,,,,,,0.064,21.1,3.674505257703258
41.0,,,,,,,0.064,21.1,3.674505257703258
41.5,,,,,,,0.064,21.1,3.674505257703258
42.0,,,,,,,0.064,21.1,3.674505257703258
42.5,,,,,,,0.064,21.1,3.674505257703258
43.0,,414.4677779753708,189.45389158265624,,55.46283465746001,21.4374791074737,0.064,21.1,3.674505257703258
43.5,,,,,,,0.064,21.1,3.674505257703258
44.0,,,,,,,0.064,21.1,3.674505257703258
44.5,,,,,,,0.064,21.1,3.674505257703258
45.0,,,,,,,0.064,21.1,3.674505257703258
45.5,,,,,,,0.064,21.1,3.674505257703258
46.0,,336.9200374011342,41.48903949525105,,69.00467969473021,35.2539581728059,0.064,21.1,3.674505257703258
46.5,,,,,,,0.064,21.1,3.674505257703258
47.0,,,,,,,0.064,21.1,3.674505257703258
47.5,,,,,,,0.064,21.1,3.674505257703258
