relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0301,12.15,5.560586499841741
-29.5,,,,,,,0.0301,12.15,5.560586499841741
-29.0,,-45.70744015304914,23.987504199211273,,59.9729238097658,75.2757153954507,0.0301,12.15,5.560586499841741
-28.5,,,,,,,0.0301,12.15,5.560586499841741
-28.0,,,,,,,0.0301,12.15,5.560586499841741
-27.5,,,,,,,0.0301,12.15,5.560586499841741
-27.0,,,,,,,0.0301,12.15,5.560586499841741
-26.5,,,,,,,0.0301,12.15,5.560586499841741
-26.0,,62.994548471385215,29.94735422620425,,30.0524331875925,29.7389688255598,0.0301,12.15,5.560586499841741
-25.5,,,,,,,0.0301,12.15,5.560586499841741
-25.0,,,,,,,0.0301,12.15,5.560586499841741
-24.5,,,,,,,0.0301,12.15,5.560586499841741
-24.0,,16.0591456122881,,,24.7450884629224,,0.0301,12.15,5.560586499841741
-23.5,,,,,,,0.0301,12.15,5.560586499841741
-23.0,,,,,,,0.0301,12.15,5.560586499841741
-22.5,,,,,,,0.0301,12.15,5.560586499841741
-22.0,,,35.55888209568541,,,26.4164337261663,0.0301,12.15,5.560586499841741
-21.5,,,,,,,0.0301,12.15,5.560586499841741
-21.0,,,,,,,0.0301,12.15,5.560586499841741
-20.5,,,,,,,0.0301,12.15,5.560586499841741
-20.0,,,,,,,0.0301,12.15,5.560586499841741
-19.5,,,,,,,0.0301,12.15,5.560586499841741
-19.0,,,,,,,0.0301,12.15,5.560586499841741
-18.5,,,,,,,0.0301,12.15,5.560586499841741
-18.0,,,,,,,0.0301,12.15,5.560586499841741
-17.5,,,,,,,0.0301,12.15,5.560586499841741
-17.0,,,16.200509350255032,,,23.4609116528488,0.0301,12.15,5.560586499841741
-16.5,,,,,,,0.0301,12.15,5.560586499841741
-16.0,,,,,,,0.0301,12.15,5.560586499841741
-15.5,,,,,,,0.0301,12.15,5.560586499841741
-15.0,,,,,,,0.0301,12.15,5.560586499841741
-14.5,,,,,,,0.0301,12.15,5.560586499841741
-14.0,,3.980181057837277,,,26.7819162417799,,0.0301,12.15,5.560586499841741
-13.5,,,,,,,0.0301,12.15,5.560586499841741
-13.0,,,,,,,0.0301,12.15,5.560586499841741
-12.5,,,,,,,0.0301,12.15,5.560586499841741
-12.0,,,44.48371149979763,,,24.667572335807,0.0301,12.15,5.560586499841741
-11.5,,,,,,,0.0301,12.15,5.560586499841741
-11.0,,,,,,,0.0301,12.15,5.560586499841741
-10.5,,,,,,,0.0301,12.15,5.560586499841741
-10.0,,-27.16415376343554,42.48381322949749,,24.6242814205307,29.0655813479929,0.0301,12.15,5.560586499841741
-9.5,,,,,,,0.0301,12.15,5.560586499841741
-9.0,,,,,,,0.0301,12.15,5.560586499841741
-8.5,,,,,,,0.0301,12.15,5.560586499841741
-8.0,,,,,,,0.0301,12.15,5.560586499841741
-7.5,,,,,,,0.0301,12.15,5.560586499841741
