relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.1259,12.1,5.372906310575518
-29.5,,,,,,,0.1259,12.1,5.372906310575518
-29.0,,166.24765016067275,183.7680123374091,,83.1689897488247,75.689784128004,0.1259,12.1,5.372906310575518
-28.5,,,,,,,0.1259,12.1,5.372906310575518
-28.0,,,,,,,0.1259,12.1,5.372906310575518
-27.5,,,,,,,0.1259,12.1,5.372906310575518
-27.0,,,,,,,0.1259,12.1,5.372906310575518
-26.5,,,,,,,0.1259,12.1,5.372906310575518
-26.0,,41.46163880420219,12.87367600844872,,23.8050063983125,25.5897425800394,0.1259,12.1,5.372906310575518
-25.5,,,,,,,0.1259,12.1,5.372906310575518
-25.0,,,,,,,0.1259,12.1,5.372906310575518
-24.5,,,,,,,0.1259,12.1,5.372906310575518
-24.0,,,,,,,0.1259,12.1,5.372906310575518
-23.5,,,,,,,0.1259,12.1,5.372906310575518
-23.0,,,,,,,0.1259,12.1,5.372906310575518
-22.5,,,,,,,0.1259,12.1,5.372906310575518
-22.0,,,,,,,0.1259,12.1,5.372906310575518
-21.5,,,,,,,0.1259,12.1,5.372906310575518
-21.0,,,,,,,0.1259,12.1,5.372906310575518
-20.5,,,,,,,0.1259,12.1,5.372906310575518
-20.0,,33.7918512844977,-14.957300642015188,,20.5435819178184,19.916011188359,0.1259,12.1,5.372906310575518
-19.5,,,,,,,0.1259,12.1,5.372906310575518
-19.0,,,,,,,0.1259,12.1,5.372906310575518
-18.5,,,,,,,0.1259,12.1,5.372906310575518
-18.0,,,,,,,0.1259,12.1,5.372906310575518
-17.5,,,,,,,0.1259,12.1,5.372906310575518
-17.0,,,,,,,0.1259,12.1,5.372906310575518
-16.5,,,,,,,0.1259,12.1,5.372906310575518
-16.0,,9.698608464234171,-2.1632677845792623,,19.9433325309771,20.4450473131053,0.1259,12.1,5.372906310575518
-15.5,,,,,,,0.1259,12.1,5.372906310575518
-15.0,,,,,,,0.1259,12.1,5.372906310575518
-14.5,,,,,,,0.1259,12.1,5.372906310575518
-14.0,,,,,,,0.1259,12.1,5.372906310575518
-13.5,,,,,,,0.1259,12.1,5.372906310575518
-13.0,,,,,,,0.1259,12.1,5.372906310575518
-12.5,,,,,,,0.1259,12.1,5.372906310575518
