relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0466,24.1,0.0
-29.5,,,,,,,0.0466,24.1,0.0
-29.0,,,64.46537841361167,,,18.9615762217732,0.0466,24.1,0.0
-28.5,,,,,,,0.0466,24.1,0.0
-28.0,,,,,,,0.0466,24.1,0.0
-27.5,,,,,,,0.0466,24.1,0.0
-27.0,,79.80680452964472,41.1310601732438,,22.1116394245465,19.9661333863602,0.0466,24.1,0.0
-26.5,,,,,,,0.0466,24.1,0.0
-26.0,,,,,,,0.0466,24.1,0.0
-25.5,,,,,,,0.0466,24.1,0.0
-25.0,,115.51012256850387,52.04911058211954,,23.2353570997959,17.6257793972087,0.0466,24.1,0.0
-24.5,,,,,,,0.0466,24.1,0.0
-24.0,,,,,,,0.0466,24.1,0.0
-23.5,,,,,,,0.0466,24.1,0.0
-23.0,,82.9206000692615,,,21.2754197110645,,0.0466,24.1,0.0
-22.5,,,,,,,0.0466,24.1,0.0
-22.0,,,,,,,0.0466,24.1,0.0
-21.5,,,,,,,0.0466,24.1,0.0
-21.0,,,,,,,0.0466,24.1,0.0
-20.5,,,,,,,0.0466,24.1,0.0
-20.0,,92.7903292142775,87.04683932695683,,28.3271921032318,20.7263595322352,0.0466,24.1,0.0
-19.5,,,,,,,0.0466,24.1,0.0
-19.0,,,,,,,0.0466,24.1,0.0
-18.5,,,,,,,0.0466,24.1,0.0
-18.0,,,,,,,0.0466,24.1,0.0
-17.5,,,,,,,0.0466,24.1,0.0
-17.0,,,157.39250942001829,,,62.6944098677768,0.0466,24.1,0.0
-16.5,,,,,,,0.0466,24.1,0.0
-16.0,,,,,,,0.0466,24.1,0.0
-15.5,,,,,,,0.0466,24.1,0.0
-15.0,10.261779257822024,59.65296890132652,184.0879818714454,48.068758410154466,72.502275778311,87.2393474675598,0.0466,24.1,0.0
-14.5,-13.378412964998471,,,51.66077485421973,,,0.0466,24.1,0.0
-14.0,-26.134099113709475,,,55.526187269536436,,,0.0466,24.1,0.0
-13.5,-31.584898177771745,,,54.394239880372574,,,0.0466,24.1,0.0
-13.0,-36.4991168425821,,,58.30750331386477,,,0.0466,24.1,0.0
-12.5,-45.11437576552002,,,56.0607288663351,,,0.0466,24.1,0.0
-12.0,-34.887854923270126,,,57.616236119417806,,,0.0466,24.1,0.0
-11.5,-16.733108188489833,,,54.942362792207994,,,0.0466,24.1,0.0
