relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0387,14.9,4.080925820883731
-29.5,,,,,,,0.0387,14.9,4.080925820883731
-29.0,,,,,,,0.0387,14.9,4.080925820883731
-28.5,,,,,,,0.0387,14.9,4.080925820883731
-28.0,,,,,,,0.0387,14.9,4.080925820883731
-27.5,,,,,,,0.0387,14.9,4.080925820883731
-27.0,,,,,,,0.0387,14.9,4.080925820883731
-26.5,,,,,,,0.0387,14.9,4.080925820883731
-26.0,,,-6.4124253029198215,,,27.6397560454889,0.0387,14.9,4.080925820883731
-25.5,,,,,,,0.0387,14.9,4.080925820883731
-25.0,,,,,,,0.0387,14.9,4.080925820883731
-24.5,,,,,,,0.0387,14.9,4.080925820883731
-24.0,,,,,,,0.0387,14.9,4.080925820883731
-23.5,,,,,,,0.0387,14.9,4.080925820883731
-23.0,,-58.757373601797696,,,34.5147453754429,,0.0387,14.9,4.080925820883731
-22.5,,,,,,,0.0387,14.9,4.080925820883731
-22.0,,,,,,,0.0387,14.9,4.080925820883731
-21.5,,,,,,,0.0387,14.9,4.080925820883731
-21.0,,,-17.60119709626618,,,28.2496195133398,0.0387,14.9,4.080925820883731
-20.5,,,,,,,0.0387,14.9,4.080925820883731
-20.0,,,,,,,0.0387,14.9,4.080925820883731
-19.5,,,,,,,0.0387,14.9,4.080925820883731
-19.0,,8.513794385166435,2.1535920901071712,,29.3194133359443,31.1159954198955,0.0387,14.9,4.080925820883731
-18.5,,,,,,,0.0387,14.9,4.080925820883731
-18.0,,,,,,,0.0387,14.9,4.080925820883731
-17.5,,,,,,,0.0387,14.9,4.080925820883731
-17.0,,,,,,,0.0387,14.9,4.080925820883731
-16.5,,,,,,,0.0387,14.9,4.080925820883731
-16.0,,,,,,,0.0387,14.9,4.080925820883731
-15.5,,,,,,,0.0387,14.9,4.080925820883731
-15.0,,85.23494555979097,-95.04755876984493,,92.7067979557219,91.9190196724252,0.0387,14.9,4.080925820883731
-14.5,,,,,,,0.0387,14.9,4.080925820883731
-14.0,90.61497379000332,,,94.7241931847638,,,0.0387,14.9,4.080925820883731
-13.5,103.03800198126663,,,94.10155254427339,,,0.0387,14.9,4.080925820883731
-13.0,116.44087086991918,,,92.95879343254478,,,0.0387,14.9,4.080925820883731
-12.5,130.81131306727474,,,93.01231688797209,,,0.0387,14.9,4.080925820883731
-12.0,158.409980090818,,,93.31627877782316,,,0.0387,14.9,4.080925820883731
-11.5,151.20098589516624,,,93.3995895210057,,,0.0387,14.9,4.080925820883731
-11.0,150.53737697239734,,,94.45295772651447,,,0.0387,14.9,4.080925820883731
-10.5,171.57463131249867,,,94.38526527185884,,,0.0387,14.9,4.080925820883731
-10.0,291.71108882517046,,,125.96754762628235,,,0.0387,14.9,4.080925820883731
-9.5,359.5886261874624,,,212.47185801864848,,,0.0387,14.9,4.080925820883731
-9.0,339.9082499034521,,,284.0685727589041,,,0.0387,14.9,4.080925820883731
-8.5,572.0145926197059,,,287.88024760464003,,,0.0387,14.9,4.080925820883731
-8.0,768.8122963379489,-41.909606398614464,-43.87384461690544,290.26091336056584,37.4203106500577,50.4221497615974,0.0387,14.9,4.080925820883731
