relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,6.826560277364186,-31.116965265671695,,22.7413064735707,17.9691578092533,0.0176,10.0,7.5580744167339935
-29.5,,,,,,,0.0176,10.0,7.5580744167339935
-29.0,,,-6.6493848728984055,,,19.5253977276452,0.0176,10.0,7.5580744167339935
-28.5,,,,,,,0.0176,10.0,7.5580744167339935
-28.0,,,,,,,0.0176,10.0,7.5580744167339935
-27.5,,,,,,,0.0176,10.0,7.5580744167339935
-27.0,,,,,,,0.0176,10.0,7.5580744167339935
-26.5,,,,,,,0.0176,10.0,7.5580744167339935
-26.0,,8.964585136278828,8.192704321293595,,50.6708740045498,26.0138647291474,0.0176,10.0,7.5580744167339935
-25.5,,,,,,,0.0176,10.0,7.5580744167339935
-25.0,,,,,,,0.0176,10.0,7.5580744167339935
-24.5,,,,,,,0.0176,10.0,7.5580744167339935
-24.0,,,,,,,0.0176,10.0,7.5580744167339935
-23.5,,,,,,,0.0176,10.0,7.5580744167339935
-23.0,,,,,,,0.0176,10.0,7.5580744167339935
-22.5,,,,,,,0.0176,10.0,7.5580744167339935
-22.0,,,,,,,0.0176,10.0,7.5580744167339935
-21.5,,,,,,,0.0176,10.0,7.5580744167339935
-21.0,,,,,,,0.0176,10.0,7.5580744167339935
-20.5,,,,,,,0.0176,10.0,7.5580744167339935
-20.0,,,,,,,0.0176,10.0,7.5580744167339935
-19.5,,,,,,,0.0176,10.0,7.5580744167339935
-19.0,,46.80383592566957,-0.3882538664798929,,42.68416927503812,45.35473892935385,0.0176,10.0,7.5580744167339935
-18.5,,,,,,,0.0176,10.0,7.5580744167339935
-18.0,,,,,,,0.0176,10.0,7.5580744167339935
-17.5,,,,,,,0.0176,10.0,7.5580744167339935
-17.0,,,,,,,0.0176,10.0,7.5580744167339935
-16.5,,,,,,,0.0176,10.0,7.5580744167339935
-16.0,,,32.0551733207091,,,36.9448016914401,0.0176,10.0,7.5580744167339935
-15.5,,,,,,,0.0176,10.0,7.5580744167339935
-15.0,,,,,,,0.0176,10.0,7.5580744167339935
-14.5,,,,,,,0.0176,10.0,7.5580744167339935
