relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0245,14.55,6.884038704778532
-29.5,,,,,,,0.0245,14.55,6.884038704778532
-29.0,,,,,,,0.0245,14.55,6.884038704778532
-28.5,,,,,,,0.0245,14.55,6.884038704778532
-28.0,,,,,,,0.0245,14.55,6.884038704778532
-27.5,,,,,,,0.0245,14.55,6.884038704778532
-27.0,,,,,,,0.0245,14.55,6.884038704778532
-26.5,,,,,,,0.0245,14.55,6.884038704778532
-26.0,,,,,,,0.0245,14.55,6.884038704778532
-25.5,,,,,,,0.0245,14.55,6.884038704778532
-25.0,,,,,,,0.0245,14.55,6.884038704778532
-24.5,,,,,,,0.0245,14.55,6.884038704778532
-24.0,,,,,,,0.0245,14.55,6.884038704778532
-23.5,,,,,,,0.0245,14.55,6.884038704778532
-23.0,,,,,,,0.0245,14.55,6.884038704778532
-22.5,,,,,,,0.0245,14.55,6.884038704778532
-22.0,,,,,,,0.0245,14.55,6.884038704778532
-21.5,,,,,,,0.0245,14.55,6.884038704778532
-21.0,,,,,,,0.0245,14.55,6.884038704778532
-20.5,,,,,,,0.0245,14.55,6.884038704778532
-20.0,,,,,,,0.0245,14.55,6.884038704778532
-19.5,,,,,,,0.0245,14.55,6.884038704778532
-19.0,,,,,,,0.0245,14.55,6.884038704778532
-18.5,-154.9435515677148,,,233.36795283963633,,,0.0245,14.55,6.884038704778532
-18.0,235.18985117179253,,,229.0318208319612,,,0.0245,14.55,6.884038704778532
-17.5,170.82733751529022,,,223.1994789592921,,,0.0245,14.55,6.884038704778532
-17.0,-1.5778660869417986,,,220.0407517607393,,,0.0245,14.55,6.884038704778532
-16.5,-20.556854175006713,,,218.11058196618674,,,0.0245,14.55,6.884038704778532
-16.0,44.688375886061266,,,218.3804784027947,,,0.0245,14.55,6.884038704778532
-15.5,-68.42841565841158,,,217.73126702406324,,,0.0245,14.55,6.884038704778532
-15.0,1.1809491974878188,,,218.28064161269774,,,0.0245,14.55,6.884038704778532
-14.5,15.95266187682816,,,218.2617840992881,,,0.0245,14.55,6.884038704778532
-14.0,86.63344971448157,,,218.42907168705307,,,0.0245,14.55,6.884038704778532
-13.5,6.314506821736875,,,217.89560054784346,,,0.0245,14.55,6.884038704778532
-13.0,-32.46557452029669,,,218.12283849927897,,,0.0245,14.55,6.884038704778532
-12.5,-46.1202985967617,,,218.7763164790019,,,0.0245,14.55,6.884038704778532
-12.0,-80.7318955699073,,,218.46879182832106,,,0.0245,14.55,6.884038704778532
-11.5,-79.78399004532324,,,218.7896025027654,,,0.0245,14.55,6.884038704778532
-11.0,-38.862939231332774,,,218.80518727177915,,,0.0245,14.55,6.884038704778532
-10.5,22.581100686807027,,,218.48686393439243,,,0.0245,14.55,6.884038704778532
-10.0,6.6768058151670955,,,218.75241057464274,,,0.0245,14.55,6.884038704778532
-9.5,17.591698733467325,,,218.8600674536712,,,0.0245,14.55,6.884038704778532
-9.0,55.284067637112884,,,219.04328163121804,,,0.0245,14.55,6.884038704778532
-8.5,-54.67821975032779,,,219.35196906135852,,,0.0245,14.55,6.884038704778532
-8.0,55.461911182109205,,,219.84557910343733,,,0.0245,14.55,6.884038704778532
-7.5,24.66546805224923,,,219.7794173684671,,,0.0245,14.55,6.884038704778532
-7.0,43.92107617404195,,,220.13529966952086,,,0.0245,14.55,6.884038704778532
-6.5,,,,,,,0.0245,14.55,6.884038704778532
-6.0,,,,,,,0.0245,14.55,6.884038704778532
-5.5,,,,,,,0.0245,14.55,6.884038704778532
-5.0,,,,,,,0.0245,14.55,6.884038704778532
-4.5,,,,,,,0.0245,14.55,6.884038704778532
-4.0,,,,,,,0.0245,14.55,6.884038704778532
-3.5,,,,,,,0.0245,14.55,6.884038704778532
-3.0,649.8392049742089,,,232.90025499204327,,,0.0245,14.55,6.884038704778532
-2.5,533.1646204452857,,,231.18315135714633,,,0.0245,14.55,6.884038704778532
-2.0,433.7291304923542,,,224.07927291730596,,,0.0245,14.55,6.884038704778532
-1.5,448.3756667413565,,,221.5499862386654,,,0.0245,14.55,6.884038704778532
-1.0,469.7179492334795,,,220.85846017925462,,,0.0245,14.55,6.884038704778532
-0.5,501.6552185257871,,,220.64815280490373,,,0.0245,14.55,6.884038704778532
