relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.0131,21.05,2.3783724593838445
-29.5,,,,,,,0.0131,21.05,2.3783724593838445
-29.0,,,,,,,0.0131,21.05,2.3783724593838445
-28.5,,,,,,,0.0131,21.05,2.3783724593838445
-28.0,,,,,,,0.0131,21.05,2.3783724593838445
-27.5,,,,,,,0.0131,21.05,2.3783724593838445
-27.0,,,,,,,0.0131,21.05,2.3783724593838445
-26.5,,,,,,,0.0131,21.05,2.3783724593838445
-26.0,,,,,,,0.0131,21.05,2.3783724593838445
-25.5,,,,,,,0.0131,21.05,2.3783724593838445
-25.0,,,,,,,0.0131,21.05,2.3783724593838445
-24.5,,,,,,,0.0131,21.05,2.3783724593838445
-24.0,,,,,,,0.0131,21.05,2.3783724593838445
-23.5,,,,,,,0.0131,21.05,2.3783724593838445
-23.0,,,,,,,0.0131,21.05,2.3783724593838445
-22.5,,,,,,,0.0131,21.05,2.3783724593838445
-22.0,,,,,,,0.0131,21.05,2.3783724593838445
-21.5,,,,,,,0.0131,21.05,2.3783724593838445
-21.0,,,,,,,0.0131,21.05,2.3783724593838445
-20.5,,,,,,,0.0131,21.05,2.3783724593838445
-20.0,,,,,,,0.0131,21.05,2.3783724593838445
-19.5,,,,,,,0.0131,21.05,2.3783724593838445
-19.0,,,,,,,0.0131,21.05,2.3783724593838445
-18.5,,,,,,,0.0131,21.05,2.3783724593838445
-18.0,,,,,,,0.0131,21.05,2.3783724593838445
-17.5,,,,,,,0.0131,21.05,2.3783724593838445
-17.0,,,,,,,0.0131,21.05,2.3783724593838445
-16.5,,,,,,,0.0131,21.05,2.3783724593838445
-16.0,,,,,,,0.0131,21.05,2.3783724593838445
-15.5,,,,,,,0.0131,21.05,2.3783724593838445
-15.0,,,,,,,0.0131,21.05,2.3783724593838445
-14.5,,,,,,,0.0131,21.05,2.3783724593838445
-14.0,,,,,,,0.0131,21.05,2.3783724593838445
-13.5,,,,,,,0.0131,21.05,2.3783724593838445
-13.0,,,,,,,0.0131,21.05,2.3783724593838445
-12.5,,,,,,,0.0131,21.05,2.3783724593838445
-12.0,,,,,,,0.0131,21.05,2.3783724593838445
-11.5,,,,,,,0.0131,21.05,2.3783724593838445
-11.0,,,,,,,0.0131,21.05,2.3783724593838445
-10.5,,,,,,,0.0131,21.05,2.3783724593838445
-10.0,,,,,,,0.0131,21.05,2.3783724593838445
-9.5,,,,,,,0.0131,21.05,2.3783724593838445
-9.0,,,,,,,0.0131,21.05,2.3783724593838445
-8.5,,,,,,,0.0131,21.05,2.3783724593838445
-8.0,,,,,,,0.0131,21.05,2.3783724593838445
-7.5,,,,,,,0.0131,21.05,2.3783724593838445
-7.0,,,,,,,0.0131,21.05,2.3783724593838445
-6.5,,,,,,,0.0131,21.05,2.3783724593838445
-6.0,,,,,,,0.0131,21.05,2.3783724593838445
-5.5,,,,,,,0.0131,21.05,2.3783724593838445
-5.0,,,,,,,0.0131,21.05,2.3783724593838445
-4.5,,,,,,,0.0131,21.05,2.3783724593838445
-4.0,,,,,,,0.0131,21.05,2.3783724593838445
-3.5,,,,,,,0.0131,21.05,2.3783724593838445
-3.0,,,,,,,0.0131,21.05,2.3783724593838445
-2.5,,,,,,,0.0131,21.05,2.3783724593838445
-2.0,,,,,,,0.0131,21.05,2.3783724593838445
-1.5,,,,,,,0.0131,21.05,2.3783724593838445
-1.0,,,,,,,0.0131,21.05,2.3783724593838445
-0.5,,,,,,,0.0131,21.05,2.3783724593838445
0.0,,,,,,,0.0131,21.05,2.3783724593838445
0.5,,,,,,,0.0131,21.05,2.3783724593838445
1.0,,,,,,,0.0131,21.05,2.3783724593838445
1.5,,,,,,,0.0131,21.05,2.3783724593838445
2.0,,,,,,,0.0131,21.05,2.3783724593838445
2.5,,,,,,,0.0131,21.05,2.3783724593838445
3.0,,,,,,,0.0131,21.05,2.3783724593838445
3.5,,,,,,,0.0131,21.05,2.3783724593838445
4.0,,,,,,,0.0131,21.05,2.3783724593838445
4.5,,,,,,,0.0131,21.05,2.3783724593838445
5.0,,,,,,,0.0131,21.05,2.3783724593838445
5.5,-6435.408608762795,,,1020.5527364690473,,,0.0131,21.05,2.3783724593838445
6.0,-6668.866982125114,,,1018.0133522298391,,,0.0131,21.05,2.3783724593838445
6.5,-5688.477090210658,,,1002.5181829201005,,,0.0131,21.05,2.3783724593838445
7.0,-6390.07096044718,,,989.6333589243975,,,0.0131,21.05,2.3783724593838445
7.5,-6782.384520249598,,,1007.4006877078853,,,0.0131,21.05,2.3783724593838445
8.0,-6789.585975904311,,,1013.6686148052975,,,0.0131,21.05,2.3783724593838445
8.5,-6627.167305122599,,,991.5409908683177,,,0.0131,21.05,2.3783724593838445
9.0,-6276.470293983144,,,983.6740176661624,,,0.0131,21.05,2.3783724593838445
9.5,-5268.289741491395,,,967.9898478633382,,,0.0131,21.05,2.3783724593838445
10.0,-5154.556962038565,,,962.899420672013,,,0.0131,21.05,2.3783724593838445
10.5,-4755.495744409193,,,970.491804266718,,,0.0131,21.05,2.3783724593838445
11.0,-4209.384389001294,,,975.4093834175346,,,0.0131,21.05,2.3783724593838445
11.5,-3485.1791675515105,,,961.4095737767506,,,0.0131,21.05,2.3783724593838445
12.0,-3315.733424064856,,,980.3077431978222,,,0.0131,21.05,2.3783724593838445
12.5,-2739.9681182153718,,,968.6485419486747,,,0.0131,21.05,2.3783724593838445
13.0,-1644.949990526957,,,980.05738595354,,,0.0131,21.05,2.3783724593838445
13.5,-1289.684692366645,,,974.3520820571808,,,0.0131,21.05,2.3783724593838445
14.0,-841.3354470413618,,,977.8985381861139,,,0.0131,21.05,2.3783724593838445
14.5,-820.3996744230917,,,982.0632264462911,,,0.0131,21.05,2.3783724593838445
15.0,-275.6673852037331,,,972.8983720896855,,,0.0131,21.05,2.3783724593838445
15.5,608.1528946206641,,,974.7768947436994,,,0.0131,21.05,2.3783724593838445
16.0,681.9029277198763,,,974.115401866208,,,0.0131,21.05,2.3783724593838445
16.5,1077.1342360915155,,,978.3757371174479,,,0.0131,21.05,2.3783724593838445
17.0,,,,,,,0.0131,21.05,2.3783724593838445
17.5,,,2716.850252738816,,,70.1032491192865,0.0131,21.05,2.3783724593838445
18.0,,3481.024154347278,,,67.465560630587,,0.0131,21.05,2.3783724593838445
18.5,,,,,,,0.0131,21.05,2.3783724593838445
19.0,,,,,,,0.0131,21.05,2.3783724593838445
19.5,,,3045.8718545831516,,,64.7356111695095,0.0131,21.05,2.3783724593838445
20.0,,4179.686592860279,,,71.1217351749239,,0.0131,21.05,2.3783724593838445
20.5,,,,,,,0.0131,21.05,2.3783724593838445
21.0,,,,,,,0.0131,21.05,2.3783724593838445
21.5,7755.578474118453,,,1026.9232863689035,,,0.0131,21.05,2.3783724593838445
22.0,7146.4852292016485,,,1016.2966419257629,,,0.0131,21.05,2.3783724593838445
22.5,5440.0582901496255,,,1015.7525243262853,,,0.0131,21.05,2.3783724593838445
23.0,4852.24839025647,4231.064003450167,,984.049703552818,91.3887893164255,,0.0131,21.05,2.3783724593838445
23.5,4249.062163167779,,,979.6592231919254,,,0.0131,21.05,2.3783724593838445
24.0,3863.141878738081,,,988.5071971262486,,,0.0131,21.05,2.3783724593838445
24.5,3924.2247696170098,,,975.9901311379156,,,0.0131,21.05,2.3783724593838445
25.0,3740.5899373922903,4361.774324198594,2436.579612269395,970.9218345206478,57.1721307209127,92.2401271672818,0.0131,21.05,2.3783724593838445
25.5,3240.679260478474,,,969.0874563302151,,,0.0131,21.05,2.3783724593838445
26.0,3118.427744307275,,,977.0584930898997,,,0.0131,21.05,2.3783724593838445
26.5,2809.363505339079,,,979.6998321446616,,,0.0131,21.05,2.3783724593838445
27.0,2646.3146455286433,,,984.2138455972427,,,0.0131,21.05,2.3783724593838445
27.5,2622.6535792927443,,,982.8266096685098,,,0.0131,21.05,2.3783724593838445
28.0,2434.7139147146618,,,987.0873908805103,,,0.0131,21.05,2.3783724593838445
28.5,2647.8703322474166,,,972.1190343076869,,,0.0131,21.05,2.3783724593838445
29.0,2319.9825840895546,,,974.7027870478646,,,0.0131,21.05,2.3783724593838445
29.5,2316.1803726080216,,,985.0981099162818,,,0.0131,21.05,2.3783724593838445
30.0,1978.8184444819688,,,977.4606683064475,,,0.0131,21.05,2.3783724593838445
30.5,1191.9808567262296,,,999.0034494988338,,,0.0131,21.05,2.3783724593838445
31.0,939.2138103226048,,,997.455821017673,,,0.0131,21.05,2.3783724593838445
