relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.032,13.0,5.383551079187623
-29.5,,,,,,,0.032,13.0,5.383551079187623
-29.0,,,,,,,0.032,13.0,5.383551079187623
-28.5,,,,,,,0.032,13.0,5.383551079187623
-28.0,,,,,,,0.032,13.0,5.383551079187623
-27.5,,,,,,,0.032,13.0,5.383551079187623
-27.0,,,,,,,0.032,13.0,5.383551079187623
-26.5,,,,,,,0.032,13.0,5.383551079187623
-26.0,,,,,,,0.032,13.0,5.383551079187623
-25.5,,,,,,,0.032,13.0,5.383551079187623
-25.0,,,,,,,0.032,13.0,5.383551079187623
-24.5,,,,,,,0.032,13.0,5.383551079187623
-24.0,,,,,,,0.032,13.0,5.383551079187623
-23.5,,,,,,,0.032,13.0,5.383551079187623
-23.0,,,,,,,0.032,13.0,5.383551079187623
-22.5,,,,,,,0.032,13.0,5.383551079187623
-22.0,,,,,,,0.032,13.0,5.383551079187623
-21.5,,,,,,,0.032,13.0,5.383551079187623
-21.0,,,,,,,0.032,13.0,5.383551079187623
-20.5,,,,,,,0.032,13.0,5.383551079187623
-20.0,,,,,,,0.032,13.0,5.383551079187623
-19.5,,,,,,,0.032,13.0,5.383551079187623
-19.0,,,,,,,0.032,13.0,5.383551079187623
-18.5,,,,,,,0.032,13.0,5.383551079187623
-18.0,,,,,,,0.032,13.0,5.383551079187623
-17.5,,,,,,,0.032,13.0,5.383551079187623
-17.0,,,,,,,0.032,13.0,5.383551079187623
-16.5,,,,,,,0.032,13.0,5.383551079187623
-16.0,,,,,,,0.032,13.0,5.383551079187623
-15.5,,,,,,,0.032,13.0,5.383551079187623
-15.0,,,,,,,0.032,13.0,5.383551079187623
-14.5,,,,,,,0.032,13.0,5.383551079187623
-14.0,,,,,,,0.032,13.0,5.383551079187623
-13.5,,,,,,,0.032,13.0,5.383551079187623
-13.0,,,,,,,0.032,13.0,5.383551079187623
-12.5,,,,,,,0.032,13.0,5.383551079187623
-12.0,64.58500615814641,,,238.08675330620798,,,0.032,13.0,5.383551079187623
-11.5,-25.376942839044663,,,230.12546804366022,,,0.032,13.0,5.383551079187623
-11.0,64.30019994709397,,,226.3392049449352,,,0.032,13.0,5.383551079187623
-10.5,-44.27683115897322,,,223.66093027965633,,,0.032,13.0,5.383551079187623
-10.0,-3.954131739451059,,,223.59199618722795,,,0.032,13.0,5.383551079187623
-9.5,-86.50340058696428,,,224.08900649872524,,,0.032,13.0,5.383551079187623
-9.0,-49.31421956125886,,,224.24112211616583,,,0.032,13.0,5.383551079187623
-8.5,-2.0866520267280007,,,223.91407504679188,,,0.032,13.0,5.383551079187623
-8.0,-87.17193247846515,,,223.8399377247784,,,0.032,13.0,5.383551079187623
-7.5,-41.38068118163271,,,223.58581113955844,,,0.032,13.0,5.383551079187623
-7.0,21.232758257215664,,,224.1026557748076,,,0.032,13.0,5.383551079187623
-6.5,6.328119900722348,,,223.96202967419416,,,0.032,13.0,5.383551079187623
-6.0,16.776868435326797,,,224.1021449661047,,,0.032,13.0,5.383551079187623
-5.5,-52.21240874961069,,,224.0202520459728,,,0.032,13.0,5.383551079187623
-5.0,94.64280960771949,,,223.72774783882247,,,0.032,13.0,5.383551079187623
-4.5,-28.078009717885855,,,223.3613619639467,,,0.032,13.0,5.383551079187623
-4.0,75.61841460092847,,,224.12008869966644,,,0.032,13.0,5.383551079187623
-3.5,5.181119998820465,,,223.5787909979574,,,0.032,13.0,5.383551079187623
-3.0,50.544895535068214,,,223.2041025102516,,,0.032,13.0,5.383551079187623
-2.5,49.48001787904686,,,223.36619343122638,,,0.032,13.0,5.383551079187623
-2.0,99.62430011416998,,,223.66796446299242,,,0.032,13.0,5.383551079187623
-1.5,154.23849235449333,,,224.47885836854755,,,0.032,13.0,5.383551079187623
-1.0,50.29639238078469,,,224.9638217315202,,,0.032,13.0,5.383551079187623
-0.5,,,,,,,0.032,13.0,5.383551079187623
0.0,,,,,,,0.032,13.0,5.383551079187623
0.5,,,,,,,0.032,13.0,5.383551079187623
1.0,,,,,,,0.032,13.0,5.383551079187623
1.5,,,,,,,0.032,13.0,5.383551079187623
2.0,,,,,,,0.032,13.0,5.383551079187623
2.5,619.9588447254133,,,240.25874047875018,,,0.032,13.0,5.383551079187623
3.0,746.9568868307778,,,235.07800057063542,,,0.032,13.0,5.383551079187623
3.5,814.5384311438028,,,228.7225894315776,,,0.032,13.0,5.383551079187623
4.0,1137.0523444675716,,,226.81902524389133,,,0.032,13.0,5.383551079187623
4.5,1258.5387294719203,,,226.2133733972059,,,0.032,13.0,5.383551079187623
5.0,1276.3778541794054,,,226.13940042976432,,,0.032,13.0,5.383551079187623
